Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,Dicrotic_Notch_Index,State,Channel,Depth_mm
0,0.0028167765116513628,2.911828046276333,0.005633274631695748,2.9033783658046373,0.0019402481943253554,1.1842718655743474,0.5555477655336184,2.131719249085311,0.0028167765116513628,3,Normal,Red,3
1,0.00317232476257448,3.382288083104193,3.382288083104193,0.0,,1.2969052222676527,0.7730119538808509,1.677729840730966,0.0029089807619805488,2006,Normal,Red,3
2,0.003248720617894189,3.1675607205757736,0.006497356592198081,3.157814717809888,0.0020575483911558757,1.3197175456467876,0.629453419670887,2.096608747215654,0.003248720617894189,3,Normal,Red,3
3,0.0026692297986575966,3.2144329513042953,0.03201788261940941,3.1797491224056937,0.010069310938337718,1.3433530784667602,1.0261013393753955,1.3091816830533336,0.0026692297986575966,13,Normal,Red,3
4,0.002862262240835919,2.344343256750595,2.344343256750595,0.0,,1.036336641474853,0.570563366661044,1.816339257004055,0.0028216104933428262,1692,Normal,Red,3
5,0.0029504647068927816,2.8463770528478705,2.8463770528478705,0.0,,1.2477834772342538,0.5436104457792477,2.2953633193078127,0.0028168330461395895,1898,Normal,Red,3
6,0.003080115523835869,3.0523931136195457,3.0523931136195457,0.0,,1.2545135601820836,0.5968936158070731,2.1017372727061723,0.0030102375670816367,1968,Normal,Red,3
7,0.0032209216923418547,3.1647012864604456,0.019323156279100903,3.1421585282830624,0.0061496439804580635,1.3191949603445514,0.6020467124718882,2.1911837287977045,0.0032209216923418547,7,Normal,Red,3
8,0.003015126980523348,3.153515885008318,0.030140582597172682,3.120363502237969,0.00965931776075301,1.297735718847285,0.651466005106053,1.9920236952901706,0.003015126980523348,11,Normal,Red,3
9,0.00342279752405253,3.3559631198106246,3.3559631198106246,0.0,,1.3454628877841597,0.676714186585479,1.988229173342752,0.0030254746246941274,1900,Normal,Red,3
10,0.0033659566865995192,3.3685214165750894,0.023558612900093066,3.341598541374002,0.007050102700369929,1.3886783022156883,0.6741025992074798,2.060039975885439,0.0033659566865995192,8,Normal,Red,3
11,0.003093896282086399,2.9121297013719567,0.006187673598008762,2.902848341267404,0.0021315869348197433,1.2913128529046132,0.6071262170700713,2.1269265213687465,0.003093896282086399,3,Normal,Red,3
12,0.0030867767660887153,3.1270413253885385,0.009259928805231809,3.114695105411393,0.0029729808189391765,1.307841926401838,0.6389161160238996,2.0469696938321027,0.0030867767660887153,4,Normal,Red,3
13,0.003416808545319259,4.35086117940383,0.006833501415756142,4.340611048652439,0.0015743178412351943,1.612246747696239,1.1494574633636547,1.4026154069053804,0.003416808545319259,3,Normal,Red,3
14,0.002963944297865966,3.3638131127542934,0.21265952893586348,3.1482236265175243,0.06754905437613447,1.296813563008155,1.1230595430247934,1.154714877819729,0.002963944297865966,73,Normal,Red,3
15,0.003309266698868497,2.808800241137101,2.808800241137101,0.0,,1.0773188613751425,0.6041484826512008,1.7832021304556052,0.003009963502768628,1718,Normal,Red,3
16,0.0036549597959168326,3.719404320465861,3.719404320465861,0.0,,1.4454966272114498,0.7331330502630117,1.971670253704805,0.003416340458219764,1947,Normal,Red,3
17,0.0035332042542290517,3.422896891017934,0.014131444937744502,3.4052333268440598,0.00414991972101994,1.3490565674122674,0.6740454763788554,2.001432566033592,0.0035332042542290517,5,Normal,Red,3
18,0.003193346838116837,3.1684256142033536,0.0287327555323478,3.136502064578191,0.009160764106243906,1.3422789812645013,0.5829271369570687,2.3026531039047464,0.003193346838116837,10,Normal,Red,3
19,0.0031609596549080753,3.751339747361903,0.003160949327130287,3.745017854234554,0.000844041190232551,1.391187513729267,0.8311616924202675,1.6737868532875417,0.0031609596549080753,2,Normal,Red,3
20,0.003117528041563694,2.8682109056267437,2.8682109056267437,0.0,,1.2092664234538766,0.5808627413760764,2.0818453953322917,0.002919937469861676,1838,Normal,Red,3
21,0.0031728417178026073,3.9401638766618565,0.012690614121070296,3.924301198695225,0.0032338532336125846,1.4724272348580665,1.3366597193320233,1.101572235298518,0.0031728417178026073,5,Normal,Red,3
22,0.0029656861934879005,2.27740075009066,0.005931338990566943,2.2685037799962,0.002614648052548927,0.9497595344053562,0.5370546488952751,1.7684597579762464,0.0029656861934879005,3,Normal,Red,3
