Depth,Channel,State,Pulse_Index,AC_Component,AUC,AUC_Ratio,Amplitude,DC_Component,DNP,D_AUC,Datum_Area_Ratio,Delta_T,Diastolic_Width,Downslope,Downslope_Length,Downslope_Length_Ratio,End_Datum_Area,Fall_Time,IPAR,Kurtosis,Length_Height_Ratio,Max_Start_Datum_Diff,Onset_End_Slope,PI,PW50,Pulse_Width,RWI,Rise_Decay_Time_Ratio,Rise_Time,SDPPG_b_a,SDPPG_c_a,SDPPG_d_a,SDPPG_e_a,S_AUC,Skewness,Slope_Length_Ratio,Slope_Ratio,Start_Datum_Area,Systolic_Width,Upslope,Upslope_Length,Upslope_Length_Ratio,Variance,Width_Ratio
3,Red,Normal,0,0.0029261250866226864,2.9882393892431667,0.22960709619478306,0.0029261250866226864,2.6239643879859287,0.8187538389476341,2.4302392190707045,3.2998463675857663,0.142,0.536,-2.826044403296521,1.2972026095992812,0.5560741925828508,0.24308374097520247,0.7655,0.5433044374640177,-1.252168806839615,2.33278701124479,0.0028894724398684,0.03092860554590567,0.11151542680642747,0.548,0.9625,0.8563561723959617,0.2573481384379689,0.197,-0.8496740604149531,0.16531974081391634,-0.1966325312694615,0.2841728331830098,0.5580001701724624,-0.26159293771818004,0.7983211831466512,3.136881327803859,0.8021390000061658,0.4265,8.864965920559143,1.035584322156054,0.4439258073742821,0.09421317816968569,0.7957089550754274
3,Red,Normal,1,0.0029245627567619,3.075356822813045,0.22103720418537068,0.0029245627567619,2.624248498580616,0.8341919761670287,2.5186430128823973,3.317061767073841,0.1425,0.5425,-3.1443895806300475,1.3882619564901035,0.5865523507126926,0.243241709166646,0.775,0.5268102595590017,-1.3965907163282856,2.3668168784505808,0.0028036398438759,-0.060321884336325696,0.11144381937275649,0.5845,0.9715,0.9065496017168297,0.2535483870640583,0.1965,-0.953865012669079,0.27665568779129934,-0.31253266331045215,0.5360817636735924,0.5567138099306473,-0.2899217885404052,0.7048776613253935,2.6724321125332082,0.8068477739660823,0.429,8.40316768985781,0.9785548412682472,0.41344764924505645,0.10029912331738143,0.7907834099924823
3,Red,Normal,2,0.0032574492007346003,3.2773489431551255,0.3119111684198578,0.0032574492007346003,2.624565992070886,0.8015557063447087,2.498148519515513,3.3790850900280756,0.2085,0.514,-2.672519821824096,1.2959642745157869,0.5597523676275621,0.2522919457210121,0.734,0.5423590911146999,-1.3752419292925673,2.31524579272014,0.0030477663852228,-0.028298719618361907,0.12411382340743625,0.529,0.9625,0.873686128767838,0.31130790186494445,0.2285,-0.7212185254092514,-0.13472798820981988,-0.4518780713243206,0.5841705142466093,0.7792004236396126,-0.13315737850121337,0.7865042789567966,2.8030512718346623,0.8525159524579531,0.4485,7.491210085847683,1.0192814473604574,0.4402476323292461,0.09981542582839034,0.8725680932154537
3,Red,Normal,3,0.0030619779301623,3.0426365065188854,0.2522358423814387,0.0030619779301623,2.6245902159576793,0.8883725700600852,2.42976315125059,6.613881060646825,0.137,0.5475,-2.8267394525496456,1.2544922965467766,0.5477525779003465,0.13391271008106279,0.7815,0.6183920802099342,-1.520073260275531,2.2902536436164103,0.0028522315045007,0.12984626961425352,0.11666499064991595,0.5295,0.979,0.9484670439677026,0.25271912984610123,0.1975,-0.9283775398414121,0.2762595114738633,-0.26054155249946953,0.2854731235790322,0.6128733552682952,-0.12165067045208403,0.8256417957054655,3.1186131026777972,0.8856827376464185,0.4315,8.81550669488945,1.0357612725021181,0.45224742205599017,0.10576616144256737,0.7881278537373283
3,Red,Normal,4,0.002820376596805158,2.7445463434730812,0.6196683537824136,0.002820376596805158,2.6247913775779708,0.7689578940402736,1.6945113096775473,5.903947474034481,0.293,0.4485,-3.4914039161699293,1.2358751700595365,0.5464956306371457,0.11457101897779917,0.6405,0.5058464254642078,-1.5060578423510693,2.2614548853024354,0.0026665317822,-0.06770440609900913,0.1074514576964289,0.5475,0.948,0.8650953143116459,0.4800936767400322,0.3075,-0.9336299178278704,0.34127630772134837,-0.49483800738880535,0.42597988953753163,1.0500350337955342,-0.2488222860798326,0.829840796262562,2.125592804412583,0.6764212786819287,0.4995,7.4213030417212735,1.0255796352863191,0.4535043693186349,0.12123808893519548,1.1137123743336204
3,Red,Normal,5,0.0028632148499596103,2.9141017826754796,0.24387794027262222,0.0028632148499596103,2.6247588281293894,0.8312513590864649,2.3427554169924454,4.904958129697761,0.131,0.539,-3.393373892532054,1.3914915167839703,0.5725663981511668,0.15953520285138978,0.7695,0.5612386072792853,-1.609491028565875,2.430271091142706,0.0028615132280748,0.018593215135572945,0.10908487359545634,0.517,0.975,0.9601960533059081,0.26705653017971975,0.2055,-0.8736335168218653,0.2919296791155155,-0.40183855761768045,0.38191529714562933,0.5713463656830335,-0.06637444011233551,0.7465223302610197,2.534990336458317,0.7825134906894015,0.436,8.6021700258122,1.0387794897226625,0.4274336018076855,0.12098964687313651,0.8089053801838765
3,Red,Normal,6,0.0030008319710919033,2.960360194060868,0.22074725156904804,0.0030008319710919033,2.6247252316256824,0.7749277243995054,2.425039409454979,4.138597049745224,0.1415,0.5555,-2.7744686706079165,1.3354769469517374,0.5685560493359065,0.21552791351491904,0.7935,0.6229914778408986,-1.3570900031062603,2.348892414080854,0.0030024285893841,-0.016641521857142794,0.11432937569312508,0.5145,0.973,0.828448646549648,0.22621298043778035,0.1795,-0.9882857582285935,0.3897472854352567,-0.1959054389904194,0.313541581153942,0.5353207846058887,-0.1421816463075476,0.7588415444583793,3.3605121672785434,0.8919831874244475,0.4175,9.32363572564708,1.0134153890893016,0.43144395062152013,0.09585856169482644,0.7515751573804544
3,Red,Normal,7,0.0032090255637256,3.08324190069306,0.2398767570332696,0.0032090255637256,2.6246361699772147,0.7291989975037458,2.4867325588444267,3.65900893539245,0.138,0.53,-2.474244993099262,1.2836299938778657,0.5632372233321922,0.2389624585072659,0.757,0.5934578947753715,-1.3391597607713233,2.279022018643682,0.0030843963016843,-0.041526345790204526,0.12226553913684704,0.5265,0.9475,0.8927637881252118,0.25165125492052165,0.1905,-0.9701647001280403,0.2607503937865199,-0.4061845435004515,0.3365820999743089,0.596509341848633,-0.08726046441072373,0.7754508375812819,3.5683421832349054,0.8743657712673345,0.4175,8.828952780890688,0.9953919539745917,0.4367627766239295,0.09513408573913791,0.7877358489079743
3,Red,Normal,8,0.0031195813199635003,3.1603117865922075,0.23042183315720954,0.0031195813199635003,2.625093840799089,0.7614876875399823,2.5684783067120494,4.585503508997467,0.134,0.542,-2.8403371918093967,1.2738335811399923,0.552454440233467,0.1989795764689083,0.774,0.6017733095454529,-1.3496365128829828,2.305771352389748,0.0029949362419224,0.039729276209683424,0.1188369448497525,0.5695,0.9605,0.909136698553821,0.2409560723202899,0.1865,-0.9239844550791607,0.21160317523819688,-0.2517685452895814,0.24624470373764754,0.5918334798801581,-0.22431872612603262,0.8101040141860333,3.2639915662477166,0.9124215465755592,0.4185,9.270836639691993,1.0319376975674883,0.44754555972316334,0.09821870504325622,0.7721402212597527
3,Red,Normal,9,0.0030099743164226003,3.223712839645465,0.4832292160549142,0.0030099743164226003,2.6252565391349063,0.8224140361387867,2.1734421117806444,3.1729245619234727,0.272,0.471,-2.709784815445005,1.2496405053498725,0.5424803069673101,0.25764805215107633,0.6725,0.511976551193901,-1.2499272349059398,2.3035684994231764,0.0028227809721088,-0.06351613976713019,0.11465448315004728,0.599,0.9495,0.8868555752074309,0.4118959107194207,0.277,-0.8380962649930636,0.30053004168832864,-0.42050724314248394,0.33892492203229907,1.050270727864821,-0.3697543188319097,0.8433848880347227,3.0984524954098873,0.8174978333191825,0.4785,8.396139523749241,1.053927917772495,0.4575196929892789,0.10883529638088846,1.0159235666632858
