Depth,Channel,State,Pulse_Index,AC_Component_Ratio,AUC_Ratio,Amplitude_Ratio,DC_Component_Ratio,Delta_A_Ratio,Delta_T_Difference,Downslope_Ratio,PI_Ratio,Rise_Time_Ratio,Upslope_Ratio,Width_Ratio_Difference
3,Combined,Normal,0,0.6234756563026354,0.6371839212557058,0.6234756563026354,1.4401144875181526,0.4326182072738443,0.0034999999999999754,1.4787260197389551,0.4329347942300341,1.0395778358630197,0.9890987445823524,0.017005251515928133
3,Combined,Normal,1,0.5970691860683088,0.6396814133573157,0.5970691860683088,1.4402390575442754,0.4142359277762884,-0.003500000000000003,1.8168605158413347,0.41456256507240324,1.0051150889999412,0.9684256356350895,-0.0024813232548021036
3,Combined,Normal,2,0.6725595994792437,0.6699226070612883,0.6725595994792437,1.4404004084232211,0.4665941897013053,0.0665,1.3926064042719788,0.4669254529183659,1.1256157629923074,0.8846811204711276,0.06716772092595669
3,Combined,Normal,3,0.6391506082038522,0.6281817429450192,0.6391506082038522,1.4403147054376435,0.44343271913690363,-0.0010000000000000009,1.4347631758736372,0.44375761690475113,1.007653060710381,0.9953707389177784,-0.0031522945388720025
3,Combined,Normal,4,0.5938754384113244,0.5765994329946462,0.5938754384113244,1.440351441221067,0.4119967445588223,0.15349999999999997,1.924633420200454,0.41231287980825404,1.5688775502199603,0.8402171749072462,0.32060892620558745
3,Combined,Normal,5,0.6021685565245022,0.6093919731985594,0.6021685565245022,1.4403206026505726,0.4177617405045699,-0.009999999999999981,1.8904840356888213,0.4180795357831822,1.0300751874535963,0.9870128639773418,0.008532246004841704
3,Combined,Normal,6,0.6308076679732317,0.6243511468456192,0.6308076679732317,1.4402362732706695,0.43766733518267187,-0.0020000000000000018,1.4395520840612217,0.43798902490859326,0.906565656107795,1.058456449984712,-0.046744170201558743
3,Combined,Normal,7,0.6841958597574858,0.6464844513797797,0.6841958597574858,1.4401355190111202,0.4747699876482381,-0.0005000000000000004,1.309561226076925,0.4750913126030533,0.9670050756512664,1.0136057051636282,-0.007973106167453059
3,Combined,Normal,8,0.6550988799157536,0.6464459331117096,0.6550988799157536,1.44034308129579,0.4544970573744748,-0.006500000000000006,1.4429109571123337,0.4548214254672717,0.9491094142752623,1.0522130409011934,-0.02006757080106214
3,Combined,Normal,9,0.6202324512621581,0.664088739027048,0.6202324512621581,1.4403807363929004,0.4302762907844574,0.13000000000000003,1.4589685134815007,0.4306031371533568,1.4025316448594776,0.9560280239880273,0.2198341813366731
3,Combined,Normal,10,0.7187439526075168,0.7151047167524492,0.7187439526075168,1.4403910538194376,0.49866475068789,0.0005000000000000004,1.8868331725390368,0.4989922462180692,1.0659898471746243,0.9468654087064374,0.023064278973127683
3,Combined,Normal,11,0.7177331592076108,0.6507826967578859,0.7177331592076108,1.440452664211118,0.49794841865920625,0.0010000000000000009,1.3931631279133392,0.49826918447140395,1.002512562310295,0.9895207064285054,0.02425232967173918
3,Combined,Normal,12,0.6460153676319773,0.6212517928461228,0.6460153676319773,1.4404737179231881,0.4481513580551004,0.004500000000000004,1.701504596516434,0.44847425740118707,1.2763819089063406,0.85293899272715,0.12796286490272202
3,Combined,Normal,13,0.7156782384956742,0.7516420190464753,0.7156782384956742,1.440544839521187,0.496484533860503,0.0,1.9637313845455342,0.4968108132572413,1.1704260645762274,0.8306369212015663,0.06423395987428127
3,Combined,Normal,14,0.7184440919067486,0.740563895052419,0.7184440919067486,1.4403208823690035,0.4984835102362531,0.12750000000000003,1.0558855100821005,0.4988083666517321,1.325757575088001,1.0052833896705058,0.1640995393308764
3,Combined,Normal,15,0.6359922491398354,0.6768058298700071,0.6359922491398354,1.4402396284291086,0.44126845822897176,-0.012500000000000011,1.76268302006158,0.4415878092805406,1.5025510196415555,0.9805480511026059,0.26163952245014666
3,Combined,Normal,16,0.7075078074601674,0.7305952331998594,0.7075078074601674,1.4400689986440232,0.49097082235624884,-0.006499999999999978,1.537188817530637,0.4913013352318891,0.9465648850144707,1.0151595704394796,-0.02038049820854304
3,Combined,Normal,17,0.770265355321815,0.7342570771557423,0.770265355321815,1.4400621995686982,0.5345589573487634,0.010000000000000009,1.3896252730841803,0.5348834039604661,1.0303797463137316,0.9544131641111128,0.010972594447548834
3,Combined,Normal,18,0.6845775970904368,0.6791136144041656,0.6845775970904368,1.4404330003333872,0.4749304901043823,-0.0050000000000000044,1.2452340334988974,0.4752582112143407,1.0350877187794045,0.961976332301817,0.025288077348087135
3,Combined,Normal,19,0.6614547431669179,0.710436774529956,0.6614547431669179,1.4407232944131414,0.4587867361691628,0.0,1.2984892009108255,0.4591129742156137,0.9999999994832041,0.9463443309314664,-0.005836681549963418
3,Combined,Normal,20,0.6581978488984954,0.6783803850715219,0.6581978488984954,1.441007301991752,0.456436804230783,0.11850000000000002,1.3574496959505058,0.45676233666200616,1.1802030450861913,0.9346042105145959,0.0957636547339461
3,Combined,Normal,21,0.6715843632520507,0.6546920750650299,0.6715843632520507,1.4412934573010203,0.46563501213299197,0.0005000000000000004,1.4121813891831074,0.46595949889259847,1.0251889163601062,1.0081500254638827,0.007789876605256096
3,Combined,Normal,22,0.6397328606266844,0.6468835359961687,0.6397328606266844,1.4414731522632123,0.4434814726527156,-0.026499999999999996,1.8246319763901806,0.4438049177465145,1.6169154220811366,1.0515749606037492,0.3361140000824586
3,Combined,Normal,23,0.6444676178720987,0.644238639027011,0.6444676178720987,1.4416190882514746,0.44672253819252006,-0.012499999999999983,1.2645426765437704,0.4470443242992855,0.9314720807454455,1.028553396621285,-0.027482207932955305
3,Combined,Normal,24,0.5973740304735092,0.6372377722138323,0.5973740304735092,1.4416675784363622,0.4140444447656307,-0.006499999999999978,1.8135915964638314,0.41436323577874673,0.9949109409695109,1.033095375030515,-0.002599281104571194
3,Combined,Normal,25,0.6181833414633434,0.6231377286896133,0.6181833414633434,1.4417046470667696,0.42846621927232764,-0.00899999999999998,1.5508000093968117,0.4287864060471573,1.0201511329873294,0.9568645581131259,0.008977211088277426
3,Combined,Normal,26,0.6637777859283485,0.6842080887834581,0.6637777859283485,1.441614904849895,0.46011484536588176,0.0945,1.5288279196149932,0.460440438937223,1.085213032037487,0.9023790638977205,0.03690929128745035
3,Combined,Normal,27,0.698415981098161,0.7159761593874988,0.698415981098161,1.4417292334412415,0.4840972072739209,-0.005499999999999977,1.4302282370593493,0.4844293776113864,0.8947368416567734,1.1032839632020293,-0.043554505628544904
3,Combined,Normal,28,0.621521276350335,0.6710786326996876,0.621521276350335,1.441880475616143,0.4307235877152706,-0.00849999999999998,1.1149014674950042,0.43104910529674495,0.9752475242696794,1.063406404050468,-0.0050348516360809725
3,Combined,Normal,29,0.614539280431619,0.6606182318119421,0.614539280431619,1.441888189515573,0.42589950716416314,0.1775,1.3448263793659103,0.42620454080090325,1.3072916659857856,0.8387470550116003,0.13623140127310285
3,Combined,Ischaemia,0,0.6780158140376681,0.6353671843323699,0.6780158140376681,1.4412401629502898,0.47024079961158205,-0.005500000000000005,1.050537620613409,0.47043917752967757,0.94722955095133,1.0394882340299876,-0.019476642075435202
3,Combined,Ischaemia,1,0.5732800269390816,0.5871014244311772,0.5732800269390816,1.4411642555610154,0.3975931175597215,-0.0040000000000000036,2.663411210945532,0.3977895257137399,1.0468749994547526,0.8902451310709084,0.003881811408048108
3,Combined,Ischaemia,2,0.6519321693033582,0.6292814201358164,0.6519321693033582,1.4412263770956075,0.4521401389750917,-0.02149999999999999,1.8784746186726733,0.45234544743659416,0.8421052627357868,1.1723475641818606,-0.062235842889156956
3,Combined,Ischaemia,3,0.5901706209093074,0.5723144644020262,0.5901706209093074,1.4411066865868238,0.4093235281724545,-0.02650000000000001,1.7434467138197003,0.40952598812359464,1.4698162721943222,0.809634656422066,0.22280345888993758
3,Combined,Ischaemia,4,0.5663268102544111,0.5438534269907532,0.5663268102544111,1.4411024705221958,0.3927837601434923,0.01849999999999999,1.3412364688164906,0.3929816513044945,1.015748030962862,0.9996478736906657,0.00976146071750994
3,Combined,Ischaemia,5,0.5780415738684345,0.5477926858868524,0.5780415738684345,1.441154633369979,0.40089544246291586,-0.0025000000000000022,2.5707644311759763,0.40109616208970533,1.0485175196503949,0.9773935355438066,0.016812317522145626
3,Combined,Ischaemia,6,0.5467648167574364,0.554933196843447,0.5467648167574364,1.4411201706474563,0.37920414691510285,-0.009999999999999981,1.9631071527800774,0.37940266556921687,0.8880208328708225,1.1048696109561658,-0.02224361031282085
3,Combined,Ischaemia,7,0.5946025502500701,0.5747789027044996,0.5946025502500701,1.441062538066655,0.41241085035936287,0.07299999999999998,2.3633771790795945,0.4126139938887393,1.3947368413711911,0.8164241490207549,0.15554959050965456
3,Combined,Ischaemia,8,0.5801956227849828,0.5842483051551585,0.5801956227849828,1.4409498143701684,0.40244669904766983,0.07649999999999998,1.7652816700600589,0.40264805587563884,1.3636363629071464,0.8539576067962382,0.16476897885791997
