State,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Rise_Decay_Ratio_Red,Rise_Decay_Ratio_IR,b_a_Red,b_a_IR,c_a_Red,c_a_IR,d_a_Red,d_a_IR,e_a_Red,e_a_IR,Skewness_Red,Skewness_IR,Kurtosis_Red,Kurtosis_IR,Variance_Red,Variance_IR
Normal,0,0.4290567520425293,0.6178920346244756,0.4290567520425293,0.17524509803921567,0.1824907521578298,-0.9086887853713841,-0.9440994179269887,0.420538386459481,0.2203254658680874,-0.36725258995928634,-0.20139846765348945,0.6677574244530692,0.40025348185642057,-0.3297729779111986,-0.2154601545911923,-1.209020974433488,-1.2535336456295527,0.09390429588503674,0.09438279370514771
Normal,1,0.42083467975250555,0.6061082584590808,0.42083467975250555,0.18796526054590568,0.19314641744548286,-0.6488183649097888,-1.0219137117346304,0.6708908539941788,0.19250786989840565,-0.6356671048767484,-0.16587059109303798,0.6960782323568278,0.3857827182319703,-0.376375692602518,-0.13133519038565467,-1.257962669407656,-1.2881475343417998,0.09715982094711254,0.09942872043205138
Normal,2,0.4622250790887615,0.6657843378596956,0.4622250790887615,0.3708421797593772,0.20460199004975124,-1.1551268767819942,-1.041204116510689,1.2150298919114708,0.234338653515761,-0.7862869565547015,-0.21132015767601367,0.9209780467722134,0.5079231183974519,-0.13553929914203142,-0.13422776851251964,-1.3248314680624171,-1.3287745307974508,0.10028109811822095,0.09978011994691885
Normal,3,0.4408512318086569,0.6349718412118137,0.4408512318086569,0.2483912483912484,0.19901112484548825,-0.8742571555895539,-0.9649380653270697,0.5260894018517135,0.1828115579682595,-0.5235761119046884,-0.22461522576567455,0.506191028971554,0.5440989176980798,-0.1463000728339274,-0.12579007971550898,-1.4650486894263834,-1.3467910897491358,0.0982358507737501,0.10018379064256175
Normal,4,0.42367875192167787,0.6102436958523366,0.42367875192167787,0.35613540197461213,0.18997524752475245,-0.947510191335732,-1.076847740973191,0.4998613274713573,0.20368822413119692,-0.43936508755797027,-0.2221935398164995,0.6760144144436592,0.5169262593797492,-0.2651408966697147,-0.11323481452641189,-1.5111324828202457,-1.3530629092655604,0.11638712328487913,0.10199259833191578
Normal,5,0.44255067882545096,0.6374167532578122,0.44255067882545096,0.2458064516129032,0.1956656346749226,-0.7797340841015687,-0.9599633491007716,0.6002810389260137,0.1473432120189374,-0.526590477234281,-0.2089823060070925,0.8249713509752177,0.524731494075431,-0.06578376094269861,-0.1159908020269442,-1.5890445371578306,-1.335605928353618,0.10549969044337619,0.10184084163122711
Normal,6,0.46341835138367127,0.667433037474634,0.4634183513836712,0.1913312693498452,0.18838789376158122,-0.6132561521842469,-1.0559537239129992,0.6084519709966881,0.21103579737472364,-0.530730692332996,-0.20555579152441325,0.5748229670208865,0.47683751410471403,-0.19492290449877703,-0.10947511814753014,-1.214008186985916,-1.3476206982457843,0.08562176969551057,0.10090299961347855
Normal,7,0.4787887842616389,0.6895138675428083,0.47878878426163896,0.19477286869943997,0.19032858028518287,-1.305200436986177,-0.988041211122109,0.5229610466990368,0.2941008272272445,-0.3530464888749066,-0.15872924235814675,0.4017061187492603,0.47315883273647635,-0.0647279004661819,-0.15752995965497776,-1.3091254672552062,-1.3471149666440139,0.09522676468443861,0.10150710530945849
Normal,8,0.4772710669606103,0.6874318921435111,0.4772710669606103,0.1693889897156685,0.19468479604449937,-1.057348497605505,-1.1309645317071342,0.2804541698427597,0.20430215971243035,-0.47263979683603097,-0.24437731511538022,0.9449892199204741,0.488538760260824,-0.23428181431353787,-0.1504484155776074,-1.2792628667605639,-1.3267024039371076,0.09140200084682067,0.10081975998771385
Normal,9,0.4319469037310781,0.6221661771444728,0.431946903731078,0.36871903750884644,0.19678217821782176,-0.6187462454154672,-0.9926118448060935,0.37570331577092325,0.19928055805255585,-0.2983069759247678,-0.16850482895980448,0.4085249705185245,0.4797777188827479,-0.41448710086639795,-0.12358602500416101,-1.1895606631749707,-1.3334133877490717,0.11215013625058598,0.09889106083774807
