State,Channel,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Normal,Red,1,3.0756619357720885,3137.4426728926305,631.8199056748933,2505.6227672177374,0.25216082562039893,913.066765980064,137.48810152154957,6.641060250853432,3.0760828602047674
Normal,Red,2,2.7816022123884547,2829.6259539088196,1082.487738707986,1747.1382152008332,0.6195776208716002,697.3242811968688,117.41462363468762,5.938990047495748,2.6107208250881286
Normal,Red,3,2.9402833349730058,3004.4550186649385,588.9865408476468,2415.4684778172923,0.24383946478981877,806.6719611932233,163.9739239884805,4.919513673710057,2.9402833349730058
Normal,Red,4,3.0524669327102405,3051.9508886438125,551.8185505769276,2500.1323380668846,0.22071573659320634,919.4770109992039,221.25299660322187,4.155772012652662,3.052473479070291
Normal,Red,5,3.2038906524598607,3178.3685199653787,614.8751873694371,2563.493332595941,0.2398583134783421,904.3420702776045,246.357015047439,3.6708598295991797,3.203917846698687
Normal,Red,6,3.1917534922140427,3257.867806786978,610.0482122693761,2647.819594517601,0.23039644148434482,940.504853315743,204.16872311104035,4.606507985085623,3.1917534922140427
Normal,Red,7,2.9566597440410796,3322.9297038268487,680.0178811550185,2642.91182267183,0.25729873971639355,845.592318690795,265.5897641628679,3.183828719288487,2.9573164357048505
Normal,Red,8,3.5153792533955777,3516.0081285839087,697.234098644871,2818.7740299390375,0.24735366909136391,936.1997778923533,292.6043754865875,3.1995412793656843,3.5153792533955777
Normal,Red,9,3.394041155670118,3204.6194709104343,680.7391184922889,2523.880352418145,0.26971925108893086,885.4354879609516,273.75249151002765,3.2344380979945084,3.394157188957875
Normal,Red,10,3.051588426757453,3110.5003284473614,640.3287188781945,2470.1716095691672,0.2592243860295508,582.4474090846137,260.7042279656864,2.234131044323818,3.036717865793368
Normal,Red,11,3.1987412749137456,3738.0204161647453,684.613756147789,3053.4066600169563,0.2242130945453519,783.6605571738955,430.5663723532337,1.8200691170814096,3.1991558026460662
Normal,Red,12,3.378388133187374,3686.472694711701,1157.1114461040995,2529.3612486076013,0.4574718011280843,1025.2475015286432,278.49969795379803,3.6813235671757445,3.383408040289325
Normal,Red,13,2.9901879608984956,3382.6184449975854,1183.8547651219433,2198.763679875642,0.538418373905876,872.6863197609327,266.13671910462205,3.2790902461597855,2.948148846640149
Normal,Red,14,3.432377929609172,3643.260898176318,628.1668723018527,3015.094025874465,0.20834072400765877,977.3380200654597,377.96557698466825,2.585785795263319,3.432424141353592
Normal,Red,15,3.7408612503867236,3661.11170585259,748.4952347679705,2912.6164710846197,0.2569837952228708,1030.703706796762,322.23677746249894,3.1985911568294294,3.740923367551501
Normal,Red,16,3.356487053172426,3410.026863187198,691.1337306479044,2718.8931325392937,0.2541967252690157,897.2298287081917,274.8553129161771,3.264371422144642,3.356492603369719
Normal,Red,17,3.1509574217677185,3530.637572142352,603.5577971711721,2927.07977497118,0.20619793226411626,907.9784872997565,345.0931318593159,2.631111440577473,3.151083069417397
Normal,Red,18,3.1845791950706404,3329.2503415681495,845.8380792723162,2483.412262295834,0.34059511266581505,871.3093584718408,219.6841643827492,3.9661910129934737,3.1853604511816904
Normal,Red,19,3.225161378956579,3237.218980323552,603.6923262099875,2633.5266541135643,0.22923342175672348,856.0584932547201,273.28655304065774,3.132457428768409,3.225182191161621
Normal,Red,20,3.120227391892108,3222.139428266626,1385.6419046913174,1836.4975235753086,0.7545024629239566,898.4273144311206,259.9195119413042,3.4565597162017068,2.9732012277724698
Normal,Red,21,3.0455769363940473,3186.994392005209,558.3376253705255,2628.6567666346837,0.2124041573085758,883.8215194089332,268.9275464583216,3.28646704678841,3.0455826821939977
Normal,Red,22,2.925128186645475,3135.434086986568,591.4684695888942,2543.9656173976746,0.23249860986483428,848.2013447893637,202.4527850503846,4.189625470344955,2.925128186645475
Normal,Red,23,2.938158933024698,3061.429985488475,568.4699171606482,2492.9600683278263,0.2280300933748827,790.6905534228864,219.05580915249664,3.6095393063620778,2.9381642627068727
Normal,Red,24,3.0278127366057017,3359.4590165247796,717.8432022473827,2641.615814277397,0.27174398274252676,862.9988305207154,304.1944672143264,2.836997130236008,3.0281062914983323
Normal,IR,1,3.1970028532323393,3239.2681968532997,637.234175726084,2602.0340211272155,0.24489847963249559,919.7738687788224,223.89201434802743,4.10811377733681,3.197018022693965
Normal,IR,2,3.166085782724017,3183.2092088229283,620.0374974578,2563.171711365128,0.24190244247334183,893.793188675919,222.2665505663299,4.021267196519473,3.166085782724017
Normal,IR,3,3.166446162390862,3197.8393819412586,636.719450867477,2561.119931073781,0.24860977541201068,892.2920128895853,232.92979032552228,3.8307337659240415,3.166446162390862
Normal,IR,4,3.1730340775644206,3170.641741157633,634.1016215713133,2536.54011958632,0.2499868291752972,896.4301282764533,218.99265084857447,4.09342562320186,3.1730340775644206
Normal,IR,5,3.092331462544929,3189.0374843817435,613.1622717629706,2575.875212618773,0.23804036343033752,874.9516167059741,232.4541914864209,3.763974360329336,3.092331462544929
Normal,IR,6,3.179216073532933,3268.7771512758104,627.3524697280882,2641.4246815477222,0.23750534100427043,905.475470643301,248.49698855757634,3.6438086268136156,3.179216073532933
Normal,IR,7,3.234974895626398,3245.6537996986563,643.9581622914674,2601.6956374071888,0.24751479497933376,917.3334750508375,226.9072108877387,4.0427691630509,3.234985074486218
Normal,IR,8,3.179055106618148,3189.1490980684475,632.4971221685436,2556.651975899904,0.24739273398598333,901.1765639328912,224.55771270207424,4.013117844357911,3.179060177537835
Normal,IR,9,3.104455775076088,3193.8455075451443,624.5481642788651,2569.297343266279,0.24308131011605444,878.5897310706781,236.06373684679957,3.7218326830133357,3.104455775076088
Normal,IR,10,3.1767144808653502,3247.8275322483214,641.2398696931233,2606.587662555198,0.24600740612135238,901.1163732628196,247.94083634386575,3.6344007971848318,3.1767144808653502
