PI,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,Crest_Time,Decay_Time,Pulse_Width,PW50,Rise_Decay_Ratio,Systolic_Width,Diastolic_Width,Width_Ratio,Upslope,Downslope,Slope_Ratio,Delta_T,b_a,c_a,d_a,e_a,DNP,RWI,Skewness,Kurtosis,Variance,State,Channel,Pulse_Index
0.024567374805601574,0.0005741784063612835,0.4389125706894801,0.17288252329104953,0.2660300473984305,0.6498608894623811,0.09577218867049733,0.044167195497811666,2.1684009449593065,0.0004237200068582492,0.235,0.4035,0.6385,0.4505,0.5824039651592554,0.356,0.2825,1.260176990704362,13.329287497486064,-4.009598593077101,3.3243446164829895,0.092,-0.6841966852152543,0.3987298210179736,-0.3953522300165622,0.29879356854061406,484.89223545547424,0.9264207245909376,-0.5876824054147729,-0.7878010370203286,0.08070149287488064,Normal,IR,0
0.04178979360209564,0.000976776672334732,0.9322343746297637,0.1275205408851907,0.804713833744573,0.15846694256013094,0.2848798026551491,0.08526478500901899,3.3411191066851775,0.0008935684335574089,0.1495,0.829,0.9785,0.5315,0.1803377563111776,0.398,0.5805,0.6856158482884382,10.544387670567971,-3.218278208914967,3.27640650862044,0.0,-0.9995705559665383,0.5129162377987352,-0.6121399982057971,0.7186098620849205,285.5058076453659,0.8872652160189698,-0.11696276102284234,-1.2859689797252918,0.08363996420025703,Normal,IR,1
0.043708697894739065,0.0010216426282741967,1.0569475195006324,0.3496524131022988,0.7072951063983337,0.49435152299208296,0.33946611175615393,0.08775332352063717,3.868413158043861,0.0010179591539930483,0.2505,0.734,0.9845,0.5235,0.34128065390445766,0.4705,0.514,0.9153696496273599,11.262074450987711,-3.17989175470359,3.5416534018728973,0.15,-0.7425444944533726,0.6101348071736579,-0.5266404779034848,0.4506550485478301,252.86723849185233,0.7927965796469537,-0.032141859068874123,-1.314779457984606,0.09490350925910516,Normal,IR,2
0.04442741339379954,0.0010384471971428572,1.0504486764511827,0.15115689189388204,0.8992917845573009,0.16808436869184168,0.33285213226680216,0.07702269177290641,4.321481425448422,0.001029374716445775,0.1505,0.828,0.9785,0.533,0.1817632850022025,0.3985,0.58,0.6870689653987813,11.163868301811476,-2.4902208251186266,4.483083664209319,0.0,-1.0942558306862284,0.635386770799757,-0.49495873726594575,0.4877772469021605,216.6669263051765,0.9123466173616471,-0.12958546715625247,-1.2815295376300562,0.09319164595547084,Normal,IR,3
0.044301746178724434,0.001035521040689618,1.0821520428627909,0.15875405068043216,0.9233979921823587,0.17192375552825329,0.3315601585467993,0.08946275472700486,3.7061250705720044,0.0010177973201633888,0.1545,0.8265,0.981,0.5295,0.18693284934217388,0.402,0.579,0.6943005180148014,11.163916716774963,-2.603652178525067,4.287791129869885,0.0,-1.0682751921410127,0.5647117550452755,-0.5897577777438281,0.5450851876690197,262.00773792754694,0.8993474876762619,-0.1867760959904889,-1.3169319107314106,0.09497990720633817,Normal,IR,4
0.044303652758841884,0.001035577567370666,1.0617872358711895,0.15648906547413663,0.905298170397053,0.17285914251678702,0.3361026473778254,0.07141397000293902,4.706399138618863,0.0010294581728779659,0.152,0.8205,0.9725,0.536,0.1852528945538997,0.398,0.5745,0.6927763271204915,11.63543480841355,-2.5623591922970945,4.54090700590988,0.0,-1.0258231803193687,0.5548933832366519,-0.5833132205425875,0.47207355347494323,235.6036201859838,0.9423094217534594,-0.16829131324756194,-1.339032307933156,0.0974857395437641,Normal,IR,5
0.04245923541406956,0.000992474573820519,1.018718941361757,0.17121258521953667,0.8475063561422204,0.20201923437917377,0.31001656632955504,0.06907121001908932,4.488361587918311,0.0009908686134644893,0.171,0.8065,0.9775,0.5095,0.2120272783370084,0.4125,0.565,0.7300884954460021,10.816331873594322,-3.63665861902723,2.9742499933057114,0.0005,-0.8355394380943266,0.45653391167879165,-0.5783638481987884,0.5387711202194501,241.44899338411886,0.9224389103474987,-0.11935133644262473,-1.3450062421285371,0.10178794807336396,Normal,IR,6
0.043307030188162614,0.0010123033265664618,1.055576548480198,0.14577070161248998,0.909805846867708,0.16022176830180765,0.3053560499722278,0.08644004647394787,3.532576185171318,0.0009678788658569789,0.1585,0.8205,0.979,0.5735,0.19317489333416515,0.4045,0.5745,0.7040905133674342,10.960669449938337,-2.9299608873534453,3.7408927528260367,0.0005,-1.0575768857525965,0.5219148521984553,-0.648497464625655,0.4992879229975085,220.7718103960367,0.9490702636984966,-0.23395540838055137,-1.3093415030097164,0.09660320551715974,Normal,IR,7
0.04384661617083005,0.0010249193190509033,1.0731267478738045,0.17909296884539505,0.8940337790284095,0.2003201366954973,0.33763842572264363,0.0728012737420706,4.637809311621251,0.0010175219247585557,0.167,0.8245,0.9915,0.5455,0.20254699815614954,0.414,0.5775,0.7168831167589812,11.121117459407287,-3.0168187585850603,3.6863724171002716,0.1645,-0.9343727487396364,0.5263858644276044,-0.5614084264298902,0.5679227466002981,272.9309608693238,0.9269139515674809,-0.16189162399944879,-1.3529321073228584,0.09681539511353437,Normal,IR,8
0.04404521788377115,0.0010295834164705518,1.0289001269347784,0.17653328522436101,0.8523668417104175,0.2071095173639161,0.3308458968323478,0.06891893997725806,4.8005076175209584,0.0010248509321582676,0.163,0.814,0.977,0.545,0.20024570022110005,0.407,0.57,0.7140350875940289,10.356654916754337,-2.7563503326456953,3.757379747311626,0.0,-0.8439618137547445,0.5233668313475046,-0.690775690032307,0.5936186014317304,244.36811799102972,0.87270483595482,-0.14282701167037856,-1.2870256940176068,0.09500459575489209,Normal,IR,9
