Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,State,Channel,Pulse_ID
0.0029089522255561565,2.989584561337717,0.5581204694415487,2.431464091896168,0.2295409055398801,0.7968601154698396,0.2433007937761244,3.2752055720914672,0.002909015615164239,Normal,Red,0
0.0027886916048661366,3.0767157583460585,0.5596486414365631,2.5170671169094954,0.22234156478263112,0.8070612739280276,0.24345051723145653,3.3150936917530864,0.002788741284567865,Normal,Red,1
0.003190513406493607,3.278540658836021,0.7793723057095692,2.499168353126452,0.31185266280063795,0.8527037249017362,0.2524751916945801,3.3773762846896025,0.003190540312947852,Normal,Red,2
0.0029840130989589116,3.0437534953283034,0.6129932947960738,2.4307602005322297,0.25218172268159367,0.8858588861682934,0.1340840165901086,6.606744850703133,0.002984422014930925,Normal,Red,3
0.0026987904420889704,2.7454369450351646,1.0502584760263964,1.695178469008768,0.6195562857995244,0.6765621700655763,0.11470764787260895,5.898143520621632,0.0025329917349391435,Normal,Red,4
0.0028527091394532477,2.9149365705696537,0.5714439587119179,2.3434926118577355,0.243842867615837,0.7826457060985055,0.15966265501161253,4.901870797786636,0.0028527091394532477,Normal,Red,5
0.002961559893470826,2.9610548040293927,0.5353845685861109,2.425670235443282,0.22071613888945274,0.8920935805512931,0.21563358241642366,4.137080924753708,0.0029615662419944224,Normal,Red,6
0.0031084851212058624,3.0837603495777204,0.5965654053480482,2.4871949442296724,0.23985470328013028,0.8744484396969829,0.2390408824543741,3.6581543320895724,0.0031085115319432737,Normal,Red,7
0.0030966750827980593,3.160724640746815,0.5918757391439278,2.568848901602888,0.23040504203054307,0.9124880577433685,0.1990415987269201,4.584408804891476,0.0030966750827980593,Normal,Red,8
0.0028686115371274563,3.2239886187830895,0.659767110784747,2.5642215079983424,0.2572972376710809,0.8175428191172187,0.25768875745004427,3.1725979325105333,0.0028692487805991617,Normal,Red,9
0.0034106672484854527,3.411206275916739,0.6764654824500448,2.7347407934666945,0.24735999991886734,0.908312997951145,0.2849117107405047,3.188050766991565,0.0034106672484854527,Normal,Red,10
0.003292921737931151,3.1090080415828947,0.6604577513468605,2.4485502902360343,0.2697341990403611,0.8558613098979586,0.265523796207805,3.2232941910341704,0.0032930344182075626,Normal,Red,11
0.002960730734148174,3.017949730895327,0.6212646130889089,2.3966851178064186,0.25921828799000735,0.565106662852617,0.25427389889556923,2.2224328383964704,0.002946302207278423,Normal,Red,12
0.0031035095121254757,3.6268273345396764,0.6642322621943295,2.9625950723453474,0.22420622662701184,0.7572391105498092,0.41780015375575585,1.8124433505893056,0.0031039119562238223,Normal,Red,13
0.003277705085291001,3.5764311987073896,1.1226328643815402,2.4537983343258496,0.45750820215222354,0.9946986364746471,0.27134476038381733,3.6658111071230755,0.0032825856561721875,Normal,Red,14
0.0029011463417182243,3.2819108308613965,1.1486010283315058,2.133309802529891,0.5384126707566713,0.8466986178952942,0.2595974836852883,3.2615825310608653,0.002860356111458031,Normal,Red,15
0.0033301541154023336,3.534742593933567,0.6094586612402799,2.9252839326932873,0.20834171152718015,0.9482306536893482,0.368052544040268,2.576345875184615,0.0033301989411813285,Normal,Red,16
0.003629435908264168,3.551995481960973,0.7262004839425819,2.8257949980183916,0.2569897973674081,1.0000029301649396,0.3139185918286929,3.1855485982513794,0.003629496264720989,Normal,Red,17
0.0032565009337788523,3.308358194224632,0.6705455888796832,2.6378126053449487,0.25420516511331004,0.8673294997128711,0.2666199794696339,3.253055159025146,0.0032565063817395915,Normal,Red,18
0.003057117950687178,3.425489598083564,0.5855830870297563,2.8399065110538073,0.20619801558624662,0.8809377419357518,0.33608861595107203,2.621147221672034,0.0030572398548323826,Normal,Red,19
0.0030896813784092097,3.2298798246386684,0.8206347052724078,2.4092451193662603,0.34061901741582506,0.8453469574507607,0.21418482133435143,3.946810759905058,0.0030904404778903036,Normal,Red,20
