Depth,Channel,State,Pulse_Index,AC_Component,AUC,AUC_Ratio,Amplitude,DC_Component,DNP,D_AUC,Datum_Area_Ratio,Delta_T,Diastolic_Width,Downslope,Downslope_Length,Downslope_Length_Ratio,End_Datum_Area,Fall_Time,IPAR,Kurtosis,Length_Height_Ratio,Max_Start_Datum_Diff,Onset_End_Slope,PI,PW50,Pulse_Width,RWI,Rise_Decay_Time_Ratio,Rise_Time,SDPPG_b_a,SDPPG_c_a,SDPPG_d_a,SDPPG_e_a,S_AUC,Skewness,Slope_Length_Ratio,Slope_Ratio,Start_Datum_Area,Systolic_Width,Upslope,Upslope_Length,Upslope_Length_Ratio,Variance,Width_Ratio
15,IR,Normal,0,0.0004924583799134506,0.3486050287013378,0.9352910997572806,0.0004924583799134506,2.337153298844302,0.7820395419259215,0.18013053883807445,1.9042832869188306,0.1,0.2415,-5.450424224742164,1.072273962445688,0.5228008312610101,0.03879803857911944,0.3445,0.3902924844946046,-0.9380512099841112,2.0510185062996698,0.000496647680995,-0.18445135659169254,0.021070863436125277,0.409,0.6075,0.7920637309711276,0.763425253769688,0.263,-0.6907928231540911,0.4207802898989396,-0.5872752150875534,0.45058016849161375,0.16847448986326333,-0.5833032899867139,0.9127743111936387,1.8800401269450866,0.0738824566218775,0.366,10.247016251576838,0.978744127573514,0.4771991686902337,0.09047445104162966,1.5155279496830112
15,IR,Normal,1,0.0010239522757659893,0.9502917822245367,0.22428562063542917,0.0010239522757659893,2.3373586773075896,0.769659906181904,0.776201048337795,3.717672163916117,0.1435,0.5525,-2.236590682243701,1.308238438833421,0.5819125375975499,0.0762504787766497,0.789,0.6191259631939421,-1.3448580641040508,2.2481704412301164,0.0009972097897734,-0.09525742949614414,0.043808093540084095,0.5195,0.971,0.8479324265331191,0.23067173634592245,0.182,-0.8643542118828842,0.5615696217526336,-0.6457295430131811,0.6159744839806534,0.17409073388674168,-0.05460757389543995,0.7184713085098717,3.8028771594177226,0.2834742828049944,0.4185,8.50547962085136,0.9399317830634069,0.4180874623579696,0.08961137434096288,0.7574660632113184
15,IR,Normal,2,0.0010692173619876843,1.0987614371970384,0.29219899772784924,0.0010692173619876843,2.3373899080277387,0.7430423848347468,0.8503035825750032,3.701475389794385,0.266,0.542,-2.1921338762556672,1.2984312946887466,0.5559294905271883,0.08600576923119208,0.774,0.6230203343580868,-1.3821704915261,2.3356044931337427,0.0010334264927635,-0.008574870687649644,0.04574407368961959,0.51,0.987,0.9418755338207622,0.2751937984140576,0.213,-0.655695131243407,0.5490406995931923,-0.5788900528147886,0.6282558310946538,0.24845785462203532,0.013624675935665864,0.798789265478043,3.9677973232426926,0.31834823855974015,0.445,8.697942926793644,1.0371729802380072,0.444070509429996,0.10412922758362769,0.8210332101806211
15,IR,Normal,3,0.001109674127408022,1.1228548616426122,0.23064600586366335,0.001109674127408022,2.3373998661652666,0.7631833132060537,0.9124109258629022,3.8127984106257347,0.145,0.5515,-2.080452430440346,1.2905545737594255,0.5586752310583047,0.08489968349125435,0.7875,0.5997087455093096,-1.3363922085094424,2.3100266812081705,0.0010582022614801,-0.014435336239635665,0.047474723662968135,0.524,0.9785,0.8778839744802028,0.24253968250888386,0.191,-0.9341018690661465,0.5387447665270424,-0.5983582074621895,0.5080668123807849,0.21044393577971005,-0.11753690041734131,0.789948693498014,4.3000041169399905,0.32370537865936233,0.427,8.945954016421297,1.0194718995081393,0.44132476889840544,0.09679272223324369,0.7742520397508156
15,IR,Normal,4,0.0011046381517499976,1.1609834695960637,0.2184424903655848,0.0011046381517499976,2.337428569180196,0.8344890241529692,0.9528422381477148,3.309491184194382,0.1375,0.5545,-2.1974696641534734,1.3228180346022098,0.5648400455045116,0.09812712647981764,0.7915,0.5691448700801337,-1.3658712696869508,2.341934083273371,0.0010370358952141,-0.014780036907852087,0.047258691292977884,0.5265,0.981,0.8792817319390316,0.23941882498554407,0.1895,-1.1705767388496966,0.5761210544270311,-0.564744572737272,0.6914699338329573,0.2081412314483487,-0.16575916987101597,0.7704127175175938,4.1018229629676055,0.3247508603462327,0.4265,9.013631529259612,1.019115836896212,0.4351599544527886,0.09876750360119341,0.7691614065339655
15,IR,Normal,5,0.0011200885304893191,1.1552989021044107,0.23582881431762925,0.0011200885304893191,2.337450472201346,0.7766140503150246,0.9348373243091386,3.8030096114089975,0.135,0.5465,-2.1561414886826924,1.2710385194106966,0.5513543822228676,0.08639400247792263,0.7805,0.5901605280042761,-1.376790341507836,2.3053024945239167,0.0010524666517235,0.024744645518386305,0.047919241231517154,0.537,0.974,0.9054942343984366,0.247918001249466,0.1935,-0.9067386450404569,0.5176979093162101,-0.7277435049356963,0.6137069621134845,0.2204615777952721,-0.1542875287556544,0.8137155197527854,4.179967119844326,0.32855722217193345,0.4275,9.012600528843848,1.0342637695294574,0.4486456177337542,0.09851314734003211,0.7822506860416741
15,IR,Normal,6,0.0010816620957406961,1.1289400085111407,0.23702729956642293,0.0010816620957406961,2.337473565792138,0.7543005128389354,0.9126233583390848,3.658538217745743,0.135,0.5465,-2.2978395494638164,1.3051957851280283,0.5574588383099871,0.08526380293143371,0.7805,0.5744247793880191,-1.3786106795240034,2.341331441733712,0.0010409685186034,0.012656270776705787,0.04627483756496988,0.531,0.98,0.9306541174468157,0.2556053811331704,0.1995,-0.8402095144828494,0.5149859169613005,-0.6072690715169892,0.6322720880293241,0.21631665017205592,-0.12287365884722387,0.7938544179423546,3.813577123274996,0.3119408819808455,0.4335,8.762988339173091,1.0361354403830108,0.4425411616473021,0.10180649342721065,0.7932296430387503
15,IR,Normal,7,0.001074683936586941,1.1395007451244465,0.22957477376578966,0.001074683936586941,2.3375034652726847,0.8245093157667437,0.9267437567961538,3.4435698950889164,0.144,0.5475,-2.21477481135679,1.2946072656859313,0.5601499292364666,0.09019752314260238,0.7815,0.5566425946692523,-1.3485187020433154,2.311180129450556,0.0010264077462324,-0.019892458678701045,0.04597571522383161,0.556,0.9785,0.9063879639261087,0.25207933458066806,0.197,-0.9037710050796183,0.5268024347000285,-0.5142235732149676,0.5946530817927532,0.21275698832829248,-0.21927335295687594,0.7852363228642093,3.9221999524133113,0.31060147564980833,0.431,8.686789660102022,1.0165726489390328,0.4398500707202656,0.10100105668804969,0.7872146117283626
15,IR,Normal,8,0.0011053222796067724,1.1201077803954211,0.23689467520760032,0.0011053222796067724,2.3375152076012435,0.7788308565356564,0.9055805662545462,4.4619317342361455,0.141,0.5535,-2.3583842894119016,1.262455525225827,0.5497532442013192,0.0729901237743941,0.7905,0.6082299488642061,-1.3893792043408713,2.296404164189621,0.0010569693767246,0.05120583787031969,0.0472862069930132,0.541,0.984,0.8941898927964753,0.244781783650249,0.1935,-1.065909257182279,0.4880211671274425,-0.862876261454086,0.6791690277907468,0.21452721414087497,-0.1534974831461282,0.8189979058215253,3.7993085006166196,0.3256769500009863,0.4305,8.960229478863255,1.0339484314346659,0.4502467557551344,0.09768968959723645,0.7777777776372579
15,IR,Normal,9,0.0010970071717843603,1.0970947079590798,0.22935588482508457,0.0010970071717843603,2.3375603338438635,0.7655953205623353,0.8924142483705939,3.7512705167724185,0.135,0.547,-1.811509870911891,1.2845673582530952,0.5595429931578078,0.0822665861750804,0.781,0.5812768625633704,-1.344372107753003,2.2957440105122395,0.0010776961680402,-0.024818344676610562,0.046929576783736826,0.5275,0.9745,0.8787624614618795,0.24775928293882724,0.1935,-0.9979578458637797,0.3404308285978209,-0.666635967681678,0.6073921299940954,0.20468045958848594,-0.136416117623446,0.7871727680452301,4.872595490042061,0.3086042196092236,0.4275,8.826754827659215,1.011176443215355,0.44045700679863314,0.09782260780257548,0.7815356488516387
