Channel,Feature,N_Normal,N_Ischaemia,N_Congestion,Mean_Normal,Mean_Ischaemia,Mean_Congestion,Std_Normal,Std_Ischaemia,Std_Congestion,KW_H_statistic,KW_p_value,KW_significant,Eta_squared,PostHoc_Normal_vs_Ischaemia_p,PostHoc_Normal_vs_Ischaemia_sig,PostHoc_Normal_vs_Congestion_p,PostHoc_Normal_vs_Congestion_sig,PostHoc_Ischaemia_vs_Congestion_p,PostHoc_Ischaemia_vs_Congestion_sig
Red,Amplitude,84,81,84,0.00486441847419951,0.0036276331225589065,0.004741095100000547,0.0010346800797621188,0.0007709631954652157,0.0009739027554560273,88.73109817930938,5.398670773565768e-20,True,0.3525654397532902,1.1325135507265335e-15,True,0.017422785658735642,True,1.328400250558611e-14,True
Red,DC,84,81,84,2.6232333958868144,2.6356762876431343,2.588460144839201,0.0013380761716256808,0.0008552483295805927,0.002195786557514938,220.59144753423507,1.2565384728537832e-48,True,0.8885831200578661,3.7344082761055426e-28,True,1.3109617096127365e-28,True,3.8093448116258e-28,True
Red,PI,84,81,84,0.185450258554745,0.13764367371466238,0.1831812842853516,0.03948516689674746,0.02927619254831303,0.03768462812277325,91.17190417164024,1.593208287426461e-20,True,0.3624874153318709,2.7502969382755657e-16,True,1.0,False,5.924051138285903e-16,True
Red,AUC,84,81,84,0.001761204304812014,0.001230268026208975,0.0017076804988812757,0.000887949021496121,0.0006362713350562477,0.0008604723312774354,29.691835532606547,3.5686161395290837e-07,True,0.11256843712441686,3.49352607014259e-06,True,1.0,False,1.6705079140748673e-05,True
Red,S_AUC,84,81,84,0.0005422040365476953,0.00044226014125855144,0.0005869013758090314,0.0003349281245405047,0.0002796671433658649,0.0003535726099338459,6.98328537709392,0.030450809867473484,True,0.02025725763046309,0.20016763777766283,False,1.0,False,0.028540856083972617,True
Red,D_AUC,84,81,84,0.0012190002682643188,0.0007880078849504235,0.0011207791230722444,0.0008095231065181361,0.0005550946415972962,0.0007715107209692654,18.616265272731084,9.06837266581735e-05,True,0.06754579379158977,0.0001865824794337435,True,0.8109177417261708,False,0.0030706497796926585,True
Red,AUC_Ratio,78,79,79,1.4908292816992028,1.5979725453626759,2.8504553047039156,3.633748644693417,3.607554763040343,9.079515475094828,1.2116325561829626,0.5456288599268388,False,-0.003383551261017328,1.0,False,0.855172991265701,False,1.0,False
Red,Start_Datum_Area,84,81,84,-1.0465351304273837e-05,-1.6774504619613824e-05,-2.805604984474591e-06,0.00010682153449727638,8.913399873620404e-05,8.306646307646673e-05,0.3882672702623673,0.8235478419907467,False,-0.006551759063974117,1.0,False,1.0,False,1.0,False
Red,End_Datum_Area,84,81,84,0.00013045988575635645,7.979828577315053e-05,0.00011208520357927191,0.00013686933019663576,0.00010142088933991814,0.00011911804154528584,5.123892297981081,0.07715444020149241,False,0.012698749178784883,0.08584001736753019,False,1.0,False,0.39003812994509085,False
Red,Datum_Area_Ratio,72,63,69,-1.2933116612019062,-1.7732432716274629,-1.4809154625596928,18.41995723909199,15.017574176358725,12.34498814913299,1.5505513870447203,0.460576785457546,False,-0.002236062751021292,0.7517584526091344,False,1.0,False,1.0,False
Red,Max_Start_Datum_Diff,84,81,84,0.0016849276803676326,0.0017935393604124553,0.0017761016864618643,0.00044518233555477545,0.0004668897935496882,0.00046056441732106107,3.134365440573917,0.20863213023863036,False,0.004611241628349257,0.25130359102296435,False,0.7044431474553743,False,1.0,False
IR,Amplitude,90,90,88,0.006414636051429031,0.0047812881136821105,0.0044714020741311485,0.0010065512510994508,0.0008138836372456505,0.0010676328192857003,136.28008365410867,2.5536174526227102e-30,True,0.5067172968079572,6.47868772873548e-22,True,9.437062088279288e-23,True,0.0003657218381804438,True
IR,DC,90,90,88,1.8192151702627843,1.8280780012202078,1.7654167933597362,0.0009945071794520114,0.0009625769398726125,0.0011450230027042687,237.70003396756084,2.421550050618924e-52,True,0.8894340904436259,1.0771762563746187e-30,True,2.3209602634099304e-30,True,2.851421742738036e-30,True
IR,PI,90,90,88,0.35263176550726394,0.261565597504551,0.25331161444612266,0.05541302925903963,0.044581915110039345,0.060570907129051284,133.8637542857571,8.54781459149643e-30,True,0.4975990727764419,3.384041160615407e-22,True,2.129301704986806e-22,True,0.0026589179179045386,True
IR,AUC,90,90,88,0.0023494303366366908,0.0017130846486445165,0.0015867596150402298,0.0010124015078104513,0.0007442276829393705,0.0008512516362390542,44.020628962534126,2.76084405132213e-10,True,0.15856841117937406,7.204476314220404e-08,True,1.5604150406264146e-08,True,1.0,False
IR,S_AUC,90,90,88,0.0006098074400674452,0.0004995135197597131,0.000555695030895516,0.0002293208922615589,0.0002056843368496765,0.00027922464620837545,9.99886950897054,0.006741756670003457,True,0.030184413241398263,0.0025633031784202693,True,0.8085926109757438,False,0.30882615818796433,False
IR,D_AUC,90,90,88,0.0017396228965692454,0.001213571128884803,0.0010310645841447137,0.0009824775720273845,0.0006995625396089354,0.0007126286130503415,41.45788918034558,9.94337340414374e-10,True,0.148897695020172,1.0056403329773654e-06,True,3.395756977050834e-08,True,0.14024734263934863,False
IR,AUC_Ratio,87,87,81,1.3027979787503734,1.0564432370585075,5.433739305762453,3.552617517829505,2.3434184009332255,33.95794645564738,12.946706347645868,0.0015440396095994804,True,0.04343931090335662,0.35476503922545505,False,0.0009215780239106562,True,0.1335100101583436,False
IR,Start_Datum_Area,90,90,88,-3.2849203335991094e-05,-1.1701092819961622e-05,1.0393253674994337e-05,0.00012350312198457418,9.017862731082113e-05,7.781954048050151e-05,7.583153690783746,0.02256000015702676,True,0.02106850449352357,0.670392258368868,False,0.025933987736559583,True,0.24641839614850342,False
