Depth,State,Channel,Pulse_ID,BPM,Amplitude,DC,PI,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
3,Normal,Red,0,60.78431372549019,0.001315448375759587,2.62441377590128,0.05012351283317867,-0.00036947656222742297,7.399397112627602e-06,-0.0003768759593400507,,1.6443104594987553e-07,9.561665313083127e-05,0.0017196904573190432,0.0005381379717817047
3,Normal,Red,1,60.78431372549019,0.005426224545389768,2.6207962928728,0.20704488022004114,0.0010771877872706107,0.0009479038767376472,0.0001292839105329638,7.331955483323332,5.393338288468266e-05,-1.4387716680839277e-06,,0.0019646890159039643
3,Normal,Red,2,60.78431372549019,0.005426224545389768,2.6207962928728,0.20704488022004114,0.0024971320915663092,0.0009479038767376472,0.0015492282148286622,0.6118555469521197,5.393338288468266e-05,0.00010330380487471876,0.5220851540762718,0.0019646890159039643
3,Normal,Red,3,60.78431372549019,0.0029597588449297163,2.62326275857326,0.1128273877733647,0.000799134887895303,0.00027098236528255937,0.0005281525226127438,0.5130759651435978,4.45608136454361e-05,0.00022724370590140096,0.196092619897559,0.0017893966867674749
3,Normal,Red,4,60.78431372549019,0.005261793499740097,2.62128958601263,0.20073301049290268,0.002302897918039274,0.0005785506380077477,0.0017243472800315264,0.3355186305609912,-0.0001317914844571657,0.00014848123497912625,-0.8875969039164658,0.0021363855996585635
3,Normal,Red,5,60.78431372549019,0.004768500359780159,2.62178287915259,0.18188006328431855,0.002361517586461888,0.00036976431648943423,0.001991753269972454,0.18564765127487307,-4.271096463154932e-05,9.627437704015407e-05,-0.44363792261917673,0.0011215528040393608
3,Normal,Red,6,60.78431372549019,0.0054262245487999294,2.62194731019927,0.20695398903296547,0.001131038955807432,0.000913948866168052,0.00021709008963937982,4.209998105792219,7.966684179006305e-05,-5.138470238285287e-06,,0.0017445733023659926
3,Normal,Red,7,60.78431372549019,0.0054262245487999294,2.62194731019927,0.20695398903296547,0.0023579412117185525,0.000913948866168052,0.0014439923455505004,0.6329319327656289,7.966684179006305e-05,9.828865744811784e-05,0.8105395257038238,0.0017445733023659926
3,Normal,Red,8,60.78431372549019,0.0032886209405895706,2.62408491380748,0.12532448638706076,0.000599474489614574,0.0003277110766231895,0.0002717634129913843,1.2058690057501555,5.311122808396051e-05,2.0389448658111718e-05,2.6048388543763195,0.001984987968659979
3,Normal,Red,9,60.78431372549019,0.005590655594979843,2.62161844810592,0.21325206950000708,0.0024559010076930688,0.0006701387312622511,0.0017857622764308177,0.37526760426457745,-9.158809355375252e-05,0.00012595418153759752,-0.7271540526537686,0.0015933217572889902
3,Normal,Red,10,60.78431372549019,0.005261793501630141,2.62194731019927,0.2006826560229481,0.0024521602015316474,0.0005145047455587671,0.0019376554559728805,0.26552953156495956,1.0688017777681149e-05,0.00018547821993004332,0.05762411231740492,0.0017460602287253657
3,Normal,Red,11,60.78431372549019,0.0023020346588200624,2.62490706904208,0.08769966319836821,-0.00014864566624618158,1.0441371485800265e-05,-0.0001590870377319818,,8.22155211099851e-08,2.0964957635284843e-05,0.003921568673795608,0.00043848279182334693
3,Normal,Red,12,60.78431372549019,0.004932931407330088,2.62194731019927,0.18813999000442086,0.0021325062465816706,0.0007951885424273013,0.001337317704154369,0.5946145332235213,-7.794031667012421e-05,0.00013047603562921331,-0.5973535009265221,0.0014910272883166265
3,Normal,Red,13,60.78431372549019,0.0046040693139199895,2.62227617229268,0.17557530219613024,0.002394486012069862,0.0006123412184657611,0.001782144793604101,0.3435979055480669,-1.381220822735774e-05,0.00036701009576314657,-0.03763440948030917,0.0015209871835102362
3,Normal,Red,14,60.78431372549019,0.005426224548310099,2.62178287915259,0.20696696860206662,0.0009350371478772523,0.0006098336449164377,0.0003252035029608146,1.8752370111767205,4.4149735755110205e-05,7.1116427670632145e-06,6.208092448004392,0.0022192276528159027
3,Normal,Red,15,60.78431372549019,0.005426224548310099,2.62178287915259,0.20696696860206662,0.0024430342784961647,0.0006098336449164377,0.001833200633579727,0.33266061212601894,4.4149735755110205e-05,0.00025885557515343557,0.17055740726828322,0.0022192276528159027
3,Normal,Red,16,60.78431372549019,0.004604069314749992,2.62260503438615,0.1755532859269305,0.0019138129546812737,0.0003997318749588739,0.0015140810797223995,0.2640095568938508,1.1839035191187034e-05,0.0003883861319975268,0.03048264141229024,0.0014120577134697498
3,Normal,Red,17,60.78431372549019,0.0054262245487999294,2.62194731019927,0.20695398903296547,0.0014948426468254711,0.0007278129209256647,0.0007670297258998063,0.9488718576999917,-0.00027739517673952216,-4.110777089823018e-07,,0.0022061720204140656
3,Normal,Red,18,60.78431372549019,0.0054262245487999294,2.62194731019927,0.20695398903296547,0.0024320173983179974,0.0007278129209256647,0.0017042044773923327,0.4270690111314099,-0.00027739517673952216,0.00012159675876731812,-2.281271142023881,0.0022061720204140656
3,Normal,Red,19,60.78431372549019,0.005261793502099987,2.62211174124597,0.20067007135247786,0.002421740457996818,0.0003956210987162038,0.0020261193592806138,0.19526050965559677,2.3020344342297453e-06,0.00015818266603511815,0.014553013246841284,0.0013863901967461345
3,Normal,Red,20,60.78431372549019,0.005097362454470122,2.62194731019927,0.19441132301330338,0.0013461969806306709,0.0003020187252711177,0.001044178255359553,0.28924058102236616,2.1663790275261e-05,8.612076071723628e-05,0.25155131114541107,0.0015815277040864828
3,Normal,Red,21,60.78431372549019,0.005097362454470122,2.62194731019927,0.19441132301330338,0.002120543887870528,0.0003020187252711177,0.0018185251625994104,0.1660789366474371,2.1663790275261e-05,0.00019065779837180175,0.1136265626702268,0.0015815277040864828
3,Normal,Red,22,60.78431372549019,0.0042752072208398495,2.6227694654329,0.16300354557216895,0.0017006281023588773,0.0001969061786441565,0.0015037219237147206,0.13094587206504854,1.2003466342832999e-05,9.882305837818648e-05,0.12146422646521292,0.0013125969690830352
3,Normal,Red,23,60.78431372549019,0.0050973624558396935,2.62244060333941,0.19437475340142016,0.001876692645935572,0.0004437582877034552,0.0014329343582321168,0.30968500765864954,-0.00018958899743462697,8.96971359116369e-05,-2.1136572032957246,0.0012343908157101957
3,Normal,Red,24,60.78431372549019,0.0050973624558396935,2.62244060333941,0.19437475340142016,0.0024410611064615423,0.00039294909424687725,0.002048112012214665,0.19185918148196077,-9.257467967185361e-05,0.0002907963055639308,-0.3183488851150529,0.0011320279150273116
3,Normal,Red,25,60.78431372549019,0.005261793502569834,2.62227617229268,0.20065748826026206,0.0006831698920253736,0.00046501100053734354,0.00021815889148803013,2.1315244011627077,1.9074001194550048e-05,1.2332327262787167e-07,,0.0016840843492325064
3,Normal,Red,26,60.78431372549019,0.005261793502569834,2.62227617229268,0.20065748826026206,0.002137151424193566,0.00046501100053734354,0.0016721404236562222,0.2780932713297922,1.9074001194550048e-05,0.00014313722614993924,0.13325674744157492,0.0016840843492325064
3,Normal,Red,27,60.78431372549019,0.005261793502569834,2.62227617229268,0.20065748826026206,0.002793806809686882,0.00046501100053734354,0.002328795809149539,0.19967873469643632,1.9074001194550048e-05,0.00029260504702472367,0.065186849606659,0.0016840843492325064
3,Normal,Red,28,60.78431372549019,0.005590655597480065,2.62244060333941,0.21318521343670996,0.0010429039150221138,0.0005475553861210889,0.0004953485289010249,1.1053941905023712,-4.0861115513687964e-05,2.507573464161506e-05,-1.6295082117305502,0.0014919871700991294
3,Normal,Red,29,60.78431372549019,0.005590655597480065,2.62244060333941,0.21318521343670996,0.0022464569628608353,0.0005475553861210889,0.0016989015767397463,0.3222996515029832,-4.0861115513687964e-05,0.0002089096448196035,-0.19559228846984125,0.0014919871700991294
3,Normal,Red,30,60.78431372549019,0.005261793503990031,2.6227694654329,0.20061974845057715,0.002413107828978583,0.00040277384942891234,0.00201033397954967,0.20035170948020126,5.6810926541567726e-05,0.00014765907913719944,0.384743876729592,0.002006308856763006
3,Normal,Red,31,60.78431372549019,0.005261793503990031,2.6227694654329,0.20061974845057715,0.0019503988631052892,0.0007378021075005539,0.0012125967556047353,0.6084480303038613,-8.172223074589353e-05,1.3401130128791493e-05,-6.0981596298597545,0.0017789169433024554
3,Normal,Red,32,60.78431372549019,0.005261793503990031,2.6227694654329,0.20061974845057715,0.0025111498406859005,0.0007378021075005539,0.0017733477331853464,0.41605044159911553,-8.172223074589353e-05,8.135225974641901e-05,-1.0045477654908141,0.0017789169433024554
3,Normal,Red,33,60.78431372549019,0.001808741518700252,2.62622251741819,0.06887236350704988,-0.00037095644193010425,2.618564425420145e-05,-0.00039714208618430575,,-1.8498492856524585e-06,8.529860467363978e-05,-0.021686747312340573,0.0010024989648447225
3,Normal,Red,34,60.78431372549019,0.005261793504459877,2.62293389647968,0.20060717166840886,0.0018623049298944925,0.0015290443055010865,0.0003332606243934057,4.588133711518492,0.00019912599724885286,1.9772833331611412e-05,10.07068607261784,0.0023775005388824155
3,Normal,Red,35,60.78431372549019,0.005261793504459877,2.62293389647968,0.20060717166840886,0.002670195771051459,0.00148949863873794,0.0011806971323135192,1.2615416756533822,0.0002648162005749033,-6.240158311512701e-05,,0.0026100558672048635
3,Normal,Red,36,60.78431372549019,0.005426224551719816,2.62293389647968,0.20687614579240898,0.0009086459653705732,0.0005096129221221761,0.0003990330432483972,1.2771196038643426,-0.00011304634518767288,3.2886207038762704e-07,,0.0017840231226884384
3,Normal,Red,37,60.78431372549019,0.005755086646280105,2.62293389647968,0.21941409404194986,0.0019156216970218941,0.0013894834544969678,0.0005261382425249262,2.6409094458309403,0.0001521398255467453,-1.4757686557078002e-05,,0.002354614353298423
3,Normal,Red,38,60.78431372549019,0.005755086646280105,2.62293389647968,0.21941409404194986,0.002828995054809532,0.0013894834544969678,0.0014395116003125636,0.9652464448325855,0.0001521398255467453,-8.821725753072965e-05,,0.002354614353298423
3,Normal,Red,39,60.78431372549019,0.002630896754830303,2.62605808637113,0.10018425595702872,-0.00028072490482127877,1.2743406153428394e-05,-0.000293468310974707,,1.5620949453996056e-06,4.493078216944043e-05,0.034766698240612,0.000502965555713164
3,Normal,Red,40,60.78431372549019,0.0057550866442102055,2.62227617229268,0.21946912781419511,0.002882188497769991,0.0010848749397088205,0.0017973135580611707,0.6036091670499141,0.00019715282483939638,9.495892905923445e-05,2.076190483534354,0.002535755934051309
3,Normal,Red,41,60.78431372549019,0.0027953278008703286,2.62523593113602,0.106479107942908,0.0005587366979861766,0.000294537113050234,0.00026419958493594263,1.1148280687936998,3.31739636688584e-05,0.00012311774560021824,0.2694490831287573,0.0018685346258102697
3,Normal,Red,42,60.78431372549019,0.004768500362770212,2.62293389647968,0.18180024929984556,0.00205801898329695,0.00040873447478553435,0.0016492845085114148,0.247825328302176,-0.00018971232074212717,8.295546296878517e-05,-2.286917750233193,0.0013688393320254733
3,Normal,Red,43,60.78431372549019,0.004110776175540121,2.62359162066691,0.1566850626888026,0.0017512317578431925,0.0001879035789004798,0.0015633281789427123,0.12019458321768374,-1.644311304807087e-07,0.0004715060257837869,-0.0003487360107590862,0.001314549844723789
3,Normal,Red,44,60.78431372549019,0.005755086643700391,2.62211174124597,0.21948289057146364,0.0023967469393150276,0.0005387172173163499,0.0018580297219986776,0.28994004290569325,5.0973624262741667e-05,0.00013105154389843118,0.3889585940494355,0.0020260427209359833
3,Normal,Red,45,60.78431372549019,0.005755086643700391,2.62211174124597,0.21948289057146364,0.0029015502529938005,0.0005387172173163499,0.0023628330356774505,0.2279963117080313,5.0973624262741667e-05,0.00020899185927257953,0.24390243926323874,0.0020260427209359833
3,Normal,Red,46,60.78431372549019,0.005755086643700391,2.62211174124597,0.21948289057146364,0.0011277092273007739,0.0005314822512029355,0.0005962269760978383,0.8914092661176765,-7.136307472468048e-05,1.2414544003747973e-05,-5.748344417896931,0.0015203004179396018
3,Normal,Red,47,60.78431372549019,0.005755086643700391,2.62211174124597,0.21948289057146364,0.002350582922870799,0.0005314822512029355,0.001819100671667863,0.29216758559911915,-7.136307472468048e-05,-3.370836501270014e-05,,0.0015203004179396018
3,Normal,Red,48,60.78431372549019,0.005755086643700391,2.62211174124597,0.21948289057146364,0.0029042633652681046,0.000514052560246826,0.0023902108050212786,0.21506578380740343,-3.268067090471094e-05,0.00011045655473205683,-0.29586900464157173,0.001356556135595266
3,Normal,Red,49,60.78431372549019,0.0054262245512397556,2.6227694654329,0.20688911559919096,0.0007265385807925006,0.00048766137730947513,0.00023887720348302546,2.0414730673290395,-0.00018519046704425457,7.933798012085271e-06,-23.341968974022347,0.0017434332163102084
3,Normal,Red,50,60.78431372549019,0.0054262245512397556,2.6227694654329,0.20688911559919096,0.002357242381037022,0.00048766137730947513,0.0018695810037275469,0.2608399295549014,-0.00018519046704425457,0.0001775855304137414,-1.0428240781374196,0.0017434332163102084
3,Normal,Red,51,60.78431372549019,0.005261793504459877,2.62293389647968,0.20060717166840886,0.0025919265927355417,0.00036232381187711047,0.0022296027808584307,0.1625059920931792,-2.8364355829035373e-05,0.0003217915576813016,-0.08814512112566694,0.0011078334162344383
3,Normal,Red,52,60.78431372549019,0.005426224550740155,2.62260503438615,0.20690208703157711,0.0026013402702514815,0.0005412658986446669,0.002060074371606814,0.2627409505718432,2.984423473740728e-05,0.00013623112228443746,0.2190706076332205,0.00203685142899257
3,Normal,Red,53,60.78431372549019,0.004768500363629968,2.62326275857326,0.18177745816905735,0.002591186653454456,0.00040437705219674257,0.002186809601257714,0.1849164426405347,2.63089656091765e-06,0.0004880313467145375,0.005390835196609884,0.00147451223628714
3,Normal,Red,54,60.78431372549019,0.005261793505409784,2.62326275857326,0.20058202283447837,0.0006942278802133554,0.0006495026354287026,4.472524478465267e-05,14.522058818369565,-0.00010030293909219144,1.5620949453702964e-06,-64.21052663249897,0.0017441229990469154
3,Normal,Red,55,60.78431372549019,0.005261793505409784,2.62326275857326,0.20058202283447837,0.0027194428702241435,0.0006495026354287026,0.002069940234795441,0.31377844853230213,-0.00010030293909219144,0.00025412818254137877,-0.39469427628657233,0.0017441229990469154
3,Normal,Red,56,60.78431372549019,0.001973172566299919,2.62655137951237,0.07512408025561816,1.2085682150987068e-05,2.4500226025227725e-05,-1.2414543874240437e-05,,-3.6174830445461203e-06,0.0004160927635685995,-0.008693934048554347,0.0007615753762335586
3,Normal,Red,57,60.78431372549019,0.005261793505409784,2.62326275857326,0.20058202283447837,0.0023174089603918537,0.0005868544065084008,0.001730554553883453,0.33911349699520854,-0.0001221722683455677,0.00011913029319780527,-1.025534858230488,0.0017974540412430962
3,Normal,Red,58,60.78431372549019,0.0047685003649200475,2.62375605171375,0.18174328218530156,0.002122023769107115,0.00032890320173972786,0.0017931205673673873,0.18342503439275973,1.895067801992534e-05,0.00022625711961367866,0.08375726718470809,0.0014235934098727476
