Channel,Feature,Comparison,AUC,AUC_bootstrap,CI_lower,CI_upper,Cutoff,Sensitivity,Specificity,N_samples
Red,Amplitude,Normal vs Ischaemia,0.867283950617284,0.8634392651854307,0.8019296044864227,0.9213414956309695,0.004768500359780159,0.8095238095238095,1.0,165
Red,Amplitude,Normal vs Congestion,0.6232993197278912,0.6214119675674667,0.530464246119734,0.7060336072417726,0.005261793499740097,0.5714285714285714,0.7380952380952381,168
Red,Amplitude,Ischaemia vs Congestion,0.14638447971781304,0.14582484400286566,0.08392446064859858,0.20602880842419613,inf,0.0,1.0,165
Red,DC,Normal vs Ischaemia,0.0,0.0,0.0,0.0,inf,0.0,1.0,165
Red,DC,Normal vs Congestion,1.0,1.0,0.9999999999999999,1.0,2.6207962928728,1.0,1.0,168
Red,DC,Ischaemia vs Congestion,1.0,1.0,0.9999999999999999,1.0,2.63427963874257,1.0,1.0,165
Red,PI,Normal vs Ischaemia,0.8749265138154028,0.8708076042952161,0.8112196791442763,0.9248991058727902,0.1755532859269305,0.8333333333333334,1.0,165
Red,PI,Normal vs Congestion,0.5369897959183674,0.5351961587376444,0.45224580878226717,0.6219554133142982,0.2004814905214109,0.5714285714285714,0.6190476190476191,168
Red,PI,Ischaemia vs Congestion,0.12918871252204583,0.1286982856034747,0.06782356127869958,0.1892972810206283,inf,0.0,1.0,165
Red,AUC,Normal vs Ischaemia,0.7192827748383304,0.7114403943809663,0.6361798412534294,0.7896931475192764,0.0020277636718616775,0.5357142857142857,0.9753086419753086,165
Red,AUC,Normal vs Congestion,0.530045351473923,0.526924085561577,0.43616088117476504,0.6052206467057444,0.002302897918039274,0.40476190476190477,0.7380952380952381,168
Red,AUC,Ischaemia vs Congestion,0.2951205173427396,0.2903679617289089,0.2088354679297371,0.36653640979689367,7.095199738769525e-05,0.9876543209876543,0.04761904761904767,165
Red,S_AUC,Normal vs Ischaemia,0.582745443856555,0.5776736876047639,0.493097081561241,0.6697493528128681,0.00032203820552493135,0.7619047619047619,0.3950617283950617,165
Red,S_AUC,Normal vs Congestion,0.4712301587301587,0.4684967436671923,0.38476108800899717,0.5549038111435484,0.0005096129221221761,0.4642857142857143,0.5833333333333333,168
Red,S_AUC,Ischaemia vs Congestion,0.38300999412110526,0.38448104306269676,0.2968978194726166,0.462060467179184,inf,0.0,1.0,165
Red,D_AUC,Normal vs Ischaemia,0.6806290417401529,0.6746300679726775,0.5847688512298836,0.7653842930193197,0.0014329343582321168,0.5595238095238095,0.9012345679012346,165
Red,D_AUC,Normal vs Congestion,0.5493197278911565,0.5480214162836379,0.4714026375258774,0.6213750236339572,0.0017733477331853464,0.34523809523809523,0.7857142857142857,168
Red,D_AUC,Ischaemia vs Congestion,0.35185185185185186,0.34590278795273477,0.2562520198861342,0.429274309944761,0.000139314205447429,0.9012345679012346,0.2142857142857143,165
Red,AUC_Ratio,Normal vs Ischaemia,0.46397273612463485,0.46444620892295235,0.3748626299345071,0.5518317192730752,0.8896027447618389,0.2948717948717949,0.7468354430379747,157
Red,AUC_Ratio,Normal vs Congestion,0.4505030834144758,0.45105953690356715,0.375000154871298,0.5456991869918699,0.247825328302176,0.7307692307692307,0.2911392405063291,157
Red,AUC_Ratio,Ischaemia vs Congestion,0.4883832719115526,0.4869111048996718,0.40688035276918716,0.5817871485943775,0.2400213380259379,0.7974683544303798,0.2911392405063291,158
Red,Start_Datum_Area,Normal vs Ischaemia,0.5252792475014698,0.5149235237192082,0.40207965902410353,0.6117251769128704,1.895067801992534e-05,0.4166666666666667,0.7037037037037037,165
Red,Start_Datum_Area,Normal vs Congestion,0.5042517006802721,0.5003584071323733,0.41409727143869607,0.5912214417482617,1.895067801992534e-05,0.4166666666666667,0.7261904761904762,168
Red,Start_Datum_Area,Ischaemia vs Congestion,0.4769253380364491,0.4780125393866415,0.39217912447885644,0.554527060100087,-1.890957057460785e-06,0.5308641975308642,0.5476190476190477,165
Red,End_Datum_Area,Normal vs Ischaemia,0.5987654320987654,0.5994208653819242,0.5101787849575316,0.6907142014213092,8.135225974641901e-05,0.6309523809523809,0.5555555555555556,165
Red,End_Datum_Area,Normal vs Congestion,0.5350056689342404,0.533000640914129,0.4479450475379595,0.6096867099330154,9.495892905923445e-05,0.5595238095238095,0.5476190476190477,168
Red,End_Datum_Area,Ischaemia vs Congestion,0.431657848324515,0.42849509056496415,0.3424361429500768,0.5072385167029775,-0.0001188836485048759,1.0,0.011904761904761862,165
Red,Datum_Area_Ratio,Normal vs Ischaemia,0.5575396825396826,0.5550784888703361,0.45346152349828817,0.647622061482821,0.1136265626702268,0.3611111111111111,0.7777777777777778,135
Red,Datum_Area_Ratio,Normal vs Congestion,0.5434782608695652,0.540725919182496,0.4511016369425981,0.6550294411707456,-0.0003487360107590862,0.5138888888888888,0.6086956521739131,141
Red,Datum_Area_Ratio,Ischaemia vs Congestion,0.4775707384403036,0.47468335458763194,0.3854371986752913,0.5835965171192445,2.663991976086709,0.1111111111111111,0.9855072463768116,132
Red,Max_Start_Datum_Diff,Normal vs Ischaemia,0.421957671957672,0.41818836786624475,0.33099390569543985,0.5087545830869309,0.00043848279182334693,1.0,0.024691358024691357,165
Red,Max_Start_Datum_Diff,Normal vs Congestion,0.4468537414965986,0.4457945821193847,0.35671211018440274,0.5436894537597788,0.002354614353298423,0.09523809523809523,0.9523809523809523,168
Red,Max_Start_Datum_Diff,Ischaemia vs Congestion,0.5240299823633157,0.5271806956974229,0.4275424796316819,0.6160666765227677,0.0015212594305387128,0.8024691358024691,0.30952380952380953,165
IR,Amplitude,Normal vs Ischaemia,0.9199999999999999,0.9204580973278972,0.8643086419753087,0.967759945410758,0.005755085036210028,0.9111111111111111,1.0,180
IR,Amplitude,Normal vs Congestion,0.9308080808080809,0.9296294360100872,0.8730395333517174,0.972559789067142,0.005755085036210028,0.9111111111111111,1.0,178
IR,Amplitude,Ischaemia vs Congestion,0.6667929292929292,0.6633784857341567,0.596590198594509,0.7301392568591649,0.005097361037539994,0.6222222222222222,0.7727272727272727,178
IR,DC,Normal vs Ischaemia,0.0,0.0,0.0,0.0,inf,0.0,1.0,180
IR,DC,Normal vs Congestion,1.0,1.0,0.9999999999999999,1.0,1.81837291813565,1.0,1.0,178
IR,DC,Ischaemia vs Congestion,1.0,1.0,0.9999999999999999,1.0,1.82675889918862,1.0,1.0,178
IR,PI,Normal vs Ischaemia,0.9228395061728397,0.9232949307968025,0.8709195326278659,0.9683838823988274,0.3161819045836144,0.9111111111111111,1.0,180
IR,PI,Normal vs Congestion,0.9272727272727274,0.9260820342155759,0.8661423097251585,0.9697820657078724,0.3161819045836144,0.9111111111111111,1.0,178
IR,PI,Ischaemia vs Congestion,0.35568181818181815,0.3551711441702362,0.2673825671454982,0.4458339958994208,0.24277132247154393,0.8666666666666667,0.2727272727272727,178
IR,AUC,Normal vs Ischaemia,0.7408641975308643,0.7434800638671824,0.67079876095083,0.8083057962768441,0.0027186610630114336,0.6111111111111112,1.0,180
IR,AUC,Normal vs Congestion,0.7535353535353537,0.7557325450804757,0.6799883726356397,0.8280421732522797,0.0027186610630114336,0.6111111111111112,1.0,178
IR,AUC,Ischaemia vs Congestion,0.5335858585858586,0.5324205856968046,0.4450690367582384,0.6113249491869919,0.0011009477686943119,0.8111111111111111,0.28409090909090906,178
IR,S_AUC,Normal vs Ischaemia,0.6439506172839506,0.6432252060521071,0.5582377153501966,0.720516749795164,0.0004453202584784435,0.8888888888888888,0.4,180
IR,S_AUC,Normal vs Congestion,0.547979797979798,0.5455143036869149,0.4663624112456042,0.6361070359530466,0.0004453202584784435,0.8888888888888888,0.3295454545454546,178
IR,S_AUC,Ischaemia vs Congestion,0.4291666666666667,0.42469890917625663,0.3378765228016969,0.514708162228306,0.0002785050083068466,0.9111111111111111,0.19318181818181823,178
IR,D_AUC,Normal vs Ischaemia,0.7202469135802468,0.7229492956830722,0.643789356710705,0.7909984261838919,0.002026036578955237,0.5888888888888889,0.9555555555555556,180
IR,D_AUC,Normal vs Congestion,0.7478535353535354,0.7502042918096217,0.6703039738347574,0.8211467831813578,0.00195833211427286,0.6222222222222222,0.9659090909090909,178
IR,D_AUC,Ischaemia vs Congestion,0.5863636363636364,0.5855411472284905,0.5085636616272735,0.6645642482517482,0.0015874168856866294,0.4666666666666667,0.7045454545454546,178
IR,AUC_Ratio,Normal vs Ischaemia,0.43136477738142426,0.43534086707803654,0.34539838794926003,0.52239560680232,9.4516400321606,0.05747126436781609,0.9770114942528736,174
IR,AUC_Ratio,Normal vs Congestion,0.3385837945224918,0.3416294544935722,0.26630243491301425,0.42574209615455527,0.1360122752632073,0.9885057471264368,0.024691358024691357,168
IR,AUC_Ratio,Ischaemia vs Congestion,0.4101035901802186,0.40822999006854593,0.3150829917850007,0.5092155853813074,1.430556639785069,0.1724137931034483,0.8395061728395061,168
IR,Start_Datum_Area,Normal vs Ischaemia,0.4474074074074074,0.44353205048382277,0.35009943951603406,0.5272221912282234,0.00011140200308860679,0.16666666666666666,0.9555555555555556,180
IR,Start_Datum_Area,Normal vs Congestion,0.3859848484848485,0.39066722296550666,0.30497505049867435,0.4727128878522332,0.00011140200308860679,0.16666666666666666,0.9431818181818182,178
IR,Start_Datum_Area,Ischaemia vs Congestion,0.4244949494949494,0.42380522055546377,0.35215977509080953,0.5082346507373994,0.0002046343809335043,0.022222222222222223,1.0,178
IR,End_Datum_Area,Normal vs Ischaemia,0.5903703703703703,0.5877525991012843,0.49614601705695377,0.6693808758040574,0.00019115103818027657,0.4111111111111111,0.8666666666666667,180
IR,End_Datum_Area,Normal vs Congestion,0.5561868686868687,0.5570441095890879,0.47943091025327683,0.6362310129836138,0.0001900411292871329,0.4222222222222222,0.7954545454545454,178
IR,End_Datum_Area,Ischaemia vs Congestion,0.47436868686868683,0.4788604054210486,0.39496860158958436,0.5671295328121635,0.00012624190108753686,0.4222222222222222,0.6477272727272727,178
IR,Datum_Area_Ratio,Normal vs Ischaemia,0.44964827841540167,0.44617525141862513,0.3635521336553945,0.5218113988751547,0.806259319780169,0.2054794520547945,0.8378378378378378,147
IR,Datum_Area_Ratio,Normal vs Congestion,0.3563470319634703,0.3605631279451862,0.2773986329491659,0.4563168367187605,25.397060012046413,0.0136986301369863,0.9866666666666667,148
IR,Datum_Area_Ratio,Ischaemia vs Congestion,0.40936936936936935,0.415056884616448,0.322977106977107,0.49749099099099114,19.76271190086281,0.04054054054054054,0.9866666666666667,149
IR,Max_Start_Datum_Diff,Normal vs Ischaemia,0.33530864197530863,0.33746847347564457,0.25047181024881265,0.42842398882036303,0.0023510134613993205,0.15555555555555556,0.9444444444444444,180
IR,Max_Start_Datum_Diff,Normal vs Congestion,0.36338383838383836,0.36605047377411126,0.2801115085874714,0.44907219635426987,0.0023510134613993205,0.15555555555555556,0.9545454545454546,178
IR,Max_Start_Datum_Diff,Ischaemia vs Congestion,0.523989898989899,0.5216805726664481,0.44280723371956726,0.5931314673945692,0.001629204801516515,0.9,0.19318181818181823,178
