Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
Variance,Ischaemia,30,30,0.571111,0.408455,0.725255,0.089429,0.4,0.866667,0.75,0.590909,0.633333,0.521739,0.266667,3.0,0.692308,12,26,4,18,True,3,Red,Shape & Stats,Variance,Variance
PW50,Ischaemia,30,30,0.557778,0.399983,0.699138,0.612,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,False,3,Red,Time,PW50,PW50
Rise_Decay_Time_Ratio,Ischaemia,30,30,0.545556,0.389507,0.685797,0.232054,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,True,3,Red,Time,Rise_Decay_Time_Ratio,Rise_Decay_Time_Ratio
Width_Ratio,Ischaemia,30,30,0.544444,0.387197,0.685199,0.759079,0.266667,0.933333,0.8,0.56,0.6,0.4,0.2,4.0,0.785714,8,28,2,22,True,3,Red,Time,Width_Ratio,Width_Ratio
Kurtosis,Ischaemia,30,30,0.54,0.383328,0.689786,-1.205605,0.333333,0.866667,0.714286,0.565217,0.6,0.454545,0.2,2.5,0.769231,10,26,4,20,False,3,Red,Shape & Stats,Kurtosis,Kurtosis
Upslope,Ischaemia,30,30,0.538889,0.379429,0.683355,9.38712,0.266667,1.0,1.0,0.576923,0.633333,0.421053,0.266667,,0.733333,8,30,0,22,False,3,Red,Slope,Upslope,Upslope
RWI,Ischaemia,30,30,0.536667,0.388126,0.675367,0.965854,0.2,0.966667,0.857143,0.54717,0.583333,0.324324,0.166667,6.0,0.827586,6,29,1,24,False,3,Red,Shape & Stats,RWI,RWI
Onset_End_Slope,Ischaemia,30,30,0.532222,0.389117,0.673064,-0.012317,0.633333,0.533333,0.575758,0.592593,0.583333,0.603175,0.166667,1.357143,0.6875,19,16,14,11,False,3,Red,Slope,Onset_End_Slope,Onset_End_Slope
AUC_Ratio,Ischaemia,30,30,0.532222,0.383763,0.671884,0.219432,0.3,0.866667,0.692308,0.553191,0.583333,0.418605,0.166667,2.25,0.807692,9,26,4,21,True,3,Red,Area,AUC_Ratio,AUC_Ratio
Upslope_Length,Ischaemia,30,30,0.527778,0.382714,0.680003,1.041653,0.366667,0.8,0.647059,0.55814,0.583333,0.468085,0.166667,1.833333,0.791667,11,24,6,19,False,3,Red,Slope,Upslope_Length,Upslope_Length
Datum_Area_Ratio,Ischaemia,30,30,0.522222,0.380471,0.669643,3.885116,0.433333,0.766667,0.65,0.575,0.6,0.52,0.2,1.857143,0.73913,13,23,7,17,False,3,Red,Area,Datum_Area_Ratio,Datum_Area_Ratio
Rise_Time,Ischaemia,30,30,0.521667,0.367379,0.665685,0.1945,0.4,0.766667,0.631579,0.560976,0.583333,0.489796,0.166667,1.714286,0.782609,12,23,7,18,True,3,Red,Time,Rise_Time,Rise_Time
Systolic_Width,Ischaemia,30,30,0.503889,0.357454,0.665778,0.49,0.266667,0.9,0.727273,0.55102,0.583333,0.390244,0.166667,2.666667,0.814815,8,27,3,22,False,3,Red,Time,Systolic_Width,Systolic_Width
AC_Component,Congestion,30,30,0.763333,0.632455,0.876228,0.00292,0.6,0.866667,0.818182,0.684211,0.733333,0.692308,0.466667,4.5,0.461538,18,26,4,12,True,3,Red,Intensity,AC_Component,AC_Component
Amplitude,Congestion,30,30,0.763333,0.632455,0.876228,0.00292,0.6,0.866667,0.818182,0.684211,0.733333,0.692308,0.466667,4.5,0.461538,18,26,4,12,True,3,Red,Intensity,Amplitude,Amplitude
Max_Start_Datum_Diff,Congestion,30,30,0.753333,0.61877,0.867769,0.002838,0.6,0.833333,0.782609,0.675676,0.716667,0.679245,0.433333,3.6,0.48,18,25,5,12,True,3,Red,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
AUC,Congestion,30,30,0.722222,0.589347,0.855423,2.97509,0.533333,0.866667,0.8,0.65,0.7,0.64,0.4,4.0,0.538462,16,26,4,14,True,3,Red,Area,AUC,AUC
Start_Datum_Area,Congestion,30,30,0.72,0.575544,0.842136,0.834453,0.8,0.633333,0.685714,0.76,0.716667,0.738462,0.433333,2.181818,0.315789,24,19,11,6,True,3,Red,Area,Start_Datum_Area,Start_Datum_Area
PI,Congestion,30,30,0.708889,0.568409,0.832063,0.110689,0.5,0.866667,0.789474,0.634146,0.683333,0.612245,0.366667,3.75,0.576923,15,26,4,15,True,3,Red,Intensity,PI,PI
S_AUC,Congestion,30,30,0.628889,0.482047,0.776688,0.585584,0.5,0.766667,0.681818,0.605263,0.633333,0.576923,0.266667,2.142857,0.652174,15,23,7,15,True,3,Red,Area,S_AUC,S_AUC
D_AUC,Congestion,30,30,0.623333,0.472713,0.772056,2.302364,0.4,0.866667,0.75,0.590909,0.633333,0.521739,0.266667,3.0,0.692308,12,26,4,18,True,3,Red,Area,D_AUC,D_AUC
SDPPG_b_a,Congestion,30,30,0.616667,0.46913,0.76001,-0.895309,0.8,0.5,0.615385,0.714286,0.65,0.695652,0.3,1.6,0.4,24,15,15,6,False,3,Red,SDPPG,SDPPG_b_a,SDPPG_b_a
Pulse_Width,Congestion,30,30,0.613333,0.460553,0.753987,0.9645,0.733333,0.533333,0.611111,0.666667,0.633333,0.666667,0.266667,1.571429,0.5,22,16,14,8,True,3,Red,Time,Pulse_Width,Pulse_Width
Variance,Congestion,30,30,0.607778,0.457054,0.757807,0.100459,0.633333,0.666667,0.655172,0.645161,0.65,0.644068,0.3,1.9,0.55,19,20,10,11,False,3,Red,Shape & Stats,Variance,Variance
Skewness,Congestion,30,30,0.598889,0.457175,0.735321,-0.272055,0.5,0.733333,0.652174,0.594595,0.616667,0.566038,0.233333,1.875,0.681818,15,22,8,15,True,3,Red,Shape & Stats,Skewness,Skewness
IPAR,Congestion,30,30,0.59,0.434913,0.7307,0.518291,0.4,0.8,0.666667,0.571429,0.6,0.5,0.2,2.0,0.75,12,24,6,18,True,3,Red,Shape & Stats,IPAR,IPAR
RWI,Congestion,30,30,0.587778,0.441052,0.724143,0.874441,0.8,0.4,0.571429,0.666667,0.6,0.666667,0.2,1.333333,0.5,24,12,18,6,False,3,Red,Shape & Stats,RWI,RWI
SDPPG_c_a,Congestion,30,30,0.587778,0.443786,0.724143,0.302424,0.466667,0.733333,0.636364,0.578947,0.6,0.538462,0.2,1.75,0.727273,14,22,8,16,False,3,Red,SDPPG,SDPPG_c_a,SDPPG_c_a
End_Datum_Area,Congestion,30,30,0.574444,0.43234,0.734202,0.242616,0.6,0.7,0.666667,0.636364,0.65,0.631579,0.3,2.0,0.571429,18,21,9,12,True,3,Red,Area,End_Datum_Area,End_Datum_Area
DNP,Congestion,30,30,0.567778,0.410438,0.706344,0.835922,0.433333,0.833333,0.722222,0.595238,0.633333,0.541667,0.266667,2.6,0.68,13,25,5,17,False,3,Red,SDPPG,DNP,DNP
