Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
Start_Datum_Area,Congestion,32,32,0.96875,0.897414,1.0,0.618246,1.0,0.96875,0.969697,1.0,0.984375,0.984615,0.96875,32.0,0.0,32,31,1,0,True,9,IR,Area,Start_Datum_Area,Start_Datum_Area
AC_Component,Congestion,32,32,0.967773,0.897046,1.0,0.002299,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9375,31.0,0.032258,31,31,1,1,True,9,IR,Intensity,AC_Component,AC_Component
Amplitude,Congestion,32,32,0.967773,0.897046,1.0,0.002299,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9375,31.0,0.032258,31,31,1,1,True,9,IR,Intensity,Amplitude,Amplitude
D_AUC,Congestion,32,32,0.966797,0.89458,1.0,1.786312,1.0,0.9375,0.941176,1.0,0.96875,0.969697,0.9375,16.0,0.0,32,30,2,0,True,9,IR,Area,D_AUC,D_AUC
PI,Congestion,32,32,0.966797,0.89654,1.0,0.093871,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.9375,31.0,0.032258,31,31,1,1,True,9,IR,Intensity,PI,PI
AUC,Congestion,32,32,0.962891,0.888889,1.0,2.243469,1.0,0.9375,0.941176,1.0,0.96875,0.969697,0.9375,16.0,0.0,32,30,2,0,True,9,IR,Area,AUC,AUC
Max_Start_Datum_Diff,Congestion,32,32,0.953125,0.877803,1.0,0.002281,0.96875,0.9375,0.939394,0.967742,0.953125,0.953846,0.90625,15.5,0.033333,31,30,2,1,True,9,IR,Area,Max_Start_Datum_Diff,Max_Start_Datum_Diff
S_AUC,Congestion,32,32,0.897461,0.804015,0.972644,0.459667,0.875,0.84375,0.848485,0.870968,0.859375,0.861538,0.71875,5.6,0.148148,28,27,5,4,True,9,IR,Area,S_AUC,S_AUC
Diastolic_Width,Congestion,32,32,0.868164,0.76561,0.952412,0.516,0.90625,0.75,0.783784,0.888889,0.828125,0.84058,0.65625,3.625,0.125,29,24,8,3,True,9,IR,Time,Diastolic_Width,Diastolic_Width
Fall_Time,Congestion,32,32,0.868164,0.764596,0.953855,0.737,0.90625,0.75,0.783784,0.888889,0.828125,0.84058,0.65625,3.625,0.125,29,24,8,3,True,9,IR,Time,Fall_Time,Fall_Time
