State,Pulse_ID,Red_Amplitude,Red_PI,Red_Rise_Decay_Ratio,Red_Datum_Area_Ratio,Red_b_a,Red_c_a,Red_d_a,Red_e_a,Red_Skewness,Red_Kurtosis,Red_Variance,Red_PI_Ratio,Red_Amplitude_Ratio,Red_Delta_A_Ratio,IR_Amplitude,IR_PI,IR_Rise_Decay_Ratio,IR_Datum_Area_Ratio,IR_b_a,IR_c_a,IR_d_a,IR_e_a,IR_Skewness,IR_Kurtosis,IR_Variance,IR_PI_Ratio,IR_Amplitude_Ratio,IR_Delta_A_Ratio
Normal,0,0.0027131684186252406,0.10339919174571653,0.18800247371675943,3.8683085778406823,-0.9904008156424358,0.2561049416286791,-0.2965455859578622,0.595812938755719,-0.31298784681001185,-1.2313542419606691,0.09432307106218366,0.43103400736718805,0.620740184534322,0.43103400736718805,0.004370859960775141,0.23988638942271,0.19316770186335402,3.950080481764325,-0.9992263303578443,0.2344282168056715,-0.18019631634789546,0.519368136243969,-0.1969287191064184,-1.2863309039347446,0.0959576806850005,0.43103400736718805,0.620740184534322,0.43103400736718805
Normal,1,0.0026739326662916143,0.10189217251397077,0.19166148102053515,4.370737957862279,-0.9296392714526313,0.6642234621960887,-0.6950926492640456,0.6825373760109621,-0.35659624206452956,-1.3030648356571786,0.10072439736597104,0.4158852527471279,0.5989796826489829,0.4158852527471279,0.004464145852938063,0.24500068670606268,0.20364550597108738,4.470404163390287,-0.9846270191680927,0.192489478703452,-0.1918181671176594,0.4245362962418542,-0.12577674089800395,-1.3177721366919728,0.10093554055333799,0.4158852527471279,0.5989796826489829,0.4158852527471279
Normal,2,0.0029618825112719214,0.11285260010632364,0.3566923615977575,4.1438875553164625,-0.995993587753259,0.7143638396998577,-0.4760985546257698,0.7640680322612964,-0.13770064074594432,-1.3586617353535957,0.10294615358252136,0.45986613620189154,0.662386171659683,0.45986613620189154,0.00447153433751582,0.24540315370553578,0.21379310344827587,4.18398886809336,-1.054185750115051,0.2167818537891595,-0.21147725620059596,0.5650278282819757,-0.13073122343964935,-1.3563400866402673,0.1013599867674052,0.45986613620189154,0.662386171659683,0.45986613620189154
Normal,3,0.0028001161630333057,0.10668715941089989,0.21720025109855617,3.2520786796469596,-0.8515244117325601,0.3779548999036882,-0.4044684019167396,0.5290586771348846,-0.13685476538805078,-1.4999912997879152,0.10272960635404786,0.4353153411301501,0.6269981527966674,0.4353153411301501,0.004465908153865599,0.24508017368265156,0.20734744707347447,4.218839651355967,-0.9734861677028803,0.198984824610382,-0.19185730303005907,0.4696773614520311,-0.12312595056099361,-1.3727623009567163,0.10176275766564845,0.4353153411301501,0.6269981527966674,0.4353153411301501
Normal,4,0.0026224749412192935,0.0999121391424106,0.38218390804597707,9.520341697226021,-0.9470066214860233,0.43119209398137787,-0.2758946514073706,0.509283211447785,-0.2549989048085829,-1.5262975628630684,0.12369646305911079,0.4136187732655714,0.595753699459755,0.41361877326557145,0.0044019448701660135,0.24155610334993233,0.2009987515605493,4.733578614192646,-1.078912886157213,0.19517428111319546,-0.2080410025460759,0.5383061306823961,-0.11042496392497088,-1.3792559931699089,0.10371537008193946,0.4136187732655714,0.595753699459755,0.41361877326557145
Normal,5,0.002731596997594765,0.10407007190682384,0.2253968253968254,4.586621714242631,-0.8587456769967575,0.5357417195289134,-0.5121340590392245,0.8759271517866143,-0.06143959178901443,-1.6049816846222975,0.11182513236176256,0.43193886052697156,0.6221323399447719,0.43193886052697156,0.004390700856086753,0.240937043219165,0.20549656464709556,4.479555408757182,-0.959735523583936,0.17723266549755215,-0.20576478668086126,0.5123775775204257,-0.11246790661444424,-1.362357497207331,0.1029300655571922,0.43193886052697156,0.6221323399447719,0.43193886052697156
Normal,6,0.0028552665816091814,0.10878282472581795,0.18974042027194066,3.8231298722999854,-0.8441554464697933,0.4549581853413982,-0.41368999642016097,0.516500200906072,-0.18175587980542057,-1.2868780710692214,0.09112429707419194,0.45096947696760536,0.6495043461017921,0.4509694769676054,0.004396070016691922,0.24121992791461622,0.20012468827930174,4.452048404339223,-1.0428107089023362,0.21783941258334608,-0.23151814169039087,0.40722044079012865,-0.10747537428496302,-1.3744235270345746,0.10261074477560075,0.45096947696760536,0.6495043461017921,0.4509694769676054
Normal,7,0.002979621369735451,0.11352587621179958,0.20817610062893083,3.917339662740678,-1.189507106739844,0.3834613794439103,-0.25676459503485927,0.4875122075461452,-0.07835921484844738,-1.3345030836586675,0.09855892515485067,0.47404631214413756,0.682684263141101,0.47404631214413756,0.004364567239364658,0.2394826693162442,0.1998750780762024,4.433609704597593,-0.9817296472293648,0.282038405055653,-0.20392447043074313,0.5341470386270649,-0.15211069239737152,-1.3743432178809996,0.10320443433555636,0.47404631214413756,0.682684263141101,0.47404631214413756
Normal,8,0.0029674058277902433,0.11304052026876292,0.1793776693105552,4.113046627093579,-1.0067940672220261,0.3074376682068433,-0.36524014492488444,0.845163738228308,-0.22640456001603845,-1.3163361328321728,0.09637936642920786,0.4655057218368608,0.6704859734621249,0.4655057218368608,0.004425753774486483,0.24283379336930822,0.20586400499064256,4.230030655505435,-1.0613795122378393,0.17931598732724904,-0.2232570418510075,0.5502676946452139,-0.14656373523084743,-1.3531587090291062,0.10236398748546854,0.4655057218368608,0.6704859734621249,0.4655057218368608
Normal,9,0.0027927527064124068,0.10638081109990065,0.38467048710601726,5.508011281408796,-0.6552594415424834,0.32235160617646796,-0.34590398499176195,0.3267613174894218,-0.39814446496727185,-1.2249185030789331,0.11486239813297669,0.4310619492258934,0.6208910851532929,0.43106194922589347,0.004497975205623864,0.2467877558920259,0.20511221945137156,4.4462928348142485,-0.9925457096207093,0.19609490062394544,-0.20090818952939585,0.5413558609180704,-0.12279224158631423,-1.3612679349572343,0.10064977157183994,0.4310619492258934,0.6208910851532929,0.43106194922589347
Normal,10,0.003136063618601497,0.11945134610208599,0.20174890693316677,4.682475241687198,-1.0004487157977564,0.4124989923974446,-0.5256080336416854,0.6564440265922098,-0.08537496653277497,-1.3711235450990895,0.09623544129382135,0.49497213395494805,0.7129591485441482,0.494972133954948,0.0043986582190652735,0.24132943636168083,0.2009987515605493,4.450713013965634,-1.0005571963161686,0.16266088304316076,-0.20704396939001599,0.5698975259214712,-0.11370446958085637,-1.3710622604307872,0.10237754204319369,0.49497213395494805,0.7129591485441482,0.494972133954948
Normal,11,0.0030255526070722483,0.11523697514416703,0.20702634880803011,3.856653493636718,-1.0209742200910559,0.3072623686680094,-0.24530453342318484,0.3882594116015778,-0.03307519213824398,-1.2689196624341708,0.09563065277784985,0.48255868908936245,0.6950846941862806,0.48255868908936245,0.004352782664297035,0.2388040620750835,0.20325203252032523,4.241217731330241,-0.974511431565163,0.2515210932380704,-0.15828553354014419,0.5301797665442537,-0.15316952965556666,-1.3608177891521416,0.10286457629435607,0.48255868908936245,0.6950846941862806,0.48255868908936245
Normal,12,0.0028160485880920063,0.10724806395955842,0.2491930277598451,5.369960213986063,-0.9887618630883144,0.7764140860865927,-0.8698221969688656,0.8851254675499305,-0.2588081980088343,-1.2959363724948598,0.10828039874682092,0.443823269617363,0.6393259069862129,0.443823269617363,0.004404715274822633,0.24164587866702228,0.209375,4.264474127156531,-0.9650280543379287,0.20264751862985883,-0.1738154923264492,0.5223208532449786,-0.13136912560288813,-1.3244638471375305,0.1027389944365725,0.443823269617363,0.6393259069862129,0.443823269617363
Normal,13,0.003262155058917782,0.12423080550552938,0.19689440993788818,2.790584844794744,-1.073210348948375,0.3428024899494688,-0.3111579206781689,0.9904650386090476,-0.3976921697718799,-1.015214698403517,0.08291572087607678,0.5182566114711588,0.7465832127873884,0.5182566114711588,0.004369446035008528,0.23970906063866568,0.20362273579013118,4.42805510190111,-0.9925439070671419,0.24290040489575132,-0.1595585690132785,0.4728229657436254,-0.1445011689238466,-1.3544037432297518,0.10494107025401822,0.5182566114711588,0.7465832127873884,0.5182566114711588
Normal,14,0.0033858432942454487,0.12895564582189412,0.3665254237288136,2.423287681617428,-0.8764174137865944,0.5227325998576283,-0.49577437696477006,0.516916235227921,-0.2742028194496029,-1.1638379658732845,0.07667831105496252,0.5337826788950906,0.7688187664204716,0.5337826788950905,0.00440395505693693,0.24158829224063116,0.2011173184357542,4.2479097738102505,-0.9703725355255305,0.25136183562480124,-0.1912502276171328,0.5171449402314435,-0.11599765992369074,-1.3335471799121947,0.1004068277395555,0.5337826788950906,0.7688187664204716,0.5337826788950905
Normal,15,0.0028483476987990666,0.10849070478985948,0.37696709585121607,4.15221103337106,-1.0515169405280902,0.39564179824913337,-0.2534740206302239,0.4864761455229978,-0.43555551625054933,-1.1613779511316376,0.1029280137748539,0.4536642306414506,0.6533847678472194,0.4536642306414506,0.004359372668242389,0.23914317563996823,0.19937694704049844,4.367347536958253,-1.0755820828731018,0.27723343672515294,-0.2800366600168375,0.45757336170263035,-0.16633980138015836,-1.3589844281932557,0.1037267667816274,0.4536642306414506,0.6533847678472194,0.4536642306414506
Normal,16,0.003271315075343284,0.12461377021858884,0.19000616903146206,3.169770178573412,-1.4471117102770255,0.619084121868614,-0.38365064935307125,0.5277086154028933,-0.2937446900030274,-1.0755951272201518,0.08517188455018998,0.5097459851546308,0.7340645769876306,0.5097459851546308,0.004456440452102632,0.24446248493901804,0.20336868371802871,4.402860541044795,-0.9714923240696423,0.21532042038755758,-0.2008341737471174,0.482660830236452,-0.12521249623575373,-1.368948309874087,0.10206725082719109,0.5097459851546308,0.7340645769876306,0.5097459851546308
Normal,17,0.0033989551845740704,0.1294719465236472,0.21419597989949749,3.5624600292470183,-1.2661525054697533,0.36769851793040176,-0.29142534427126865,0.6084368711678523,-0.11812373574008565,-0.9441682777488474,0.07927797041605203,0.538302258498627,0.775196345945815,0.538302258498627,0.0043846377789965125,0.24051904757887516,0.2021144278606965,4.574694099074129,-0.9968238028377996,0.16587627883986578,-0.21750792452787887,0.5599630790226233,-0.1574957767463365,-1.355243643033938,0.10329675846847017,0.538302258498627,0.775196345945815,0.538302258498627
Normal,18,0.0030716541297308533,0.11698576594242577,0.23785166240409206,3.6724775176136193,-0.8257135470878086,0.36514493068622095,-0.32134253154169534,0.5838243482325536,-0.12379197870402595,-1.3473500269197058,0.0985718000222885,0.482030254804532,0.6943274116569668,0.482030254804532,0.004423927498988629,0.24269382424940245,0.20248447204968945,4.561853128474025,-0.9798439441180409,0.21390851613716663,-0.17348379312459275,0.5244447432519183,-0.13603411468829787,-1.3433549447420152,0.10315109164488961,0.482030254804532,0.6943274116569668,0.482030254804532
Normal,19,0.003119805784712751,0.11880226623366702,0.17621951219512194,3.3084500898792655,-1.101753125766094,0.5565329877944777,-0.40693452744593506,0.9591338533566308,-0.42813271745485243,-1.0679312069602898,0.07975065988690054,0.48617396212292907,0.7004489096316009,0.4861739621229291,0.004454009053070843,0.24436163902094754,0.19294990723562153,4.548654150438544,-1.0438898652884319,0.2859626147502797,-0.18369263602778974,0.518679500439711,-0.13665972222631498,-1.3661276153416748,0.10198833765931227,0.48617396212292907,0.7004489096316009,0.4861739621229291
Normal,20,0.0029857916341099813,0.11369162830521286,0.3788641265276779,3.49325966456823,-0.6947645194031121,0.5083118199982413,-0.3188645063480931,0.6045978900792331,-0.26475530112905915,-1.333485850182831,0.10017271245289446,0.4688597275105465,0.675630820002405,0.46885972751054644,0.004419264997560876,0.2424853781084354,0.19874999999999998,4.683365117412475,-1.0644965792478613,0.2160449688905653,-0.18157228622967173,0.48398053636953836,-0.1173075356139511,-1.3523212469497994,0.10201641597470833,0.4688597275105465,0.675630820002405,0.46885972751054644
Normal,21,0.0029230682821168147,0.1113112672351882,0.1818738518064911,4.880379110907986,-1.0354119004940328,0.414310797143314,-0.3173879367184956,0.39719753074544656,-0.10718645566894207,-1.3577246125979034,0.09700339536715859,0.4662492940371531,0.6720060377345906,0.4662492940371531,0.004349764909807675,0.23873766386082368,0.20700437773608507,4.355057606316965,-0.9958814086441122,0.23000774820094874,-0.20896458166244328,0.521450330932613,-0.15035834499708892,-1.3387587316790406,0.102856211769868,0.4662492940371531,0.6720060377345906,0.4662492940371531
Normal,22,0.0029002780856163153,0.11043244370191581,0.43026706231454,3.7056157905066804,-1.210830149814923,0.706474105085669,-0.6572445153200628,0.6662341565881008,-0.00853659622404942,-1.243631477264235,0.09184308975317215,0.45889113945586857,0.6614851915899428,0.45889113945586857,0.004384494350727974,0.24065063411958962,0.2095357590966123,4.337236211813585,-1.0338710152363653,0.2187012069917421,-0.20657177583963038,0.594650318274759,-0.1305119442019879,-1.354552134710963,0.10342083863263174,0.45889113945586857,0.6614851915899428,0.45889113945586857
Normal,23,0.00283804559412324,0.10805457604028305,0.17876754118364854,3.9810530597776923,-1.048136995721425,0.4149330754501447,-0.36386825479653717,0.35765081032606016,-0.22954965535945254,-1.2547716858206415,0.09655869389829753,0.4490964747543862,0.6474210981165907,0.44909647475438624,0.00438361616941336,0.24060437370250748,0.20149253731343283,4.335936048720831,-0.9933534711272652,0.2515728398002525,-0.18802273192549895,0.5368907819931686,-0.1321521297970441,-1.3702785694646837,0.10253342355758757,0.4490964747543862,0.6474210981165907,0.44909647475438624
Normal,24,0.0026401986892692977,0.10051753306858238,0.18842364532019704,4.311776481942606,-0.9284120135509905,0.34769329543146393,-0.2749398779426554,0.47837458913824066,-0.29061171614925085,-1.4424613556383798,0.11038163825975815,0.4194800990624555,0.6047527291005518,0.4194800990624555,0.004365749110708542,0.23962408060177498,0.20549656464709556,4.481271578318799,-1.0818953792202037,0.19907184091804958,-0.20190655214529943,0.4979356361155916,-0.13525514617737627,-1.3408541474481626,0.10244773571997504,0.4194800990624555,0.6047527291005518,0.4194800990624555
Normal,25,0.002717834256085576,0.10346977417243113,0.21261829652996847,4.75325098800524,-1.2709737821715537,0.6611338244174337,-0.5888532885142156,0.6018644380884747,-0.1295161172350855,-1.5476822805579225,0.10606031707227648,0.43314566897781076,0.6244679670124158,0.4331456689778108,0.004352239665852291,0.2388798540144971,0.20728643216080403,4.435478183067847,-0.9669047547537819,0.20201908245543895,-0.17649145384839415,0.5348938626308284,-0.14296593310979427,-1.357909214395662,0.10365421826988847,0.43314566897781076,0.6244679670124158,0.4331456689778108
Normal,26,0.002986873848974488,0.11371823000245451,0.3587033121916843,3.090148178631671,-0.9552245964280598,0.39606329176741517,-0.3817925385310874,0.6584878652323666,-0.2603123246348156,-1.3110885385838966,0.09083138393826475,0.47540236712444806,0.6853527195755247,0.4754023671244481,0.004358155681974119,0.2392041728574019,0.21181646763042114,4.4002843752936895,-0.9344177433700689,0.22751713374769697,-0.15986066608362148,0.41787954932450644,-0.132577108106034,-1.353757355392568,0.1045000816668606,0.47540236712444806,0.6853527195755247,0.4754023671244481
Normal,27,0.0032084543174461895,0.12214439691107329,0.20049968769519053,2.8942735845230616,-0.9131255517363368,0.2838981840698404,-0.29860374485549546,0.5589535709406648,-0.2505804255829835,-1.084332676100398,0.08315128151107022,0.5063841707456814,0.7300632155212683,0.5063841707456814,0.004394762329116033,0.24120895550745247,0.205771643663739,4.179970382366097,-1.0026628618862192,0.2622923568020671,-0.222282212075918,0.5268292334835163,-0.15320723593308055,-1.3294426130778905,0.10107700768943233,0.5063841707456814,0.7300632155212683,0.5063841707456814
Normal,28,0.0028020226242939953,0.1066598663152723,0.18960244648318042,3.307949701696251,-1.2269550234910493,0.5282204282119506,-0.5023162739448078,0.7994075373597518,-0.3939364009257965,-1.219395438540322,0.09697425319469352,0.4528038769389715,0.6528854533233777,0.4528038769389715,0.004291752266849999,0.23555422501306855,0.2125935162094763,3.6464667753895834,-1.0072966477581966,0.2211576603085475,-0.1939916327184957,0.6459471507459288,-0.1947423665748847,-1.2923416374169643,0.09884068410232524,0.4528038769389715,0.6528854533233777,0.4528038769389715
Normal,29,0.002636635462953291,0.100359357811043,0.29482874412357285,2.1953396005562267,-0.7796959091067789,0.5597854210701805,-0.6370798723314163,0.7571157520426564,-0.15018442858353892,-1.006185381773912,0.06921190635475971,0.44029136191251317,0.6348574096596385,0.44029136191251317,0.004153114420396938,0.2279385118415851,0.19454770755885997,2.1641188007029943,-0.9577342588560711,0.1750231381980474,-0.23403100198423915,0.5375798426042989,-0.15587117235329062,-0.9081685207642969,0.06828199246089181,0.44029136191251317,0.6348574096596385,0.44029136191251317
