time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0,2.506023426,-0.077516816,2.453734357,0.059947577,9.610698906,51.65538661
0.0005,2.506187857,-0.078503402,2.453076633,0.048108539,9.569114664,51.56816799
0.001,2.505858995,-0.081627593,2.453734357,0.065373803,9.892877687,52.17691838
0.0015,2.506023426,-0.077187954,2.453734357,0.053370333,9.659411874,52.05410031
0.002,2.506187857,-0.080312145,2.453076633,0.043011175,9.837630052,51.90576932
0.0025,2.505858995,-0.079161127,2.453734357,0.056330093,9.415847031,51.69335934
0.003,2.505858995,-0.077516816,2.453076633,0.045477641,9.696837691,51.82685724
0.0035,2.505858995,-0.081627593,2.453569926,0.06192075,9.828125083,52.29202322
0.004,2.505858995,-0.078667834,2.453241064,0.047615245,9.587530542,52.01138099
0.0045,2.506023426,-0.082943042,2.452747771,0.039393691,9.583372118,51.94018211
0.005,2.506023426,-0.080312145,2.453569926,0.053863627,9.67485745,52.07664663
0.0055,2.506187857,-0.078338971,2.453076633,0.041531295,9.800798295,52.13004578
0.006,2.505530133,-0.081298731,2.453569926,0.056165662,9.66535248,52.10927944
0.0065,2.505858995,-0.078338971,2.453076633,0.044162193,9.970105564,51.95620186
0.007,2.505858995,-0.082449749,2.452254477,0.032816448,9.723570418,52.12233257
0.0075,2.505858995,-0.076859091,2.453241064,0.052054885,9.911887626,52.0066344
0.008,2.506187857,-0.072912745,2.452747771,0.038078243,9.713471388,52.03867389
0.0085,2.506023426,-0.075708074,2.453405495,0.0558368,9.828125083,52.36796869
0.009,2.506516719,-0.070775141,2.453076633,0.044491055,9.629114784,52.26354367
0.0095,2.506352288,-0.072419452,2.45258334,0.036433932,9.931491626,52.47773363
0.01,2.506352288,-0.068473105,2.453241064,0.05287704,9.846540961,52.58037867
0.0105,2.506516719,-0.065020052,2.452747771,0.040544709,9.704560479,52.2765968
0.011,2.50668115,-0.067157657,2.453241064,0.058632128,9.753867508,52.39526159
0.0115,2.50668115,-0.061238137,2.453241064,0.049095125,9.686144601,52.42967438
0.012,2.506516719,-0.063046879,2.452747771,0.040215847,9.813867628,52.59224515
0.0125,2.50668115,-0.063704604,2.453734357,0.058138835,9.620203875,52.3210961
0.013,2.50668115,-0.061402568,2.453076633,0.044655486,9.632085087,52.51748633
0.0135,2.506516719,-0.066335501,2.453569926,0.062742905,9.789511144,52.47417368
0.014,2.50668115,-0.06321131,2.453405495,0.054192489,9.756837811,52.66997059
0.0145,2.50668115,-0.066993225,2.453076633,0.04218902,9.898224232,52.67471718
0.015,2.50668115,-0.064033466,2.453898788,0.061756319,9.793075508,52.79041536
0.0155,2.50668115,-0.060909275,2.453569926,0.049259556,9.698619873,52.63259118
0.016,2.50668115,-0.064526759,2.453734357,0.064058354,9.846540961,52.66819062
0.0165,2.506845581,-0.062718017,2.453734357,0.062249612,9.6047583,52.71921648
0.017,2.506516719,-0.066828794,2.453241064,0.047121952,9.759808114,52.68124375
0.0175,2.506516719,-0.063869035,2.45422765,0.064058354,9.940402535,52.93103314
0.018,2.506845581,-0.060909275,2.453405495,0.057974404,9.967729322,52.7939753
0.0185,2.506516719,-0.066335501,2.453569926,0.065209371,9.867333082,52.76727572
0.019,2.50668115,-0.064362328,2.453734357,0.056001231,9.78535272,52.87644733
0.0195,2.506516719,-0.070281847,2.453241064,0.044491055,9.698025813,52.9250999
0.02,2.506187857,-0.071104003,2.454063219,0.060769732,9.820402295,52.96663257
0.0205,2.506352288,-0.069952985,2.453405495,0.048437401,9.873273688,52.72040313
0.021,2.506023426,-0.076036936,2.453405495,0.06192075,9.722382297,52.91323342
0.0215,2.506187857,-0.074721487,2.453405495,0.050081712,9.677233692,52.94823953
0.022,2.506023426,-0.080641007,2.452912202,0.039886984,9.813273568,53.02952491
0.0225,2.506023426,-0.077187954,2.453734357,0.056494524,9.696243631,53.05444452
0.023,2.506187857,-0.075379212,2.453076633,0.046299797,9.752085327,53.24668148
0.0235,2.505858995,-0.079983282,2.452912202,0.055672369,9.9861452,53.08707734
0.024,2.506023426,-0.078503402,2.453241064,0.047615245,9.749709084,53.07224424
0.0245,2.505694564,-0.083436335,2.452747771,0.037091656,9.728916963,53.07461753
0.025,2.505858995,-0.080312145,2.453569926,0.053863627,9.703966419,53.01765843
0.0255,2.506023426,-0.07817454,2.453076633,0.041695726,9.793075508,53.07639751
0.026,2.505530133,-0.081298731,2.453076633,0.054850213,9.867927142,53.14818971
0.0265,2.506187857,-0.077023523,2.453076633,0.046135366,9.65525345,53.49647087
0.027,2.505858995,-0.079325558,2.45258334,0.03314531,9.942184716,53.1529363
0.0275,2.506023426,-0.075379212,2.453569926,0.051068298,9.933867868,52.99036553
0.028,2.505858995,-0.072419452,2.452912202,0.038571536,9.853669688,53.29058746
0.0285,2.506187857,-0.075050349,2.453076633,0.051890454,9.701590176,53.11318359
0.029,2.506516719,-0.067979812,2.453241064,0.04218902,9.964759019,53.23481501
0.0295,2.50668115,-0.071268434,2.45258334,0.033967465,9.800798295,53.4104389
0.03,2.506516719,-0.067157657,2.453405495,0.052054885,10.08238302,53.40509898
0.0305,2.50668115,-0.062389155,2.453076633,0.039722553,9.659411874,53.20633545
0.031,2.506845581,-0.065348915,2.453076633,0.054192489,9.614263269,53.32440692
0.0315,2.506352288,-0.059429395,2.453241064,0.050575005,9.793669568,53.32856019
0.032,2.506845581,-0.061402568,2.452912202,0.039558122,9.594065209,53.43120524
0.0325,2.50668115,-0.06025155,2.453898788,0.057809973,9.550698786,53.40569231
0.033,2.507010012,-0.057620653,2.453241064,0.04679309,9.532876968,53.19684227
0.0335,2.50668115,-0.064033466,2.453241064,0.059454284,9.982580837,53.38492597
0.034,2.50668115,-0.060580413,2.453569926,0.051890454,9.78535272,53.46680468
0.0345,2.506516719,-0.066006639,2.453076633,0.042682313,10.13703659,53.35466645
