time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.0325,2.503392529,-0.057291791,2.44945915,0.028870102,29.99648221,59.87529682
0.033,2.503392529,-0.055483049,2.448801426,0.016208908,29.74994707,59.87351685
0.0335,2.503228098,-0.058278377,2.448308133,0.007000767,30.18123506,59.73408572
0.034,2.502734805,-0.055154186,2.448965857,0.02262172,30.00301688,59.53176224
0.0345,2.503392529,-0.058442808,2.448636995,0.015222321,30.03509615,59.2879061
0.035,2.503228098,-0.056140773,2.449130288,0.030678844,29.94895736,58.93072507
0.0355,2.503228098,-0.056305204,2.448801426,0.015880046,30.00301688,58.74204805
0.036,2.502899236,-0.055976342,2.448308133,0.005027594,29.99113567,58.5278581
0.0365,2.50355696,-0.051372271,2.449130288,0.021799565,29.84499676,58.27391544
0.037,2.503392529,-0.053674307,2.448636995,0.011440406,29.94955142,57.85265542
0.0375,2.50355696,-0.051536702,2.44945915,0.030843275,30.0659873,57.83366906
0.038,2.503721391,-0.051865564,2.448801426,0.020319685,29.77727385,57.60405268
0.0385,2.503228098,-0.055318618,2.448308133,0.004534301,30.08024475,57.46462155
0.039,2.503228098,-0.05564748,2.448965857,0.019661961,30.06004669,57.15609309
0.0395,2.502570374,-0.060580413,2.448308133,0.006507474,29.99826439,57.26882464
0.04,2.503228098,-0.057620653,2.449130288,0.029692257,30.01073967,56.80247201
0.0405,2.503392529,-0.055811911,2.448308133,0.009138371,29.98222476,56.9656361
0.041,2.502899236,-0.060744844,2.44781484,-0.002042943,29.76182828,56.25424066
0.0415,2.503063667,-0.058278377,2.448636995,0.012098131,30.28103724,56.42630461
0.042,2.502899236,-0.064526759,2.448143702,-0.000398632,30.023809,55.97893834
0.0425,2.502734805,-0.064197897,2.449130288,0.015222321,30.0071753,55.50190588
0.043,2.502899236,-0.063046879,2.448308133,0.004041007,29.95489797,56.00860454
0.0435,2.502570374,-0.067322088,2.44781484,-0.006647014,30.0463833,55.87985324
0.044,2.502899236,-0.066006639,2.448308133,0.009138371,29.95965045,55.54343855
