time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
0.0,1.90650793526915,-0.0637046035139605,2.42956299505941,0.0267324975699264,11.43788671,29.97766218,0.00022226257129664804,0.00015399365915265293
0.0005,1.90650793526915,-0.0617314303327207,2.43038515021443,0.0458065035644752,11.18006442,30.03996119,0.00022342511102441183,0.00015452105465865992
0.001,1.90667236627255,-0.0594293949584369,2.42972742609039,0.0306788436595798,11.11174745,30.00673505,0.00022460824064549745,0.00015490613347352462
0.0015,1.90667236627255,-0.0640334657111287,2.42923413299749,0.0214707027659194,11.30422308,30.1491328,0.00022577910827687744,0.00015531295823759431
0.002,1.90650793526915,-0.0617314303327207,2.42989185712138,0.0362695006003964,11.19253969,30.31229689,0.00022693763058455243,0.0001558398190938662
0.0025,1.90650793526915,-0.0660066388959083,2.42923413299749,0.0244304623456803,11.37907472,30.18176562,0.00022811649282117777,0.00015624010997351655
0.003,1.90617907326236,-0.0643623279083811,2.43005628815238,0.0407091399194941,11.39333217,30.36806935,0.00022926610530602648,0.0001567934027335702
0.0035,1.90650793526915,-0.0632113102183663,2.42939856402845,0.0280479462677472,11.11709399,30.62023203,0.00023048492341145416,0.000157203818152337
0.004,1.90634350426575,-0.0676509498855453,2.42890527093562,0.0244304623456803,11.19907436,30.80119584,0.00023165781619240746,0.00015763541404658341
0.0045,1.90650793526915,-0.0674865187864866,2.42972742609039,0.0326520167001256,11.18778721,30.5970924,0.00023286696822887886,0.0001582029754222209
0.005,1.90617907326236,-0.0714328651697293,2.42906970196655,0.0213062716779656,11.34046078,30.47368101,0.0002340300144057029,0.00015862711860327748
0.0055,1.90617907326236,-0.0702818474733585,2.43005628815238,0.0389003979764105,11.20798527,30.49385403,0.00023522890170344344,0.0001592204089463076
0.006,1.90634350426575,-0.0683086742819914,2.42939856402845,0.0257459110457265,11.3024409,30.47486766,0.00023644703348080432,0.00015965418751834993
0.0065,1.90601464225897,-0.0722550206677721,2.42874083990471,0.0137424416105081,11.14798515,30.369256,0.0002376185399045452,0.0001600925010316055
0.007,1.90585021125559,-0.0709395718711577,2.42956299505941,0.0306788436595798,11.25551011,30.25949106,0.0002388088588212091,0.00016068289198946823
0.0075,1.90568578025222,-0.0763657981659346,2.42906970196655,0.0273902219189956,11.23234175,30.35086295,0.000240001150427253,0.00016114596450237856
0.008,1.90585021125559,-0.0732416072661224,2.42989185712138,0.0369272249448733,11.43907484,30.33543653,0.0002412280754418523,0.00016174500023949953
0.0085,1.90601464225897,-0.0704462785727766,2.42956299505941,0.0268969286572235,11.35768853,30.453508,0.0002424567515750606,0.0001622336008355651
0.009,1.90601464225897,-0.0727483139668519,2.42906970196655,0.0176887877379359,11.34521326,30.4683411,0.00024367079360144308,0.00016271026128164058
0.0095,1.90617907326236,-0.0691308297780244,2.42972742609039,0.03363860321933,11.21689617,30.24347131,0.0002449030830371955,0.00016330624370706505
0.01,1.90634350426575,-0.0715972962692955,2.42939856402845,0.0231150136443608,11.20798527,30.01266829,0.0002461372273703904,0.00016380791285300475
0.0105,1.90617907326236,-0.0701174163739616,2.4302207191834,0.0416957264328997,11.20857933,30.03106134,0.00024734032973179653,0.0001644292693968404
0.011,1.90617907326236,-0.0686375364803412,2.42956299505941,0.030514412572739,11.5269958,30.25593112,0.0002485615307098514,0.00016490740457797686
0.0115,1.90601464225897,-0.0711040029706604,2.42906970196655,0.0170310633841647,11.31432211,30.40722873,0.00024976769440775175,0.00016540634398829748
0.012,1.90650793526915,-0.0679798120837261,2.43005628815238,0.0352829140830891,11.35471823,30.31348354,0.0002510409597584693,0.00016605734298179452
0.0125,1.90617907326236,-0.0691308297780244,2.42956299505941,0.0249237556083468,11.12541084,30.42799507,0.0002522333770239486,0.00016656472039312765
0.013,1.90617907326236,-0.0653489145006444,2.4302207191834,0.0443266237985216,11.43788671,30.26957757,0.0002534598496519229,0.00016719174239480158
0.0135,1.90667236627255,-0.0623891547261305,2.42956299505941,0.0318298612669113,11.42719362,30.3372165,0.0002547367377369374,0.0001676917631480674
0.014,1.90650793526915,-0.0627180169229616,2.42923413299749,0.0232794447320954,11.13848018,30.094547,0.0002559490893827937,0.00016822880420413498
0.0145,1.90667236627255,-0.0581139461749812,2.43005628815238,0.0384071047187923,11.39452029,30.43214834,0.0002571955365100655,0.00016888484640585613
0.015,1.90650793526915,-0.0599226882525794,2.42956299505941,0.0264036353952726,11.17768818,30.40841538,0.0002584101627127181,0.00016941347583422197
0.0155,1.90700122827937,-0.0564696351975508,2.43038515021443,0.0479441076680489,11.32917363,30.29983709,0.00025969159988100955,0.00017007795544996072
0.016,1.90700122827937,-0.0530165821517707,2.43005628815238,0.0354473451693563,11.1848169,30.50572051,0.0002609248960606055,0.00017063187102139333
0.0165,1.90683679727595,-0.0569629284905596,2.42939856402845,0.0318298612669113,11.14857921,30.6095522,0.00026214291301915565,0.00017115720277013948
0.017,1.90700122827937,-0.0564696351975508,2.4302207191834,0.0416957264328997,11.26501508,30.57573274,0.00026339478196226243,0.00017183447308221448
0.0175,1.90683679727595,-0.0586072394686195,2.42939856402845,0.029363394964298,11.15749011,30.64811826,0.00026461459310229827,0.00017235126275110273
0.018,1.90683679727595,-0.0576206528815317,2.43038515021443,0.053370333454578,11.53293641,30.7406768,0.00026585148177191576,0.00017305287653133854
0.0185,1.90683679727595,-0.0566340662951994,2.42972742609039,0.0328164477867091,11.41650053,30.59531243,0.00026708881273848704,0.00017359412625231514
0.019,1.90650793526915,-0.0609092748414319,2.42939856402845,0.0250881866958625,11.29234187,30.72940364,0.00026829345061943637,0.00017417203644130963
0.0195,1.90650793526915,-0.0607448437432373,2.43005628815238,0.0379138114609968,11.31075775,30.75728987,0.00026953080244685183,0.00017485208666180287
0.02,1.90634350426575,-0.0646911901057179,2.42956299505941,0.0277190840934111,11.29768841,30.68075108,0.00027075123233178506,0.00017542063315309796
0.0205,1.90650793526915,-0.0632113102183663,2.4302207191834,0.0451487792242476,11.24006454,30.69736415,0.0002720038796866197,0.0001761079369168374
0.021,1.90650793526915,-0.063046879119877,2.42989185712138,0.0319942923535938,10.97630163,30.24703126,0.00027323934179602713,0.0001767003539828276
0.0215,1.90650793526915,-0.067322087687449,2.42906970196655,0.0239371690828347,11.26798539,30.41019535,0.00027447398779862053,0.00017724686174287792
0.022,1.90650793526915,-0.0653489145006444,2.42989185712138,0.0352829140830891,11.36362914,30.67600449,0.0002757076848173358,0.0001779607509986073
0.0225,1.90617907326236,-0.0702818474733585,2.42906970196655,0.0236083069075049,11.29828248,30.24762458,0.0002769072962364883,0.00017851309864698215
0.023,1.90617907326236,-0.0692952608772944,2.43038515021443,0.0400514155768303,11.23412393,30.5401333,0.00027813822602549805,0.00017928220892304012
0.0235,1.90617907326236,-0.0676509498855453,2.42939856402845,0.0272257908317581,11.56501568,30.70626401,0.0002793673351597912,0.00017982434694554573
0.024,1.90601464225897,-0.0727483139668519,2.42890527093562,0.0208129784139848,11.48303532,30.49504068,0.0002805779841890418,0.00018041857055518774
0.0245,1.90617907326236,-0.0715972962692955,2.42972742609039,0.030514412572739,11.34343108,30.3372165,0.0002818193036572772,0.0001811466186219618
0.025,1.90585021125559,-0.0760369359655936,2.42923413299749,0.0209774095019983,11.22758926,30.4659678,0.0002830088766692108,0.00018174556654448635
0.0255,1.90601464225897,-0.0729127450665876,2.43005628815238,0.0385715358046848,11.51273835,30.60836555,0.00028424509891072203,0.00018247866656610849
0.026,1.90585021125559,-0.0704462785727766,2.42939856402845,0.0224572892932233,11.31610429,30.42799507,0.000285445547258088,0.0001830664884611205
0.0265,1.90617907326236,-0.0735704694657421,2.42906970196655,0.0175243566495231,11.29887654,30.68787096,0.000286692343299762,0.00018368953903406265
0.027,1.90601464225897,-0.0707751407716762,2.42956299505941,0.029363394964298,11.1260049,30.56386626,0.00028788678984317123,0.00018439677838229772
0.0275,1.90585021125559,-0.0743926249651623,2.42906970196655,0.0186753742679931,11.12065836,30.38527574,0.00028907799882599955,0.0001850073119437542
0.028,1.90617907326236,-0.0699529852745859,2.43005628815238,0.0433400372870027,11.3838272,30.52174025,0.0002903150791243391,0.0001857678802799345
0.0285,1.90634350426575,-0.0678153809846252,2.42923413299749,0.0244304623456803,11.24422296,30.41375529,0.0002915323278654208,0.00018634977191592787
0.029,1.90634350426575,-0.0691308297780244,2.42890527093562,0.0199908229736179,11.02263836,30.47012107,0.0002927298122825773,0.00018698275330079946
0.0295,1.90617907326236,-0.0674865187864866,2.42956299505941,0.0316654301802091,11.37788659,30.62557195,0.000293907363716285,0.00018771577284306502
0.03,1.90634350426575,-0.0704462785727766,2.42923413299749,0.0203196851498245,11.30659932,30.63862508,0.00029511408287088596,0.0001883516564661086
0.0305,1.90650793526915,-0.0683086742819914,2.43005628815238,0.0387359668905575,11.37966878,30.6368451,0.0002963170293646854,0.00018910436353549494
0.031,1.90650793526915,-0.0643623279083811,2.42939856402845,0.0259103421331428,11.25491605,30.62557195,0.0002974997635271848,0.00018971094327067842
0.0315,1.90634350426575,-0.066828794390463,2.42906970196655,0.021141840589992,11.27036163,30.58878586,0.0002986621125413213,0.00019035188031991425
0.032,1.90667236627255,-0.0646911901057179,2.42972742609039,0.03363860321933,11.20917339,30.57573274,0.00029986967569647146,0.0001910926145258526
