Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
Red,9,Width_Ratio,Ischaemia vs Congestion,0.429497012,0.324805934,0.539210713,118
Red,15,RiseTime,Normal vs Ischaemia,0.49482877,0.40203757,0.607829698,132
Red,15,RiseTime,Normal vs Congestion,0.495691647,0.393792484,0.605164457,130
Red,15,RiseTime,Ischaemia vs Congestion,0.51111904,0.401661849,0.610845305,132
Red,15,FallTime,Normal vs Ischaemia,0.546717549,0.458804923,0.643567644,132
Red,15,FallTime,Normal vs Congestion,0.563677119,0.464869695,0.660609532,130
Red,15,FallTime,Ischaemia vs Congestion,0.504016158,0.39645278,0.593358111,132
Red,15,PulseWidth,Normal vs Ischaemia,0.441888795,0.353018209,0.546080686,132
Red,15,PulseWidth,Normal vs Congestion,0.508882509,0.406756472,0.602851988,130
Red,15,PulseWidth,Ischaemia vs Congestion,0.560814475,0.444029585,0.655852559,132
Red,15,SystolicWidth,Normal vs Ischaemia,0.476178172,0.379123901,0.589279065,132
Red,15,SystolicWidth,Normal vs Congestion,0.49960403,0.394159903,0.610146242,130
Red,15,SystolicWidth,Ischaemia vs Congestion,0.529312039,0.422595684,0.624343819,132
Red,15,DiastolicWidth,Normal vs Ischaemia,0.484782996,0.390240259,0.577449462,132
Red,15,DiastolicWidth,Normal vs Congestion,0.565922991,0.469374212,0.68173157,130
Red,15,DiastolicWidth,Ischaemia vs Congestion,0.575849297,0.467871058,0.676871981,132
Red,15,RiseTime,Normal vs Ischaemia,0.508132916,0.412845622,0.61590045,132
Red,15,RiseTime,Normal vs Congestion,0.491636833,0.390854259,0.603967616,130
Red,15,RiseTime,Ischaemia vs Congestion,0.490164627,0.374009507,0.591631329,132
Red,15,FallTime,Normal vs Ischaemia,0.559921835,0.471302047,0.655911281,132
Red,15,FallTime,Normal vs Congestion,0.55419465,0.456589794,0.649374807,130
Red,15,FallTime,Ischaemia vs Congestion,0.483335515,0.374264706,0.573752383,132
Red,15,PulseWidth,Normal vs Ischaemia,0.457097345,0.36635485,0.563421464,132
Red,15,PulseWidth,Normal vs Congestion,0.50682031,0.404406442,0.601401594,130
Red,15,PulseWidth,Ischaemia vs Congestion,0.547820946,0.432795252,0.647254542,132
Red,15,SystolicWidth,Normal vs Ischaemia,0.488505789,0.388564997,0.602089516,132
Red,15,SystolicWidth,Normal vs Congestion,0.496265971,0.392522321,0.60630693,130
Red,15,SystolicWidth,Ischaemia vs Congestion,0.514115669,0.407696223,0.612093179,132
Red,15,DiastolicWidth,Normal vs Ischaemia,0.492860037,0.398577443,0.587633066,132
Red,15,DiastolicWidth,Normal vs Congestion,0.564622919,0.467818501,0.680991179,130
Red,15,DiastolicWidth,Ischaemia vs Congestion,0.567048372,0.456710422,0.669814744,132
Red,15,RiseFall_ratio,Normal vs Ischaemia,0.51078516,0.410456829,0.605131268,132
Red,15,RiseFall_ratio,Normal vs Congestion,0.518504588,0.414681007,0.615538479,130
Red,15,RiseFall_ratio,Ischaemia vs Congestion,0.498287168,0.408931423,0.605109297,132
Red,15,Width_Ratio,Normal vs Ischaemia,0.49586542,0.398837129,0.603593587,132
Red,15,Width_Ratio,Normal vs Congestion,0.539804852,0.432201146,0.650215883,130
Red,15,Width_Ratio,Ischaemia vs Congestion,0.545876205,0.453755514,0.631991416,132
Red,21,RiseTime,Normal vs Ischaemia,0.463102189,0.364061237,0.568600585,130
Red,21,RiseTime,Normal vs Congestion,0.491016035,0.390499191,0.5880816,124
Red,21,RiseTime,Ischaemia vs Congestion,0.524904844,0.42108174,0.6350326,130
Red,21,FallTime,Normal vs Ischaemia,0.667995212,0.56672151,0.779177038,130
Red,21,FallTime,Normal vs Congestion,0.592080011,0.500630084,0.685224814,124
Red,21,FallTime,Ischaemia vs Congestion,0.410614036,0.307626269,0.513055653,130
Red,21,PulseWidth,Normal vs Ischaemia,0.541098437,0.435510555,0.659115134,130
Red,21,PulseWidth,Normal vs Congestion,0.55203595,0.47078675,0.638648861,124
Red,21,PulseWidth,Ischaemia vs Congestion,0.513800328,0.408602978,0.624434575,130
Red,21,SystolicWidth,Normal vs Ischaemia,0.469218256,0.373107441,0.577457549,130
Red,21,SystolicWidth,Normal vs Congestion,0.498308402,0.399259924,0.58907721,124
Red,21,SystolicWidth,Ischaemia vs Congestion,0.531626091,0.430194267,0.644663013,130
Red,21,DiastolicWidth,Normal vs Ischaemia,0.588240163,0.488275577,0.698326941,130
Red,21,DiastolicWidth,Normal vs Congestion,0.569847688,0.470918273,0.657380616,124
Red,21,DiastolicWidth,Ischaemia vs Congestion,0.483281002,0.396426204,0.588894544,130
Red,21,RiseTime,Normal vs Ischaemia,0.476079299,0.377389228,0.582174936,130
Red,21,RiseTime,Normal vs Congestion,0.503563266,0.399699598,0.603312735,124
Red,21,RiseTime,Ischaemia vs Congestion,0.524904844,0.42108174,0.6350326,130
Red,21,FallTime,Normal vs Ischaemia,0.681819016,0.578991586,0.786178361,130
Red,21,FallTime,Normal vs Congestion,0.615955092,0.522640931,0.709490017,124
Red,21,FallTime,Ischaemia vs Congestion,0.410614036,0.307626269,0.513055653,130
Red,21,PulseWidth,Normal vs Ischaemia,0.558515795,0.450545541,0.675840604,130
Red,21,PulseWidth,Normal vs Congestion,0.566211196,0.484439374,0.650988479,124
Red,21,PulseWidth,Ischaemia vs Congestion,0.513800328,0.408602978,0.624434575,130
Red,21,SystolicWidth,Normal vs Ischaemia,0.48103333,0.384645175,0.591109818,130
Red,21,SystolicWidth,Normal vs Congestion,0.509977252,0.409316164,0.600494606,124
Red,21,SystolicWidth,Ischaemia vs Congestion,0.531626091,0.430194267,0.644663013,130
Red,21,DiastolicWidth,Normal vs Ischaemia,0.596836636,0.499292572,0.708923059,130
Red,21,DiastolicWidth,Normal vs Congestion,0.579191898,0.482511938,0.668846585,124
Red,21,DiastolicWidth,Ischaemia vs Congestion,0.483281002,0.396426204,0.588894544,130
Red,21,RiseFall_ratio,Normal vs Ischaemia,0.616105601,0.516916667,0.715115583,130
Red,21,RiseFall_ratio,Normal vs Congestion,0.551155295,0.452884564,0.656472718,124
Red,21,RiseFall_ratio,Ischaemia vs Congestion,0.43916475,0.335159572,0.537678415,130
Red,21,Width_Ratio,Normal vs Ischaemia,0.578910687,0.476716847,0.670748967,130
Red,21,Width_Ratio,Normal vs Congestion,0.568059713,0.477515916,0.678252721,124
Red,21,Width_Ratio,Ischaemia vs Congestion,0.486546838,0.388669198,0.58712836,130
IR,3,RiseTime,Normal vs Ischaemia,0.827891972,0.711707405,0.926985294,64
IR,3,RiseTime,Normal vs Congestion,0.110127404,0.021759863,0.22759999,66
IR,3,RiseTime,Ischaemia vs Congestion,0.083551989,0.007813406,0.18650959,66
IR,3,FallTime,Normal vs Ischaemia,0.491108173,0.443406092,0.534509277,64
IR,3,FallTime,Normal vs Congestion,0.515836371,0.451710762,0.575874126,66
IR,3,FallTime,Ischaemia vs Congestion,0.527347547,0.470989305,0.583333333,66
IR,3,PulseWidth,Normal vs Ischaemia,0.131781096,0.044459069,0.226895974,64
IR,3,PulseWidth,Normal vs Congestion,0.153609775,0.064813736,0.269722222,66
IR,3,PulseWidth,Ischaemia vs Congestion,0.510740062,0.37544903,0.651621568,66
IR,3,SystolicWidth,Normal vs Ischaemia,0.810816957,0.677768817,0.917739358,64
IR,3,SystolicWidth,Normal vs Congestion,0.065802663,0.001805556,0.158099444,66
IR,3,SystolicWidth,Ischaemia vs Congestion,0.060280683,0.00044807,0.14710397,66
IR,3,DiastolicWidth,Normal vs Ischaemia,0.118903609,0.030858488,0.218191171,64
IR,3,DiastolicWidth,Normal vs Congestion,0.337342032,0.21618199,0.48487604,66
IR,3,DiastolicWidth,Ischaemia vs Congestion,0.807867209,0.678205797,0.910921671,66
IR,3,RiseTime,Normal vs Ischaemia,0.827891972,0.711707405,0.926985294,64
IR,3,RiseTime,Normal vs Congestion,0.11385714,0.025231707,0.237172838,66
IR,3,RiseTime,Ischaemia vs Congestion,0.092518763,0.011875906,0.197493734,66
IR,3,FallTime,Normal vs Ischaemia,0.491108173,0.443406092,0.534509277,64
