Datum_Area_Ratio,Rise_Decay_Ratio,Skewness,Kurtosis,Variance,b_a,c_a,d_a,e_a,State,Channel,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio
3.9873197522407438,0.17524509803920493,-0.3297729779111986,-1.209020974433488,6.546092086282582e-07,-0.9086887853705362,0.6677574244528242,-0.7331818338793397,0.6677574244528242,Normal,Red,0,,,
3.9260322668269465,0.1824907521578186,-0.2154601545911923,-1.2535336456295527,1.7233134281913196e-06,-0.9440994179263295,0.40025348185624526,-0.4891369344801868,0.40025348185624526,Normal,IR,0,,,
,,,,,,,,,Normal,Dual,0,0.4290567337471584,0.6178920201641899,0.6183952105699598
4.23521728525409,0.18796526054589405,-0.376375692602518,-1.257962669407656,6.755613629329488e-07,-0.6488183649097176,0.6960782323564696,-0.6356671048769018,0.6960782323564696,Normal,Red,1,,,
4.422760925509022,0.1931464174454708,-0.13133519038565467,-1.2881475343417998,1.8818696227835521e-06,-1.0219137117341208,0.385782718231894,-0.5148234117761552,0.385782718231894,Normal,IR,1,,,
,,,,,,,,,Normal,Dual,1,0.4208346621269097,0.6061082445271484,0.606626279711896
4.18169772834945,0.37084217975935097,-0.13553929914203142,-1.3248314680624171,8.443074516375427e-07,-0.88248281781743,0.9999999999994804,-0.9506983198274194,0.7579879745366082,Normal,Red,2,,,
4.204243268221232,0.2046019900497385,-0.13422776851251964,-1.3287745307974508,1.8952146465155456e-06,-1.0412041165100283,0.50792311839724,-0.5273643839488026,0.50792311839724,Normal,IR,2,,,
,,,,,,,,,Normal,Dual,2,0.4622250597636489,0.665784322583107,0.6662679199246018
3.228240597448491,0.2483912483912324,-0.1463000728339274,-1.4650486894263834,7.501896444286017e-07,-0.8742571555896421,0.5260894018511625,-0.6601408375291555,0.5061910289713358,Normal,Red,3,,,
4.2613530490800775,0.19901112484547595,-0.12579007971550898,-1.3467910897491358,1.8975340167712423e-06,-0.9649380653264267,0.5440989176978598,-0.5026618263934041,0.5440989176978598,Normal,IR,3,,,
,,,,,,,,,Normal,Dual,3,0.44085121335009864,0.6349718266217089,0.6354749025848534
7.6749432722914674,0.356135401974587,-0.2651408966697147,-1.5111324828202457,7.982305771477815e-07,-0.9475101913354492,0.6760144144433813,-0.6929139918411527,0.6760144144433813,Normal,Red,4,,,
4.792583921296572,0.1899752475247407,-0.11323481452641189,-1.3530629092655604,1.8783886945132202e-06,-1.0768477409731207,0.5169262593795051,-0.5175202211569712,0.5169262593795051,Normal,IR,4,,,
,,,,,,,,,Normal,Dual,4,0.4236787339306787,0.6102436816324905,0.6107527869698502
4.1523740256916435,0.24580645161288736,-0.06578376094269861,-1.5890445371578306,7.821478755377276e-07,-0.7797340841013561,0.8249713509749805,-0.6168432057693045,0.8249713509749805,Normal,Red,5,,,
4.535835360432848,0.1956656346749105,-0.1159908020269442,-1.335605928353618,1.8582866423101745e-06,-0.9599633491000683,0.524731494075203,-0.4520348347240994,0.524731494075203,Normal,IR,5,,,
,,,,,,,,,Normal,Dual,5,0.442550659945653,0.6374167383357753,0.6379091187558368
3.607623285197044,0.19133126934983335,-0.19492290449877703,-1.214008186985916,7.003124178884848e-07,-0.6132561521841216,0.6084519709965056,-0.6028329352289263,0.5748229670207284,Normal,Red,6,,,
4.495143418099816,0.18838789376156959,-0.10947511814753014,-1.3476206982457843,1.8526624276263752e-06,-1.0559537239122363,0.4768375141045159,-0.481729901570201,0.4768375141045159,Normal,IR,6,,,
,,,,,,,,,Normal,Dual,6,0.4634183316740251,0.6674330218984312,0.6679073365849806
3.9476205739363492,0.19477286869942784,-0.0647279004661819,-1.3091254672552062,8.194684626878121e-07,-1.3052004369859658,0.5229610466997584,-0.9548423844584966,0.4011351294075779,Normal,Red,7,,,
4.488697980371829,0.19032858028517108,-0.15752995965497776,-1.3471149666440139,1.837315075433934e-06,-0.9880412111218967,0.47315883273626735,-0.5990725842973597,0.47315883273626735,Normal,IR,7,,,
,,,,,,,,,Normal,Dual,7,0.47878876375154517,0.6895138513359288,0.6899680474606634
3.8172872495771717,0.16938898971565822,-0.23428181431353787,-1.2792628667605639,8.033965718264342e-07,-1.057348497605161,0.944989219920118,-0.6912922724431388,0.944989219920118,Normal,Red,8,,,
4.227406517745423,0.19468479604448735,-0.1504484155776074,-1.3267024039371076,1.8752560200659303e-06,-1.1309645317062185,0.4885387602604831,-0.6720200550684204,0.4885387602604831,Normal,IR,8,,,
,,,,,,,,,Normal,Dual,8,0.4772710467915357,0.6874318762041018,0.6878939732434035
5.138901712199678,0.36871903750882035,-0.41448710086639795,-1.1895606631749707,8.370112279949797e-07,-0.6187462454149788,0.40852497051837305,-0.37304051464650273,0.40852497051837305,Normal,Red,9,,,
4.454331010098882,0.1967821782178096,-0.12358602500416101,-1.3334133877490717,1.9066707595492363e-06,-0.9926118448054951,0.47977771888246357,-0.5260806674051884,0.47977771888246357,Normal,IR,9,,,
,,,,,,,,,Normal,Dual,9,0.43194688580172425,0.6221661629752163,0.6226809523180806
4.651791411854344,0.1928084314940984,-0.08769118354543232,-1.334719360046945,8.892725664072072e-07,-0.8671149232006755,0.7619420241706386,-0.671383729588989,0.7619420241706386,Normal,Red,10,,,
4.515632218033113,0.1905940594059288,-0.11625515869241704,-1.3459404263520365,1.8533435701389828e-06,-1.0139451590619353,0.4488045052660853,-0.37751869280883066,0.4488045052660853,Normal,IR,10,,,
,,,,,,,,,Normal,Dual,10,0.49973312086901117,0.7198172096996456,0.7202462737132447
