State,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Red_Datum_Area_Ratio,Red_Rise_Decay_Ratio,Red_Skewness,Red_Kurtosis,Red_Variance,Red_b_a,Red_c_a,Red_d_a,Red_e_a,IR_Datum_Area_Ratio,IR_Rise_Decay_Ratio,IR_Skewness,IR_Kurtosis,IR_Variance,IR_b_a,IR_c_a,IR_d_a,IR_e_a
Normal,0.4316787560164538,0.6216706659868813,0.431384169586317,-0.6641989370084613,0.19799498746865926,-0.32298652460311716,-1.2146857438319338,0.09345397637934318,-0.9903991733690388,0.19313915149869573,-0.18703720432989393,0.29484581746513117,-0.46230065591567604,0.19316770186334203,-0.1969287191064184,-1.2863309039347446,0.0959576806850005,-0.9992246097333761,0.23442781313043434,-0.21513981131032514,0.195806477906874
Normal,0.4158860203167206,0.5989773517752399,0.4155881063122971,-0.6173428077753463,0.20588235294116358,-0.3443032271030507,-1.321165236129388,0.10168914149800054,-0.9296375638913758,0.34793518859243844,-0.35684432544488637,0.6642222421506284,-0.5102213987033151,0.20364550597107456,-0.12577674089800395,-1.3177721366919728,0.10093554055333799,-0.9846251605696186,0.19248911535708388,-0.17579957332326396,0.16049218322554282
Normal,0.45987928546433665,0.6624033367427719,0.4595741470082691,-0.48222081995730903,0.36274509803919025,-0.1314937198657139,-1.3644424480231292,0.10374880301447283,-0.9959911534215439,0.3105679692238328,-0.7488932048030967,0.7037408281998104,-0.4375678509875222,0.21379310344826244,-0.13073122343964935,-1.3563400866402673,0.1013599867674052,-1.054183583290639,0.21678140820524533,-0.19702975612960033,0.17385024739415555
Normal,0.43532062039864694,0.6269981387570115,0.4350190530925852,-0.7070323073495707,0.2108801955990091,-0.10143617749460394,-1.523343034507723,0.10511564406239993,-0.851523050492855,0.285174075287789,-0.35947211822423913,0.3779542957081896,-0.46497582747334326,0.20734744707346156,-0.12312595056099361,-1.3727623009567163,0.10176275766564845,-0.9734843095813898,0.19898444480223354,-0.1659513295246912,0.16108331031542944
Normal,0.4136076892750772,0.5957524715034106,0.4133144388278561,-0.5981750565225583,0.3616863905325176,-0.3459558223473272,-1.4320476361980048,0.11760628098768287,-0.9470052682506453,0.6123439136731715,-0.40625864704873793,0.28529021980191976,-0.5021637646116259,0.20099875156053676,-0.11042496392497088,-1.3792559931699089,0.10371537008193946,-1.0789108363914044,0.19517391031257444,-0.21772870949452722,0.18455858464118935
Normal,0.43290147823942104,0.6235118603240524,0.4326053999752368,-0.460870723843997,0.24952621604546749,-0.02937634552073588,-1.6085599462697793,0.11466921381150105,-0.8587440208830327,0.19532615382823695,-0.470114129045314,0.28003886142123735,-0.5022452280692588,0.2054965646470827,-0.11246790661444424,-1.362357497207331,0.1029300655571922,-0.959733740773208,0.1593746406734514,-0.1346612735294862,0.17723233626904114
Normal,0.45576756953303416,0.656409417970538,0.4554680590242102,-0.9367842313770209,0.18176291793311963,-0.17558159767902476,-1.2932508785616066,0.09103993690641286,-0.8441541628721742,0.3054606100777417,-0.3291877998291359,0.34963625037798773,-0.5093909755749797,0.20012468827928925,-0.10747537428496302,-1.3744235270345746,0.10261074477560075,-1.0428087796532215,0.21783900957013355,-0.21265985375878527,0.18646791090011902
Normal,0.47541791901450087,0.6846630529468835,0.4751189379862996,-0.794632543878154,0.18964441671864068,-0.0880511021864531,-1.324906031102964,0.0970541069880562,-1.1895048678015936,0.3834606576784376,-0.35904765113345877,0.3011965691768364,-0.46846779973545566,0.19987507807618987,-0.15211069239737152,-1.3743432178809996,0.10320443433555636,-0.9817277900248874,0.28203787150449644,-0.31998346248105264,0.1282800093893272
Normal,0.46549646515517595,0.6704800060916071,0.4651940128903192,-0.7964933670717539,0.17249846531613428,-0.23751182866389034,-1.3037240294586567,0.09410254091932822,-1.0067925562457996,0.31656139785334503,-0.2823571650225276,0.24213487159976177,-0.46045815770989834,0.2058640049906297,-0.14656373523084743,-1.3531587090291062,0.10236398748546854,-1.0613774132656393,0.17931563271396692,-0.1927638759795381,0.17300452026158772
Normal,0.4310428353668318,0.6208835252308382,0.43073987285618426,-0.6361062766006267,0.4270101483215904,-0.49113726738512437,-1.0469878005170423,0.10212691811369783,-0.6552584814763224,0.2033957085417813,-0.33102866350969407,0.32235113387750747,-0.48187794654161276,0.20511221945135877,-0.12279224158631423,-1.3612679349572343,0.10064977157183994,-0.992543780071022,0.19609451940739236,-0.17608615795331675,0.1700504095156872
