Comparison,p_Unadj_Red,p_Adj_Red,p_Unadj_IR,p_Adj_IR
Normal vs Ischaemia,1.5880563548994845e-14,4.7641690646984535e-14,1.393416056668264e-08,4.180248170004792e-08
Normal vs Congestion,0.04074811482399357,0.12224434447198071,1.706095142432985e-14,5.118285427298955e-14
Ischaemia vs Congestion,1.7592984708886343e-08,5.2778954126659025e-08,0.04584229958319952,0.13752689874959856
