Feature,AUC,CI_Lower,CI_Upper
Red_PI,1.0,1.0,1.0
Red_Amplitude,1.0,1.0,1.0
Red_AUC,1.0,1.0,1.0
IR_D_AUC,1.0,1.0,1.0
IR_S_AUC,1.0,1.0,1.0
IR_AUC,1.0,1.0,1.0
IR_Amplitude,1.0,1.0,1.0
IR_PI,1.0,1.0,1.0
IR_Decay_Time,1.0,0.9999999999999999,1.0
Red_D_AUC,0.9977777777777778,0.9895833333333334,1.0
IR_Rise_Decay_Ratio,0.9911111111111112,0.9732142857142857,1.0
IR_Upslope,0.9866666666666667,0.9606481481481481,1.0
IR_Pulse_Width,0.9822222222222222,0.9521690767519465,1.0
IR_Crest_Time,0.9744444444444444,0.9391741071428571,0.9966329966329966
IR_AUC_Ratio,0.9422222222222222,0.8625,0.9944382647385984
IR_e_a,0.9166666666666667,0.8356867779204108,0.9722222222222222
Red_Downslope,0.9133333333333333,0.8292410714285714,0.978675645342312
IR_PW50,0.8888888888888888,0.7780867630700778,0.9688888888888889
IR_d_a,0.8266666666666667,0.6975446428571428,0.9232480533926585
IR_c_a,0.8222222222222222,0.7002314814814815,0.9099999999999999
IR_Skewness,0.8011111111111111,0.67853170189099,0.9043381535038932
IR_Downslope,0.8,0.6733333333333333,0.8995535714285714
Red_S_AUC,0.7788888888888889,0.6436651583710408,0.8872767857142857
Red_Variance,0.7388888888888889,0.6104910714285714,0.8665183537263627
Combined_Amp_Ratio,0.7288888888888889,0.5891203703703703,0.8459821428571428
Combined_PI_Ratio,0.7288888888888889,0.6110458284371327,0.8451178451178452
Combined_Delta_A_Ratio,0.7277777777777777,0.5982042648709316,0.8431590656284761
Red_c_a,0.7177777777777778,0.5859375,0.8495475113122172
Red_d_a,0.7066666666666667,0.575083426028921,0.8359375
Red_e_a,0.7000000000000001,0.5602678571428571,0.8231368186874306
IR_Variance,0.66,0.5230078563411897,0.7873090481786134
Red_Kurtosis,0.61,0.5044642857142857,0.7575757575757576
Red_PW50,0.595,0.5044642857142857,0.72265625
Red_Skewness,0.59,0.5061728395061728,0.7362514029180697
Red_Upslope,0.5866666666666667,0.5044444444444445,0.7497194163860831
IR_b_a,0.5822222222222222,0.5034722222222222,0.7243303571428572
IR_Kurtosis,0.5811111111111111,0.5038932146829811,0.7230255839822024
Red_Pulse_Width,0.5772222222222222,0.5028058361391694,0.728395061728395
Red_Decay_Time,0.5533333333333333,0.5028058361391695,0.707070707070707
Red_AUC_Ratio,0.5511111111111111,0.5022222222222222,0.7042410714285714
Red_b_a,0.51,0.5025,0.6734006734006734
Red_Crest_Time,0.5038888888888888,0.504,0.6685205784204671
Red_Rise_Decay_Ratio,0.5011111111111111,0.5023923444976076,0.6855203619909502
