Depth,Channel,Chi-Squared,df,p-Value
3mm,Red,59.861196581196566,2,1.0030124466497723e-13
3mm,IR,71.58153846153851,2,2.8593440836145133e-16
9mm,Red,35.935238095238105,2,1.5731212393325664e-08
9mm,IR,61.90417582417581,2,3.61142846166061e-14
15mm,Red,9.108962148962178,2,0.010519957890538695
15mm,IR,65.00991452991451,2,7.643221143412403e-15
21mm,Red,23.77211233211233,2,6.885752294320765e-06
21mm,IR,53.196288156288176,2,2.809136210763931e-12
