Comparison,Channel,Z,p_Unadj,p_Adj
Normal vs Ischaemia,Red,7.680228045429906,1.5987211554602254e-14,4.796163466380676e-14
Normal vs Congestion,Red,2.046083919438854,0.04074811482399365,0.12224434447198096
Ischaemia vs Congestion,Red,-5.6341441259910505,1.7592984624670294e-08,5.277895387401088e-08
Normal vs Ischaemia,IR,5.674195897861055,1.3934160492112824e-08,4.180248147633847e-08
Normal vs Congestion,IR,7.6710383566902065,1.709743457922741e-14,5.129230373768223e-14
Ischaemia vs Congestion,IR,1.996842458829152,0.04584229958319952,0.13752689874959856
