Feature,AUC,CI_Lower,CI_Upper
PI,0.9990234375,0.9941176470588236,1.0
Amplitude,0.9990234375,0.9941348973607038,1.0
S_AUC,0.984375,0.9501466275659824,1.0
DNP,0.9775390625,0.927927927927928,1.0
Width_Ratio,0.9765625,0.9375,1.0
Rise_Decay_Ratio,0.9765625,0.9419419419419419,1.0
Max_Start_Datum_Diff,0.9697265625,0.9047619047619048,1.0
Start_Datum_Area,0.9697265625,0.896551724137931,1.0
D_AUC,0.9697265625,0.9029411764705882,1.0
AUC,0.9697265625,0.8988095238095238,1.0
Crest_Time,0.95703125,0.8995073891625616,0.9963541666666667
End_Datum_Area,0.94921875,0.8698698698698699,1.0
Diastolic_Width,0.93603515625,0.8387096774193549,1.0
Decay_Time,0.935546875,0.841642228739003,1.0
Upslope,0.9130859375,0.8138528138528138,0.9803921568627451
c_a,0.912109375,0.8196078431372549,0.9803921568627451
AUC_Ratio,0.90234375,0.806896551724138,0.9736070381231672
e_a,0.888671875,0.7904858299595141,0.9603174603174603
Downslope,0.8671875,0.7624633431085044,0.9543650793650793
Systolic_Width,0.8544921875,0.7246305418719212,0.95703125
d_a,0.8193359375,0.70772238514174,0.9073891625615763
Slope_Ratio,0.7568359375,0.6236453201970444,0.8720703125
Variance,0.7431640625,0.6103515625,0.8642578125
Datum_Area_Ratio,0.6640625,0.5330049261083744,0.7869012707722385
RWI,0.654296875,0.5175175175175175,0.7921182266009852
PW50,0.63232421875,0.5117302052785924,0.7785923753665689
Skewness,0.623046875,0.5152709359605911,0.748768472906404
Pulse_Width,0.58349609375,0.5053763440860215,0.7375366568914956
Kurtosis,0.55078125,0.503711558854719,0.6882352941176471
b_a,0.521484375,0.5024630541871922,0.6607142857142858
Delta_T,0.505859375,0.501466275659824,0.5932539682539683
