time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
0.0,2.51687587427346,-0.0525232888602702,2.34159239517271,0.0254170488708343,10.57449836,50.37342267,0.00029212464058419804,0.0001737116861392095
0.0005,2.51671144323574,-0.0577850839793272,2.34126353312316,0.030514412572739,10.78123144,50.3396032,0.0002865691680747962,0.00017603776919092052
0.001,2.51687587427346,-0.056798497392869,2.34208568824711,0.030514412572739,10.73311253,50.63033195,0.00028104667845029157,0.000178465423489954
0.0015,2.51654701219802,-0.0641978968097444,2.34142796414793,0.0206485473259513,10.68024114,50.40249554,0.0002754757300133281,0.00018073138644234714
0.002,2.51671144323574,-0.0633757413168767,2.34225011927193,0.0354473451693563,10.54123096,50.63923181,0.00026995569666319854,0.00018313134772494867
0.0025,2.51687587427346,-0.0635401724154081,2.34159239517271,0.0216351338538532,10.64043908,50.30103715,0.00026443813991754747,0.0001853690500146989
0.003,2.51621815012264,-0.0697885541752313,2.34109910209841,0.0247593245208111,10.65885496,50.00615513,0.00025884161761753643,0.0001876081789151943
0.0035,2.51621815012264,-0.0688019675795478,2.34159239517271,0.0259103421331428,10.52934975,50.46479456,0.0002533145387093619,0.00018993014970746278
0.004,2.51605371908496,-0.0747214871650788,2.34126353312316,0.0150578903209315,10.99568732,50.38291585,0.00024777522377138043,0.00019215375940770057
0.0045,2.51621815012264,-0.0719261584684914,2.34208568824711,0.0333097410463409,10.6552906,50.37401599,0.00024227376931528142,0.00019447617483765034
0.005,2.51621815012264,-0.0697885541752313,2.34159239517271,0.0191686675327521,10.76459775,50.458268,0.00023676172675363768,0.00019665066129942384
0.0055,2.5158892880473,-0.0755436426652414,2.34109910209841,0.0209774095019983,10.68736987,50.29273061,0.00023122341284889794,0.0001988081525235162
0.006,2.5158892880473,-0.0737349005655837,2.3417568261975,0.0222928582053891,10.77053835,50.3817292,0.00022572518008991333,0.00020106308450262153
0.0065,2.51572485700965,-0.080147713475966,2.34109910209841,0.013578010521615,10.73073629,50.47666104,0.0002202183330101067,0.0002031684997236983
0.007,2.5158892880473,-0.0776812469681482,2.34208568824711,0.0298566882251773,10.54776563,50.6712713,0.00021475294638858406,0.00020542012487382831
0.0075,2.51621815012264,-0.0768590914666054,2.34126353312316,0.0148934592321987,10.91964756,50.30103715,0.00020931355122255304,0.00020747246805323313
0.008,2.5158892880473,-0.080147713475966,2.34077024004893,0.0180176499147015,10.68202332,50.46954115,0.00020381890083004547,0.00020953852091130817
0.0085,2.5158892880473,-0.0773523847674673,2.34159239517271,0.0217995649417671,10.76043932,50.17643911,0.00019836832485003807,0.00021171623492751188
0.009,2.5158892880473,-0.08047657567737,2.34109910209841,0.0083162156664449,11.02479629,50.26247109,0.00019292960297053743,0.00021374240130218045
0.0095,2.5158892880473,-0.0773523847674673,2.3419212572223,0.0262392043079159,10.65766684,50.4137687,0.0001875035126999957,0.0002158799930466829
0.01,2.51605371908496,-0.0732416072661224,2.34142796414793,0.0157156146756627,10.83232065,50.23755148,0.00018210732754155435,0.00021786580751456268
0.0105,2.51605371908496,-0.0762013670657535,2.34093467107366,0.0180176499147015,10.53350818,50.17406582,0.00017670904475973484,0.00021983081199850155
0.011,2.51638258116032,-0.0724194517674442,2.3417568261975,0.0236083069075049,10.83410284,50.52590693,0.00017135893064280203,0.0002219059775444029
0.0115,2.51605371908496,-0.0768590914666054,2.34109910209841,0.0150578903209315,10.6190529,50.17821908,0.00016595920042621092,0.0002238116110071409
0.012,2.51605371908496,-0.0747214871650788,2.34225011927193,0.0324875856135223,10.74321156,50.32595675,0.00016060914793604588,0.00022587647630749837
0.0125,2.51572485700965,-0.0740637627653306,2.34159239517271,0.0203196851498245,10.7170729,50.17406582,0.00015524351401546884,0.00022773884906797877
0.013,2.5158892880473,-0.075872504865455,2.34142796414793,0.0237727379951798,10.55192405,50.1983921,0.0001499450803460798,0.00022962849365648863
0.0135,2.51638258116032,-0.0694596919765856,2.34208568824711,0.029363394964298,10.77529084,50.35621627,0.0001446983152999335,0.00023157786304168947
0.014,2.51621815012264,-0.0727483139668519,2.34159239517271,0.0245948934332557,10.81449884,50.29391726,0.00013940564174943576,0.00023338956405477554
0.0145,2.51638258116032,-0.0692952608772944,2.34241455029676,0.0369272249448733,10.75271653,50.29391726,0.00013416656068506523,0.0002353101150909443
0.015,2.51621815012264,-0.0669932254894372,2.3419212572223,0.0259103421331428,10.63687472,50.19364551,0.00012891602064641922,0.0002370763642932076
0.0155,2.51605371908496,-0.0719261584684914,2.34126353312316,0.0252526177833583,10.68618175,50.2577245,0.0001236875072776984,0.00023880283162648852
0.016,2.51638258116032,-0.0692952608772944,2.34208568824711,0.0296922571382374,10.74499375,50.39478233,0.0001185310031537367,0.0002406533148388054
0.0165,2.51621815012264,-0.0727483139668519,2.34159239517271,0.0196619607973314,10.5406369,50.28679737,0.00011334867368750831,0.00024234818145058324
0.017,2.51654701219802,-0.0663355010936669,2.34241455029676,0.0375849492890345,10.58400333,50.37935591,0.00010823999675045906,0.000244150486497365
0.0175,2.51671144323574,-0.0618958614310416,2.3417568261975,0.0260747732205393,10.52875569,50.57277952,0.00010314013209829173,0.0002457806115369328
0.018,2.51671144323574,-0.0664999321925778,2.34142796414793,0.0252526177833583,10.55489436,50.32417678,9.80500084283511e-05,0.00024741888414880745
0.0185,2.51671144323574,-0.0651844834018811,2.34208568824711,0.0326520167001256,10.65053811,50.10108697,9.298681902062242e-05,0.000249130596013658
0.019,2.51621815012264,-0.0701174163739616,2.34159239517271,0.021141840589992,10.70103326,50.3544363,8.790174771534606e-05,0.00025070192284922855
0.0195,2.5158892880473,-0.0671576565884326,2.34241455029676,0.0382426736328802,10.5768746,50.05836764,8.28607835330483e-05,0.0002523794542708555
0.02,2.51654701219802,-0.065020052303139,2.34208568824711,0.0267324975699264,10.68677581,50.40012225,7.794664644660908e-05,0.00025391661197917765
0.0205,2.51621815012264,-0.0712684340701843,2.34142796414793,0.0249237556083468,10.7141026,50.2007654,7.296292795508632e-05,0.00025539521968305837
0.021,2.51621815012264,-0.0706107096722158,2.34208568824711,0.0328164477867091,10.77944926,50.16753925,6.804184165295394e-05,0.00025697914912612525
0.0215,2.51605371908496,-0.0770235225668715,2.34159239517271,0.0188398053562661,10.86142962,50.12956652,6.313454556632315e-05,0.00025842161207987463
0.022,2.51572485700965,-0.0752147804651127,2.34241455029676,0.0361050695142279,10.86202368,50.32833005,5.8241462046926016e-05,0.00025996923802886027
0.0225,2.51621815012264,-0.0722550206677721,2.3417568261975,0.0278835151805891,10.73073629,50.30400377,5.346178192256582e-05,0.0002613424853367598
0.023,2.51605371908496,-0.076530229266137,2.34126353312316,0.0190042364445191,10.4230129,49.89045696,4.86483346660848e-05,0.0002627052572374617
0.0235,2.51621815012264,-0.0729127450665876,2.34208568824711,0.0282123773548855,10.69331047,50.03166807,4.390053024755764e-05,0.00026417219382877385
0.024,2.5158892880473,-0.078174540269329,2.34142796414793,0.0167022012071592,10.52756757,50.03938128,3.913672153374764e-05,0.00026546377628233785
0.0245,2.51605371908496,-0.0770235225668715,2.34225011927193,0.0326520167001256,10.79073641,50.04353454,3.445606951679096e-05,0.00026687594283325653
0.025,2.51621815012264,-0.0768590914666054,2.34142796414793,0.0191686675327521,10.67667678,49.83765113,2.9809915235941815e-05,0.0002680961859713299
