time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,ppgA_Red_AGC,ppgA_IR_AGC
0.0,2.62507150008904,-0.0617314303327207,1.82297698616342,0.0347896208241688,10.0966404704971,62.1400143946988,-0.005617948958512386,0.006980550403642336
0.0005,2.62507150008904,-0.0523588577631452,1.82248369316029,0.0244304623456803,9.88337271764741,61.9810035720981,-0.005679915787029068,0.0021529944501508485
0.001,2.6245782069482,-0.0597582571545109,1.82231926215926,0.0280479462677472,10.1239672577703,62.1506942260675,-0.0107039811877365,0.0005903721440728275
0.0015,2.62474263799513,-0.0591005327624469,1.82248369316029,0.0273902219189956,9.73069914527314,62.1542541698571,-0.009179921868313916,0.002289654548610231
0.002,2.62441377590128,-0.0653489145006444,1.82215483115823,0.0190042364445191,9.99446204851896,62.2224864258238,-0.01261696133567795,-0.0009730807159179538
0.0025,2.6245782069482,-0.0617314303327207,1.82281255516237,0.0306788436595798,9.94277877693701,62.3209782040018,-0.011147370632152778,0.0055993222023754076
0.003,2.62507150008904,-0.0582783772728396,1.82248369316029,0.0224572892932233,9.87921429349714,62.385650516179,-0.006412684977393908,0.002274310181375313
0.0035,2.6245782069482,-0.0614025681361421,1.82215483115823,0.0250881866958625,10.2701061636227,62.3577642898274,-0.01156373559311746,-0.0010822458413240342
0.004,2.62490706904208,-0.0566340662951994,1.82264812416133,0.0270613597445007,10.1560465297867,62.2349462290873,-0.008508633951334974,0.0037520793825310777
0.0045,2.62474263799513,-0.0618958614310416,1.82231926215926,0.0196619607973314,9.99683829089055,62.2652057512986,-0.010396650110143636,0.00033592248013178855
0.005,2.62490706904208,-0.0561407730023165,1.82314141716447,0.0331453099598168,9.97307586717471,62.3168249362473,-0.009000380970124202,0.008403575399628042
0.0055,2.62523593113602,-0.0526877199574161,1.82248369316029,0.0306788436595798,10.0479275018796,62.3203848800369,-0.005957773349201587,0.0016494350434206545
0.006,2.6245782069482,-0.0531810132489794,1.82231926215926,0.0259103421331428,10.0847592586392,62.5185550843228,-0.012772266497887637,-0.00019070849682577612
0.0065,2.62523593113602,-0.0495635291152187,1.82281255516237,0.0321587234402564,9.86555089986053,62.4805823505674,-0.006416567208128046,0.004532144351944373
0.007,2.62523593113602,-0.0513722711808343,1.82248369316029,0.0264036353952726,9.82277853717202,62.5636477056574,-0.00661541137051045,0.001024400559293019
0.0075,2.62523593113602,-0.0508789778899612,1.82330584816552,0.0426823129455973,10.1002048340545,62.6793458788183,-0.006784701447929626,0.009023356631803625
0.008,2.62523593113602,-0.0493990980184698,1.82314141716447,0.0334741721328453,10.1667396204588,62.5956871997635,-0.006917896460276758,0.007158797076311307
0.0085,2.62507150008904,-0.053674306540731,1.82264812416133,0.0357762073418316,10.0485215624725,62.566614325482,-0.008653260046869846,0.0020138645226077194
0.009,2.62540036218301,-0.051043408986898,1.82347027916658,0.0415312953473813,10.0152541692703,62.6556129202212,-0.005408171376279016,0.010037493963728633
0.0095,2.62507150008904,-0.0553186175145975,1.82297698616342,0.0344607586514565,10.0508978048441,62.7962306999091,-0.008688256050388666,0.004926335578710257
0.01,2.62507150008904,-0.0513722711808343,1.82379914116871,0.0467930900742284,9.93446192863647,62.6544262722914,-0.008624083409550908,0.012994581526055463
0.0105,2.62507150008904,-0.0492346669217419,1.82314141716447,0.0390648290622439,10.0776305315244,62.6645127796951,-0.008501815963428331,0.006293668666879716
0.011,2.62540036218301,-0.0502212535024228,1.82281255516237,0.0433400372870027,10.2273338009342,62.9148954928948,-0.005031590450263958,0.0029150539007927185
0.0115,2.62556479323002,-0.0438084407414172,1.82347027916658,0.0449843481391416,9.89406580831954,62.6544262722914,-0.003146392513911701,0.009439243573586803
0.012,2.62523593113602,-0.0479192181486696,1.82330584816552,0.0375849492890345,10.0906998645681,62.7778376569964,-0.006136245267461636,0.007781211710101289
0.0125,2.62540036218301,-0.0421641297821587,1.82396357216978,0.0558367997141546,10.0360462900217,62.7101987249946,-0.00413805615047716,0.014385480243893805
0.013,2.62572922427704,-0.0405198188249782,1.82330584816552,0.0407091399194941,9.8560459303742,62.8152170667868,-0.00044457193044799095,0.007876422404455706
0.0135,2.62556479323002,-0.0443017340296003,1.82297698616342,0.0397225534053803,10.1007988946473,62.8709895194901,-0.0016384700534508676,0.0046964929241377264
0.014,2.62556479323002,-0.0434795785493992,1.82347027916658,0.0441621927133176,10.1471356208932,62.8205569824712,-0.0011491749819408116,0.00977692449178997
0.0145,2.62507150008904,-0.049892391308779,1.82314141716447,0.0334741721328453,9.92555101974303,63.0044874115989,-0.005561714663549912,0.006671892007838847
0.015,2.62523593113602,-0.0507145467930452,1.82363471016764,0.0484374009222497,10.0978285916829,62.8739561393147,-0.0033746803344368963,0.01182079454584418
0.0155,2.62507150008904,-0.0517011333748543,1.82314141716447,0.0379138114609968,9.96832338243154,63.0620398361969,-0.004463509018039018,0.007131622868605747
0.016,2.62507150008904,-0.0586072394686195,1.82281255516237,0.0418601575183984,10.0330759870572,63.0976392740926,-0.003905460361315968,0.00410915245360966
0.0165,2.62507150008904,-0.0584428083707191,1.82330584816552,0.0392292601480575,10.0330759870572,63.0839928228992,-0.003355440021561114,0.009324558208736452
0.017,2.62441377590128,-0.066828794390463,1.82281255516237,0.0296922571382374,10.0604027743304,62.8644629558759,-0.009401461325422706,0.004683838653488903
0.0175,2.62424934485437,-0.0697885541752313,1.82330584816552,0.041038002090708,9.92020447440696,63.0994192459873,-0.010544060907428396,0.009911756491319323
