Depth,State,Channel,PI_Ratio,SNR_dB,Skewness,Kurtosis,CV,DC_Level
3,Normal,Red,0.0035070480008445844,7.199070862489676,-0.07293330418806185,-0.6033177061976489,0.0005724431495845157,2.6256095239564567
3,Normal,IR,0.004330983375871475,10.351958058654208,-0.08945551632888203,-1.1935589970951594,0.000990086903131398,1.8223778215200024
3,Ischaemia,Red,0.002244475061357265,2.3980036472289217,-0.07352828534783634,-0.4545353036476443,0.0003437148944807376,2.6373729128761254
3,Ischaemia,IR,0.0038629392450191652,6.79758841341095,-0.10672758636757601,-0.8025328249304264,0.0007219910647482473,1.8303505710287296
3,Congestion,Red,0.004252468343019375,6.672838102093889,-0.15099446985732953,-0.6631110722494507,0.0008174734571112108,2.5907023997638405
3,Congestion,IR,0.003814341240700466,7.281246942035905,-0.03539648517903872,-0.8671493288712537,0.0007334532860340271,1.7674535565548863
9,Normal,Red,0.0017060633028270404,-0.3019805596123717,0.0332494875562641,-0.2118888904120615,0.00024538783731243083,2.5058900176305334
9,Normal,IR,0.0020782596861055615,5.480907442145696,-0.05453247746060379,-0.8704845112147916,0.00040648323160796796,2.4527069615406165
9,Ischaemia,Red,0.0014423233952994361,-4.007933353222911,-0.08693664475684662,-0.09113850040644467,0.00019319616190018024,2.50809411134124
9,Ischaemia,IR,0.0016059189949148187,1.013637378739391,-0.001927501502601178,-0.5911184094890287,0.000280229037294149,2.4573747529335455
9,Congestion,Red,0.0017734420340491262,-0.18272675720020592,-0.19773015576882252,-0.2920224815587096,0.0002521891540999598,2.5034018111454333
9,Congestion,IR,0.0022157618618736732,4.980705977014057,-0.027821179651645083,-0.7380913573596848,0.0003974124312876013,2.4489202081542
15,Normal,Red,0.0015702401309250838,-2.874421584318116,-0.11794510318262796,-0.15771810447682633,0.00021197974997910998,2.5132110818966193
15,Normal,IR,0.0016177876280704855,-0.3717038027500631,-0.018199407099667327,-0.41217315335239446,0.00026074443099408773,2.3377070627127794
15,Ischaemia,Red,0.0015027220648090788,-5.9760063944100486,-0.11733341021129791,-0.20862519628632237,0.0001947388156323598,2.516708815079709
15,Ischaemia,IR,0.001263637629773267,-5.963412538513141,0.025819414091323822,-0.3756439047271125,0.0002132869229618778,2.342252539148564
15,Congestion,Red,0.0015769426706445872,-4.3966776290212835,0.07317798956214092,-0.3682278225286857,0.00023826136064267474,2.5025290717049864
15,Congestion,IR,0.001694609007398402,-2.100540860753093,-0.011428126993145101,-0.3543117824676125,0.000269820719245362,2.3287640731230512
21,Normal,Red,0.0018117097295943093,-5.164106997310527,-0.08006727892254442,0.08363078128747592,0.00019915650926015504,1.9059626464351997
21,Normal,IR,0.0015589758047681306,-5.669911043046484,0.15640123992909977,-0.2501750789817003,0.00023442888451859404,2.4258963447623434
21,Ischaemia,Red,0.0017246107423792756,-6.3126144847307355,0.08078509950358721,-0.15922262119773967,0.0002337016883923948,1.9068767156425683
21,Ischaemia,IR,0.0018267639372728077,-8.805382883911863,0.23007892423525314,-0.5771299928909244,0.00031411385372893784,2.430329254626074
21,Congestion,Red,0.0019001440029984857,-5.20519081690142,-0.059052046398665875,-0.14277124111345962,0.0002302293027145395,1.9037936425510775
21,Congestion,IR,0.0013580745356216659,-5.8330384846620875,0.004236254828117304,-0.34654210190478674,0.00021689406718384814,2.421531750519545
