Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,21,AUC_Ratio,Normal vs Congestion,0.45434250523924596,0.35390007062146894,0.5567361754023645,124
Red,21,AUC_Ratio,Ischaemia vs Congestion,0.5595377343452251,0.4523362530512388,0.661193031327267,130
IR,3,Amp_norm,Normal vs Ischaemia,0.9677634211002456,0.9100439882697947,1.0,128
IR,3,Amp_norm,Normal vs Congestion,0.968362536690066,0.9252226769378911,1.0,130
IR,3,Amp_norm,Ischaemia vs Congestion,0.7045383321229862,0.6097482223851582,0.7926341722125643,130
IR,3,Pulse_Area_norm,Normal vs Ischaemia,0.9726814951070896,0.90625,1.0,64
IR,3,Pulse_Area_norm,Normal vs Congestion,0.9644666278930748,0.9051976102941176,1.0,66
IR,3,Pulse_Area_norm,Ischaemia vs Congestion,0.3619711889641741,0.22960648148148147,0.5105990783410138,66
IR,3,S_AUC_norm,Normal vs Ischaemia,0.9726814951070896,0.90625,1.0,64
IR,3,S_AUC_norm,Normal vs Congestion,0.9719211495387526,0.9114705882352941,1.0,66
IR,3,S_AUC_norm,Ischaemia vs Congestion,0.12703042463270273,0.03146331676504092,0.24315371762740193,66
IR,3,D_AUC_norm,Normal vs Ischaemia,0.95300940999201,0.8910909231085528,1.0,64
IR,3,D_AUC_norm,Normal vs Congestion,0.9545812214071276,0.8930751834784094,1.0,66
IR,3,D_AUC_norm,Ischaemia vs Congestion,0.5441656872355913,0.4058099147662545,0.6918634792626729,66
IR,3,AUC_Ratio,Normal vs Ischaemia,0.8781752620525137,0.7722627145551109,0.9734133887582164,64
IR,3,AUC_Ratio,Normal vs Congestion,0.19209909104407366,0.09016278575735975,0.31205425466789105,66
IR,3,AUC_Ratio,Ischaemia vs Congestion,0.06271818500264371,0.0018518518518518513,0.15934487336601308,66
IR,9,Amp_norm,Normal vs Ischaemia,0.9839680241613031,0.9454292929292928,1.0,136
IR,9,Amp_norm,Normal vs Congestion,0.9594899996810308,0.9170532037045023,0.9947974968905472,130
IR,9,Amp_norm,Ischaemia vs Congestion,0.0,0.0,0.0,136
IR,9,Pulse_Area_norm,Normal vs Ischaemia,0.9727181865168736,0.9090909090909092,1.0,72
IR,9,Pulse_Area_norm,Normal vs Congestion,0.9152847787274783,0.8384387593635243,0.9935488318311195,66
IR,9,Pulse_Area_norm,Ischaemia vs Congestion,0.0,0.0,0.0,72
IR,9,S_AUC_norm,Normal vs Ischaemia,0.9727181865168736,0.9090909090909091,1.0,72
IR,9,S_AUC_norm,Normal vs Congestion,0.8684504900732781,0.7902763572534277,0.9529712301587302,66
IR,9,S_AUC_norm,Ischaemia vs Congestion,0.0,0.0,0.0,72
IR,9,D_AUC_norm,Normal vs Ischaemia,0.9727181865168736,0.9090909090909092,1.0,72
IR,9,D_AUC_norm,Normal vs Congestion,0.9074381728239572,0.825465844028894,0.9834802156749797,66
IR,9,D_AUC_norm,Ischaemia vs Congestion,0.0,0.0,0.0,72
IR,9,AUC_Ratio,Normal vs Ischaemia,0.7145968713946678,0.5878789650717278,0.8461747491638796,72
IR,9,AUC_Ratio,Normal vs Congestion,0.5026531486863022,0.37123756504438327,0.6377900091488208,66
IR,9,AUC_Ratio,Ischaemia vs Congestion,0.2787221710509579,0.16125347748175872,0.42702702702702705,72
IR,15,Amp_norm,Normal vs Ischaemia,1.0,0.9999999999999999,1.0,149
IR,15,Amp_norm,Normal vs Congestion,0.9948054460375227,0.9864834645741896,1.0,132
IR,15,Amp_norm,Ischaemia vs Congestion,0.012089986941013481,0.0026568656915781715,0.026297577854671288,153
IR,15,Pulse_Area_norm,Normal vs Ischaemia,0.9889152892988272,0.9694500964320155,1.0,86
IR,15,Pulse_Area_norm,Normal vs Congestion,0.9336140498990574,0.846601113707515,1.0,68
IR,15,Pulse_Area_norm,Ischaemia vs Congestion,0.12536792079218156,0.03802669753086422,0.23091517857142863,90
IR,15,S_AUC_norm,Normal vs Ischaemia,1.0,0.9999999999999999,1.0,86
IR,15,S_AUC_norm,Normal vs Congestion,0.8926477719941761,0.7929990454599689,0.9653449675324676,68
IR,15,S_AUC_norm,Ischaemia vs Congestion,0.07205479628999172,0.0,0.16753109562477167,90
IR,15,D_AUC_norm,Normal vs Ischaemia,0.9674813657803085,0.9195735581622678,1.0,86
IR,15,D_AUC_norm,Normal vs Congestion,0.9345186477369115,0.8492612606539941,1.0,68
IR,15,D_AUC_norm,Ischaemia vs Congestion,0.14202530512221614,0.04805812757201646,0.24828099343185556,90
IR,15,AUC_Ratio,Normal vs Ischaemia,0.6045517840724531,0.4820394323418517,0.7127488817139206,86
IR,15,AUC_Ratio,Normal vs Congestion,0.47047228103675365,0.30957794572937536,0.6207783423022578,68
IR,15,AUC_Ratio,Ischaemia vs Congestion,0.3586317765415998,0.2286404590326159,0.46163584222794757,90
IR,21,Amp_norm,Normal vs Ischaemia,0.9635317095556789,0.925767916539956,0.9935926724842306,184
IR,21,Amp_norm,Normal vs Congestion,0.6306202855688369,0.53344048233963,0.7092478851255176,176
IR,21,Amp_norm,Ischaemia vs Congestion,0.03039078946614897,0.004060347972235866,0.06970956116811146,188
