Feature,AUC,CI_Lower,CI_Upper
Combined_PI_Ratio,1.0,0.9999999999999999,1.0
Combined_Amp_Ratio,1.0,0.9999999999999999,1.0
Combined_Delta_A_Ratio,1.0,0.9999999999999999,1.0
IR_D_AUC,1.0,1.0,1.0
IR_AUC,1.0,1.0,1.0
IR_Amplitude,1.0,1.0,1.0
IR_PI,1.0,1.0,1.0
IR_Downslope,0.9881720430107527,0.9601293103448276,1.0
IR_Decay_Time,0.9876344086021506,0.9637362637362638,1.0
IR_e_a,0.9870967741935484,0.9622844827586208,1.0
IR_d_a,0.975268817204301,0.9313725490196079,1.0
IR_Skewness,0.956989247311828,0.8944444444444444,0.9967741935483871
IR_Rise_Decay_Ratio,0.9516129032258065,0.887912087912088,0.9945887445887446
IR_Variance,0.9365591397849462,0.8529411764705881,1.0
IR_Crest_Time,0.8967741935483872,0.7717864923747275,0.9729437229437229
IR_Kurtosis,0.896774193548387,0.7694805194805195,0.991111111111111
IR_c_a,0.8516129032258064,0.7522222222222221,0.9393592677345538
IR_S_AUC,0.8397849462365592,0.7080610021786492,0.9637362637362638
IR_Upslope,0.8193548387096774,0.7058189655172413,0.9213362068965517
IR_PW50,0.803763440860215,0.6766666666666667,0.9098901098901099
IR_Pulse_Width,0.7956989247311828,0.6747835497835498,0.8906926406926406
Red_Amplitude,0.7365591397849462,0.6148648648648649,0.8466666666666667
Red_AUC,0.7032258064516129,0.5743707093821511,0.8362637362637362
Red_PI,0.6924731182795699,0.5443722943722944,0.8064516129032258
IR_AUC_Ratio,0.6924731182795699,0.5413943355119826,0.8246187363834423
Red_S_AUC,0.6053763440860216,0.5054112554112554,0.740301724137931
Red_Skewness,0.5956989247311828,0.5075268817204301,0.7285714285714286
Red_D_AUC,0.5827956989247312,0.5054945054945055,0.7219827586206897
IR_b_a,0.5817204301075269,0.5032967032967033,0.7215053763440861
Red_e_a,0.578494623655914,0.5043103448275862,0.7200000000000001
Red_Downslope,0.5655913978494623,0.5043010752688172,0.7184684684684685
Red_Crest_Time,0.55,0.5037878787878788,0.7004357298474946
Red_c_a,0.5483870967741935,0.5032467532467532,0.6818181818181819
Red_Variance,0.5440860215053763,0.5033783783783784,0.6911111111111111
Red_Pulse_Width,0.539247311827957,0.5021505376344086,0.6951612903225807
Red_AUC_Ratio,0.5322580645161291,0.5043103448275862,0.6788793103448276
Red_d_a,0.532258064516129,0.5032967032967033,0.685064935064935
Red_Decay_Time,0.5295698924731183,0.5027056277056278,0.6682900432900433
Red_Rise_Decay_Ratio,0.5279569892473119,0.5032679738562091,0.6753812636165577
Red_Upslope,0.5193548387096774,0.5032258064516129,0.6884531590413944
Red_b_a,0.5150537634408603,0.5021551724137931,0.6601731601731601
Red_PW50,0.5037634408602151,0.5043103448275862,0.6653846153846155
Red_Kurtosis,0.5032258064516129,0.5032327586206897,0.6605603448275862
