Depth,State,Channel,Segment_Index,Start_Time_s,End_Time_s,SSQI,Quality_Label
15,Normal,IR,4,20.0000000000,30.0000000000,-0.1303020883,Questionable
15,Ischaemia,Red,0,0.0000000000,10.0000000000,-0.3809150035,Questionable
15,Ischaemia,Red,1,5.0000000000,15.0000000000,0.1097038369,Excellent/Acceptable
15,Ischaemia,Red,2,10.0000000000,20.0000000000,0.0867013872,Excellent/Acceptable
15,Ischaemia,Red,3,15.0000000000,25.0000000000,-0.0873146328,Questionable
15,Ischaemia,Red,4,20.0000000000,30.0000000000,-0.1326092393,Questionable
15,Ischaemia,IR,0,0.0000000000,10.0000000000,-0.0674385626,Questionable
15,Ischaemia,IR,1,5.0000000000,15.0000000000,-0.0744923139,Questionable
15,Ischaemia,IR,2,10.0000000000,20.0000000000,-0.1054824375,Questionable
15,Ischaemia,IR,3,15.0000000000,25.0000000000,-0.1318980339,Questionable
15,Ischaemia,IR,4,20.0000000000,30.0000000000,-0.1580300188,Questionable
15,Congestion,Red,0,0.0000000000,10.0000000000,0.0283783867,Excellent/Acceptable
15,Congestion,Red,1,5.0000000000,15.0000000000,0.0306279823,Excellent/Acceptable
15,Congestion,Red,2,10.0000000000,20.0000000000,0.1878889696,Excellent/Acceptable
15,Congestion,Red,3,15.0000000000,25.0000000000,-0.1430619462,Questionable
15,Congestion,Red,4,20.0000000000,30.0000000000,-0.1084845079,Questionable
15,Congestion,IR,0,0.0000000000,10.0000000000,-0.0853511368,Questionable
15,Congestion,IR,1,5.0000000000,15.0000000000,-0.1612571329,Questionable
15,Congestion,IR,2,10.0000000000,20.0000000000,-0.1363612266,Questionable
15,Congestion,IR,3,15.0000000000,25.0000000000,-0.0952478190,Questionable
15,Congestion,IR,4,20.0000000000,30.0000000000,-0.1073593432,Questionable
21,Normal,Red,0,0.0000000000,10.0000000000,-0.0645864607,Questionable
21,Normal,Red,1,5.0000000000,15.0000000000,-0.2350233194,Questionable
21,Normal,Red,2,10.0000000000,20.0000000000,-0.2544398260,Questionable
21,Normal,Red,3,15.0000000000,25.0000000000,0.0168167076,Excellent/Acceptable
21,Normal,Red,4,20.0000000000,30.0000000000,0.1375729423,Excellent/Acceptable
21,Normal,IR,0,0.0000000000,10.0000000000,-0.0934741393,Questionable
21,Normal,IR,1,5.0000000000,15.0000000000,-0.1320651993,Questionable
21,Normal,IR,2,10.0000000000,20.0000000000,-0.1732440284,Questionable
21,Normal,IR,3,15.0000000000,25.0000000000,-0.2373850129,Questionable
21,Normal,IR,4,20.0000000000,30.0000000000,-0.1099848791,Questionable
21,Ischaemia,Red,0,0.0000000000,10.0000000000,0.1505996791,Excellent/Acceptable
21,Ischaemia,Red,1,5.0000000000,15.0000000000,-0.0874646091,Questionable
21,Ischaemia,Red,2,10.0000000000,20.0000000000,-0.1064876313,Questionable
21,Ischaemia,Red,3,15.0000000000,25.0000000000,-0.0609740322,Questionable
21,Ischaemia,Red,4,20.0000000000,30.0000000000,-0.2491639144,Questionable
21,Ischaemia,IR,0,0.0000000000,10.0000000000,-0.1898106443,Questionable
21,Ischaemia,IR,1,5.0000000000,15.0000000000,-0.1298856126,Questionable
21,Ischaemia,IR,2,10.0000000000,20.0000000000,-0.0602537859,Questionable
21,Ischaemia,IR,3,15.0000000000,25.0000000000,-0.1727202193,Questionable
21,Ischaemia,IR,4,20.0000000000,30.0000000000,-0.2710673294,Questionable
21,Congestion,Red,0,0.0000000000,10.0000000000,-0.0544877184,Questionable
21,Congestion,Red,1,5.0000000000,15.0000000000,0.1826283739,Excellent/Acceptable
21,Congestion,Red,2,10.0000000000,20.0000000000,0.1700643382,Excellent/Acceptable
21,Congestion,Red,3,15.0000000000,25.0000000000,-0.0666686710,Questionable
21,Congestion,Red,4,20.0000000000,30.0000000000,-0.2200240949,Questionable
21,Congestion,IR,0,0.0000000000,10.0000000000,-0.3956311468,Questionable
21,Congestion,IR,1,5.0000000000,15.0000000000,-0.1516509078,Questionable
21,Congestion,IR,2,10.0000000000,20.0000000000,-0.0455179948,Questionable
21,Congestion,IR,3,15.0000000000,25.0000000000,-0.0440664878,Questionable
21,Congestion,IR,4,20.0000000000,30.0000000000,-0.1195183863,Questionable
