Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,9,PulseWidth_norm_bpm,Normal vs Ischaemia,0.4770040053835816,0.37599850690805414,0.5835659815561529,116
Red,9,PulseWidth_norm_bpm,Normal vs Congestion,0.48529290974270495,0.38148182532314495,0.5803920372477789,122
Red,9,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.5008092630201219,0.4117678660669665,0.5833988927738928,118
Red,9,SystolicWidth_norm_bpm,Normal vs Ischaemia,0.43950734384676565,0.34417897865668007,0.549925066902395,116
Red,9,SystolicWidth_norm_bpm,Normal vs Congestion,0.5326247798001547,0.4396385116015847,0.6255147146861619,122
Red,9,SystolicWidth_norm_bpm,Ischaemia vs Congestion,0.5842400235407041,0.49042195367170166,0.6680053017185924,118
Red,9,DiastolicWidth_norm_bpm,Normal vs Ischaemia,0.47255047751160456,0.3758836172917099,0.5675851211311811,116
Red,9,DiastolicWidth_norm_bpm,Normal vs Congestion,0.43596528716147936,0.3149139470113547,0.5363579041015482,122
Red,9,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.45738322149781835,0.34487086264430017,0.5693809262510975,118
Red,9,RiseFall_ratio,Normal vs Ischaemia,0.5718801419911411,0.4732117293927499,0.6694597676269437,116
Red,9,RiseFall_ratio,Normal vs Congestion,0.4805823738156729,0.372980190589468,0.5804925805740438,122
Red,9,RiseFall_ratio,Ischaemia vs Congestion,0.4249726802363536,0.32176254627725215,0.5457966743643101,118
Red,9,Width_Ratio,Normal vs Ischaemia,0.5167847486141713,0.40255752060439565,0.6065178511047349,116
Red,9,Width_Ratio,Normal vs Congestion,0.4374463504744381,0.3336802450444356,0.5448924731182796,122
Red,9,Width_Ratio,Ischaemia vs Congestion,0.4294970119619791,0.3248059335674568,0.5392107132123537,118
Red,15,RiseTime,Normal vs Ischaemia,0.4948287697191654,0.4020375704045059,0.6078296977758495,132
Red,15,RiseTime,Normal vs Congestion,0.495691646780368,0.3937924836551819,0.6051644568509726,130
Red,15,RiseTime,Ischaemia vs Congestion,0.5111190399743291,0.4016618494558536,0.6108453054679709,132
Red,15,FallTime,Normal vs Ischaemia,0.5467175487502829,0.45880492293535763,0.6435676439813887,132
Red,15,FallTime,Normal vs Congestion,0.563677118558195,0.46486969486409985,0.6606095320528865,130
Red,15,FallTime,Ischaemia vs Congestion,0.5040161579671202,0.3964527803308824,0.5933581112132352,132
Red,15,PulseWidth,Normal vs Ischaemia,0.44188879523351643,0.3530182093972855,0.5460806859713913,132
Red,15,PulseWidth,Normal vs Congestion,0.5088825094660995,0.4067564716235425,0.6028519877708357,130
Red,15,PulseWidth,Ischaemia vs Congestion,0.560814474628023,0.44402958495665057,0.6558525590120035,132
Red,15,SystolicWidth,Normal vs Ischaemia,0.4761781716695485,0.37912390081429037,0.5892790645847711,132
Red,15,SystolicWidth,Normal vs Congestion,0.49960402972763374,0.39415990320178707,0.6101462415309399,130
Red,15,SystolicWidth,Ischaemia vs Congestion,0.5293120386693694,0.4225956843276495,0.6243438188739732,132
Red,15,DiastolicWidth,Normal vs Ischaemia,0.484782995501929,0.39024025895866293,0.5774494622728319,132
