Depth,Channel,Chi-Squared,df,p-Value
3mm,Red,37.39664773968116,2,7.57567129374943e-09
3mm,IR,49.25547410388473,2,2.0151607542329307e-11
9mm,Red,23.93748887889238,2,6.339285839662948e-06
9mm,IR,47.42171910713866,2,5.040858825065122e-11
15mm,Red,1.9152257223490545,2,0.3838079962623109
15mm,IR,42.994948228297055,2,4.610686751138875e-10
21mm,Red,16.45810679172732,2,0.00026678875409919965
21mm,IR,40.41586590958727,2,1.674195718923652e-09
