State,Channel,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,p1_mmhg,p2_mmhg
Normal,Red,1,0.0029840651557313,3.0440059908382633,0.6130035760086252,2.431002414829638,0.252160825620399,0.8858745785834952,0.1333935463798349,6.64106025085343,0.0029844735445461,10.079157150765678,65.432008428184
Normal,Red,2,0.0026987628720026,2.7453564107957327,1.0502499982248563,1.695106412570876,0.6195776208716001,0.6765571552461943,0.1139178799485399,5.93899004749575,0.0025329705306288,10.093227534149653,64.80560002094343
Normal,Red,3,0.0028527182866955,2.9149788632116116,0.5714458384702087,2.3435330247414026,0.2438394647898187,0.782648334495148,0.1590905903316481,4.919513673710058,0.0028527182866955,10.111139276402753,60.708723172130576
Normal,Red,4,0.0029615609267655,2.961060251089998,0.5353847540625131,2.425675497027485,0.2207157365932062,0.8920939190704441,0.2146638257234456,4.155772012652662,0.0029615672781674,10.140412019806345,64.95352499244257
Normal,Red,5,0.003108475072498,3.0837130187135227,0.596563491069218,2.4871495276443043,0.2398583134783421,0.8774097144392072,0.2390202173791559,3.67085982959918,0.0031085014568609,10.165649810477012,65.5991333631882
Normal,Red,6,0.0030966993709628,3.160844724558909,0.5918802688866542,2.568964455672254,0.2303964414843448,0.9124955278516916,0.19808834171265,4.6065079850856225,0.0030966993709628,10.18469818866452,60.20433451405217
Normal,Red,7,0.0028686069873058,3.2239690028368204,0.6597661598720332,2.564202842964787,0.2572987397163936,0.8204095986010338,0.2576801929170287,3.1838287192884867,0.0028692441219301,10.208871795496618,64.54997721009121
Normal,Red,8,0.0034106871815888,3.4112973281445886,0.6764696584352016,2.734827669709387,0.2473536690913639,0.9083186625680542,0.2838902777801104,3.1995412793656848,0.0034106871815888,10.223422785548495,66.34339382592047
Normal,Red,9,0.0032929626731589,3.109182185889819,0.6604659179248052,2.448716267965014,0.2697192510889308,0.8590661920745076,0.2655998247754892,3.2344380979945067,0.0032930752508408,10.234061129460102,59.956130114170065
Normal,Red,10,0.002960708583739,3.017866020662167,0.6212589868849911,2.396607033777175,0.2592243860295508,0.565101449636101,0.2529401536547443,2.2341310443238176,0.0029462808853294,10.244047870439028,64.03290514705117
Normal,Red,11,0.0031034790493882,3.6266978322796017,0.6642251643765644,2.962472667903037,0.2242130945453518,0.7603222367794398,0.4177436063519733,1.820069117081409,0.0031038812320039,10.268079834588587,66.83872905832226
Normal,Red,12,0.0032777758158423,3.5766852617638634,1.1226513250554435,2.454033936708419,0.4574718011280843,0.9947144417041442,0.2702056539048738,3.681323567175743,0.003282646224288,10.275995284300283,59.739077781883395
Normal,Red,13,0.0029011366949744,3.2818801440599374,1.1485981970122023,2.1332819470477347,0.538418373905876,0.8466967088917976,0.2582108589061808,3.279090246159784,0.0028603495543016,10.282705373420749,63.56367849586687
Normal,Red,14,0.0033301577335016,3.5347603626525377,0.6094593342067454,2.9253010284457925,0.2083407240076588,0.9482317601712168,0.366709323683424,2.5857857952633196,0.0033302025690066,10.305030869396594,67.07129529989737
Normal,Red,15,0.0036294540631632,3.5520795525702855,0.7262041784645435,2.8258753741057427,0.2569837952228708,1.0000081548504896,0.3126401924532729,3.1985911568294294,0.0036295143304068,10.305740247633993,60.25569822068189
Normal,Red,16,0.0032565269753942,3.308472307763652,0.6705509664732656,2.6379213412903857,0.2541967252690157,0.8705092836735286,0.2666698028809531,3.2643714221446434,0.0032565323603002,10.320694965924101,62.812407735981935
Normal,Red,17,0.0030571182548155,3.4254910899045368,0.5855831458785881,2.8399079440259487,0.2061979322641162,0.8809378347444018,0.3348158581040774,2.631111440577473,0.0030572401605324,10.336851084401488,66.86433273247938
Normal,Red,18,0.0030897387327101,3.2301014046546044,0.820648040147369,2.409453364507235,0.3405951126658151,0.8453607551070919,0.2131417151462551,3.966191012993472,0.0030904967221079,10.344886744021393,60.81688962107791
Normal,Red,19,0.0031291123320869,3.1408108440990317,0.5857136684865817,2.55509717561245,0.2292334217567234,0.8305640783462762,0.2651477624941993,3.1324574287684084,0.0031291325244803,10.343647603514095,62.45941906642863
Normal,Red,20,0.0030273034008746,3.1261803785937867,1.344375881503559,1.7818044970902274,0.7545024629239568,0.871671106882613,0.2521788073837943,3.456559716201707,0.0028846558464645,10.357806047644782,66.62785311217245
Normal,Red,21,0.0029548761225316,3.0920820022784845,0.5417096832470005,2.550372319031484,0.2124041573085758,0.8575002893780805,0.2609185721840856,3.28646704678841,0.002954881697215,10.375931884676262,61.6917290546876
Normal,Red,22,0.0028380144762643,3.042057222950329,0.5738538524946452,2.4682033704556843,0.2324986098648342,0.822940924876065,0.1964235062778314,4.189625470344955,0.0028380144762643,10.375369041385111,61.98025202840916
Normal,Red,23,0.0028506571519014,2.9702570494354106,0.5515402236347292,2.4187168258006815,0.2280300933748826,0.7671428715857386,0.2125320730636159,3.6095393063620778,0.0028506623228594,10.387560562540967,66.23829474553376
Normal,Red,24,0.0029376409612184,3.259410430230675,0.6964649990270386,2.5629454312036364,0.2717439827425267,0.8372977243180925,0.2951352031323478,2.836997130236009,0.0029379257737058,10.390283922670752,62.40981439084787
Normal,IR,1,0.0047822671550852,4.84549017172807,0.9532128085502316,3.892277363177839,0.2448984796324955,1.3758524983233815,0.3349110012272622,4.108113777336811,0.0047822898464688,10.079157150765678,65.432008428184
Normal,IR,2,0.0047360195608193,4.761633800773032,0.9274889936415788,3.834144807131454,0.2419024424733417,1.336989050642291,0.332479535754176,4.021267196519473,0.0047360195608193,10.093227534149653,64.80560002094343
Normal,IR,3,0.0047365586381749,4.783518484518705,0.9524428524700445,3.8310756320486608,0.2486097754120106,1.3347435025503536,0.348430244467378,3.830733765924042,0.0047365586381749,10.111139276402753,60.708723172130576
Normal,IR,4,0.0047464132338076,4.742834634617278,0.9485269475943244,3.794307687022953,0.2499868291752972,1.3409335418487434,0.3275822416921969,4.093425623201859,0.0047464132338076,10.140412019806345,64.95352499244257
Normal,IR,5,0.0046256934588011,4.770352082255806,0.9172046218303562,3.8531474604254496,0.2380403634303375,1.3088047058297918,0.3477188154159678,3.7639743603293354,0.0046256934588011,10.165649810477012,65.5991333631882
Normal,IR,6,0.0047556606313328,4.889631422141095,0.9384311645543104,3.951200257586784,0.2375053410042704,1.3544641033444087,0.3717165861503655,3.643808626813616,0.0047556606313328,10.18469818866452,60.20433451405217
Normal,IR,7,0.0048390679962134,4.8550421365384535,0.9632709478697996,3.8917711886686535,0.2475147949793337,1.372202012131598,0.3394213116773794,4.042769163050901,0.0048390832223577,10.208871795496618,64.54997721009121
Normal,IR,8,0.0047554198474408,4.770519040651681,0.9461268418870488,3.824392198764632,0.2473927339859833,1.3480335428138843,0.3359067924479468,4.01311784435791,0.0047554274328243,10.223422785548495,66.34339382592047
Normal,IR,9,0.0046438297271304,4.777544209479582,0.9342363175496896,3.843307891929892,0.2430813101160544,1.3142468138389165,0.3531181882079803,3.721832683013338,0.0046438297271304,10.234061129460102,59.956130114170065
Normal,IR,10,0.0047519186001246,4.858293735067899,0.9592047640070518,3.8990889710608463,0.2460074061213524,1.3479435060270126,0.3708846605666372,3.6344007971848327,0.0047519186001246,10.244047870439028,64.03290514705117
Normal,IR,11,0.0047376848891098,4.825705410917475,0.9573643949658294,3.868341015951646,0.2474870728868016,1.340163681720728,0.3463904983338166,3.86893892346092,0.0047376848891098,10.268079834588587,66.83872905832226
Normal,IR,12,0.0047289336559725,4.829547630244481,0.933917740090116,3.895629890154366,0.239734719781891,1.3381976721480755,0.3698154811935865,3.618555036768653,0.0047289336559725,10.275995284300283,59.739077781883395
Normal,IR,13,0.0046985197977712,4.849422450746722,0.9336393268504484,3.9157831238962744,0.2384297846203138,1.344605691637288,0.3666828828712853,3.66694425741514,0.0046985197977712,10.282705373420749,63.56367849586687
Normal,IR,14,0.0048000664698053,4.838333994173489,0.946655733315199,3.89167826085829,0.2432512838577819,1.3568218634654758,0.3420853873019865,3.966325115979593,0.0048000664698053,10.305030869396594,67.07129529989737
Normal,IR,15,0.0047252323464326,4.837746104753951,0.9355511770348112,3.90219492771914,0.2397499854220884,1.339818292635818,0.3525918086819337,3.799913269807247,0.0047252331636744,10.305740247633993,60.25569822068189
Normal,IR,16,0.0047821820582066,4.871737673237986,0.962917032890286,3.9088206403477,0.2463446449680617,1.3584458794779877,0.3513950894762012,3.865864720827268,0.0047821820582066,10.320694965924101,62.812407735981935
Normal,IR,17,0.0047746432963841,4.82196619830842,0.9297919445644608,3.8921742537439585,0.2388875430410331,1.3651675115651014,0.3387046470797621,4.0305544176475845,0.0047746432963841,10.336851084401488,66.86433273247938
Normal,IR,18,0.0047730805102022,4.761314297830113,0.9312555836720664,3.830058714158046,0.2431439445639888,1.3345835063866196,0.338454862409711,3.9431654102550935,0.0047730805102022,10.344886744021393,60.81688962107791
Normal,IR,19,0.0046844936056141,4.797521756706471,0.9303259782910156,3.867195778415456,0.2405686268803818,1.3175502857512422,0.3658606771680437,3.6012350273600933,0.0046844936056141,10.343647603514095,62.45941906642863
Normal,IR,20,0.00474504088607,4.832861415657698,0.963087009057772,3.869774406599927,0.2488741998539295,1.3378003268291605,0.3557787619769123,3.76020288393711,0.00474504088607,10.357806047644782,66.62785311217245
Normal,IR,21,0.0047285331402574,4.799897521814506,0.945610986050758,3.854286535763748,0.2453400849356883,1.3548111819738482,0.3387267037314988,3.999717669285906,0.0047285331402574,10.375931884676262,61.6917290546876
Normal,IR,22,0.0047215369910059,4.773810578968561,0.9436321323454722,3.8301784466230897,0.2463676681115037,1.342746735387999,0.3480322464162296,3.858110129778432,0.0047215369910059,10.375369041385111,61.98025202840916
