Channel,State,Feature,Pressure,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p
Red,Normal,Amplitude,p2_mmhg,24,-0.1761907118975564,0.4101963113863021,-0.5466038229616335,0.3008294408632464,-0.03826086956521739,0.8591175903218993
Red,Ischaemia,Amplitude,p2_mmhg,24,0.16822242922846775,0.43201523256119817,-0.24815189437073215,0.5693956702353579,0.23826086956521736,0.26221750952163636
Red,Congestion,Amplitude,p2_mmhg,24,-0.13717670526824255,0.5227036143697407,-0.47731803128283007,0.3080704525790742,-0.11130434782608695,0.6046100724044843
Red,Normal,Amplitude,p1_mmhg,24,0.15957314084737276,0.4563892135721995,-0.23451881496017943,0.49975217469466493,-0.034782608695652174,0.8718168719786574
Red,Ischaemia,Amplitude,p1_mmhg,24,-0.16363926193867864,0.4448423282101125,-0.47511494678523664,0.19742223148811985,-0.21565217391304345,0.311514449128511
Red,Congestion,Amplitude,p1_mmhg,24,0.42687025546063884,0.037494995187162386,0.1694219582599425,0.6800009643754469,0.5147826086956522,0.010054114049541199
Red,Normal,AUC,p2_mmhg,24,0.039915193019087414,0.8530892626949347,-0.4346288686483327,0.4764507311598566,0.054782608695652164,0.799308243488264
Red,Ischaemia,AUC,p2_mmhg,24,0.09026373282182254,0.674885858960206,-0.2720837702349943,0.4470545938896852,0.09913043478260869,0.6449056390307348
Red,Congestion,AUC,p2_mmhg,24,-0.019802236106739673,0.9268246627327956,-0.42500685360479806,0.43790151639553726,0.019130434782608695,0.9293010160374854
Red,Normal,AUC,p1_mmhg,24,0.3734722208806889,0.07223252771669446,-0.06663733699468415,0.6565103118259864,0.2773913043478261,0.1894123670698225
Red,Ischaemia,AUC,p1_mmhg,24,0.17132495873232148,0.42344651971592107,-0.27822084012993553,0.6978596758201119,0.2052173913043478,0.3360608896745527
Red,Congestion,AUC,p1_mmhg,24,0.42627572737694963,0.03779019236164969,0.17569351584654025,0.7364489129881976,0.6486956521739129,0.0006061249548857917
Red,Normal,S_AUC,p2_mmhg,24,-0.005090969134019921,0.9811643384820123,-0.480293452820612,0.3830830781995673,-0.0826086956521739,0.7011629844471832
Red,Ischaemia,S_AUC,p2_mmhg,24,-0.04920153023677323,0.8194070223299117,-0.36980145211486376,0.2581335824198207,0.005217391304347826,0.9806966832535792
Red,Congestion,S_AUC,p2_mmhg,24,0.006719580804435618,0.9751403648142618,-0.3180681116936971,0.24522737209108858,-0.08086956521739129,0.707180750468238
Red,Normal,S_AUC,p1_mmhg,24,0.06532951891583091,0.7616713939460904,-0.376794088273118,0.4190054067451234,0.027826086956521737,0.8973048186218164
