Channel,Feature,Pressure,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p
Red,Amplitude,p2_mmhg,72,0.9171825973113976,1.1008568211520227e-29,0.8702087274161662,0.948893462051629,0.632902437455785,2.448232783742371e-09
Red,Amplitude,p1_mmhg,72,0.3449193405351556,0.003005765767433198,0.19219278032811654,0.4943732269021745,-0.18911183998970998,0.11161502858444068
Red,AUC,p2_mmhg,72,0.9320400656238438,1.402542781303047e-32,0.8981152194948603,0.959983263191783,0.660460479773619,2.752142427878523e-10
Red,AUC,p1_mmhg,72,0.3813491217404788,0.0009495300136621545,0.2207206783753685,0.5293740528421137,-0.11830342787317515,0.3222961350706549
Red,S_AUC,p2_mmhg,72,0.5052713357011754,5.991712843160548e-06,0.3565116399613819,0.6250844584366061,0.43456170814843403,0.00013662021855990816
Red,S_AUC,p1_mmhg,72,0.19191473398955566,0.10631040359368485,-0.03565466608024676,0.4057862852409386,-0.13248440414174548,0.26726129306284724
Red,D_AUC,p2_mmhg,72,0.8723383953712701,1.9091607353361248e-23,0.8004783240739659,0.9253674873549479,0.6859605119300277,2.945110002585828e-11
Red,D_AUC,p1_mmhg,72,0.3634047115240159,0.0017031238939669109,0.20989034692173492,0.5436408475794904,-0.07508521448324652,0.5307546217099965
Red,AUC_Ratio,p2_mmhg,72,-0.08318587191839297,0.4872386237029224,-0.3482938245207016,0.1623195471077565,-0.13717923982249663,0.2505252008722222
Red,AUC_Ratio,p1_mmhg,72,-0.04918101347486657,0.6816155676588844,-0.28154852416287995,0.18704648903430582,-0.09759470062383435,0.41474340340145277
Red,Start_Datum_Area,p2_mmhg,72,0.8871946625338822,3.2608175325529075e-25,0.8322854571322545,0.931581536349551,0.6334490964049135,2.3492924922030363e-09
Red,Start_Datum_Area,p1_mmhg,72,0.3580336993945576,0.002015733274251603,0.20229533928291554,0.5228851654827132,-0.16711685638947846,0.16058559734935024
Red,End_Datum_Area,p2_mmhg,72,0.6732960984218636,9.185085718587398e-11,0.5537222020706162,0.7828772906101414,0.5967907904045276,3.1546826995645674e-08
Red,End_Datum_Area,p1_mmhg,72,0.3068047220323574,0.008759326654468134,0.11557357961027719,0.49859599090042894,0.0512573155829957,0.6689408643926835
Red,Datum_Area_Ratio,p2_mmhg,72,-0.1332578047229484,0.26445376507505153,-0.3559537719610024,0.11823351164465039,-0.10650202585375268,0.3732405780525041
Red,Datum_Area_Ratio,p1_mmhg,72,-0.1192533031420465,0.3183985307108393,-0.29868630313115424,0.09236082734216712,-0.1564730850858576,0.1893235625561353
Red,Max_Start_Datum_Diff,p2_mmhg,72,0.9131853965153796,5.349733468640028e-29,0.8662736805758137,0.9472963501841968,0.6256994018907969,4.184776965945679e-09
Red,Max_Start_Datum_Diff,p1_mmhg,72,0.3481061304042511,0.0027318459949433297,0.17863623143872032,0.507383802136148,-0.1910090681072738,0.1080025959447478
IR,Amplitude,p2_mmhg,72,0.42968408942452274,0.0001654361848139441,0.2804743254296139,0.581657686057317,0.0739918965849894,0.5367721056883833
IR,Amplitude,p1_mmhg,72,-0.5519281581214712,5.02098517336172e-07,-0.6755272770742584,-0.4406364755840175,-0.893079940832208,5.538815018719017e-26
IR,AUC,p2_mmhg,72,0.445545757149985,8.783582216316677e-05,0.31746023434073384,0.5825850107923694,0.09293202135185545,0.4374916558760008
IR,AUC,p1_mmhg,72,-0.5354316994498809,1.258982060140995e-06,-0.6521608710163928,-0.424527965354808,-0.8607627500160783,3.2471097764639467e-22
IR,S_AUC,p2_mmhg,72,0.572437882060028,1.49120884040017e-07,0.45582167576593074,0.6909875140905637,0.6243166763135894,4.631118778004562e-09
IR,S_AUC,p1_mmhg,72,-0.4015692469172734,0.00047195987094080503,-0.5444378400002268,-0.2684072894256227,-0.46533539134349483,3.811330002068616e-05
IR,D_AUC,p2_mmhg,72,0.41219170551687095,0.000321037796465031,0.2607864042013575,0.5577084619977373,0.007428130426393981,0.9506205686187437
IR,D_AUC,p1_mmhg,72,-0.5660156295298553,2.2002847540321804e-07,-0.6701561371101405,-0.4564589599296733,-0.9006688533024635,4.80395168180415e-27
IR,AUC_Ratio,p2_mmhg,72,0.7739338549107935,1.571224140050274e-15,0.7006659356981302,0.8397076178544783,0.7279567817866103,4.330240697902354e-13
IR,AUC_Ratio,p1_mmhg,72,0.7577212110449443,1.3129604030075991e-14,0.6717769617702444,0.8261668030786502,0.4432439385169465,9.647570045802631e-05
IR,Start_Datum_Area,p2_mmhg,72,0.3336911706359601,0.004176639398406074,0.19218878826897554,0.495287523847483,-0.06813943018843656,0.5695428785118808
IR,Start_Datum_Area,p1_mmhg,72,-0.6355275121592123,2.0067752241456516e-09,-0.7311829196139652,-0.5249908445103265,-0.9390314489677795,3.536146591571456e-34
IR,End_Datum_Area,p2_mmhg,72,0.389707390337147,0.0007150508360902709,0.2509075949294971,0.5341306382799476,0.056916843526914916,0.6348666040238149
IR,End_Datum_Area,p1_mmhg,72,-0.5659484428997279,2.2091610860790312e-07,-0.6814077989007293,-0.45338859914175256,-0.7805003537204965,6.321693818852249e-16
IR,Datum_Area_Ratio,p2_mmhg,72,-0.2997844122599125,0.010516418937852975,-0.5030101307416333,-0.05987068529062203,-0.1807833301176925,0.12858584063283096
IR,Datum_Area_Ratio,p1_mmhg,72,-0.4264664635402169,0.00018740203393747916,-0.5915389938102265,-0.23011619730465943,-0.37430059810920324,0.0011992050300441794
IR,Max_Start_Datum_Diff,p2_mmhg,72,0.4296821232279105,0.00016544885169705704,0.29870711315907766,0.5713456100444327,0.0739918965849894,0.5367721056883833
