Depth,State,Pulse_Index,Combined_PI_Ratio,Combined_Amplitude_Ratio,Combined_Delta_A_Ratio,Red_Amplitude,Red_PI,Red_Max_Start_Datum_Diff,Red_AUC,Red_S_AUC,Red_D_AUC,Red_AUC_Ratio,Red_Start_Datum_Area,Red_End_Datum_Area,Red_Datum_Area_Ratio,Red_Rise_Time,Red_Fall_Time,Red_Pulse_Width,Red_Rise_Decay_Time_Ratio,Red_PW50,Red_Systolic_Width,Red_Diastolic_Width,Red_Width_Ratio,Red_Delta_T,Red_Upslope,Red_Downslope,Red_Onset_End_Slope,Red_Slope_Ratio,Red_Upslope_Length,Red_Downslope_Length,Red_Slope_Length_Ratio,Red_Upslope_Length_Ratio,Red_Downslope_Length_Ratio,Red_Length_Height_Ratio,Red_SDPPG_b_a,Red_SDPPG_c_a,Red_SDPPG_d_a,Red_SDPPG_e_a,Red_DNP,Red_Skewness,Red_Kurtosis,Red_Variance,Red_RWI,Red_IPAR,IR_Amplitude,IR_PI,IR_Max_Start_Datum_Diff,IR_AUC,IR_S_AUC,IR_D_AUC,IR_AUC_Ratio,IR_Start_Datum_Area,IR_End_Datum_Area,IR_Datum_Area_Ratio,IR_Rise_Time,IR_Fall_Time,IR_Pulse_Width,IR_Rise_Decay_Time_Ratio,IR_PW50,IR_Systolic_Width,IR_Diastolic_Width,IR_Width_Ratio,IR_Delta_T,IR_Upslope,IR_Downslope,IR_Onset_End_Slope,IR_Slope_Ratio,IR_Upslope_Length,IR_Downslope_Length,IR_Slope_Length_Ratio,IR_Upslope_Length_Ratio,IR_Downslope_Length_Ratio,IR_Length_Height_Ratio,IR_SDPPG_b_a,IR_SDPPG_c_a,IR_SDPPG_d_a,IR_SDPPG_e_a,IR_DNP,IR_Skewness,IR_Kurtosis,IR_Variance,IR_RWI,IR_IPAR
3,Normal,0,0.4316787560164538,0.6216706659868813,0.431384169586317,0.002717235484917542,0.10355386248411516,0.0014551546272462796,2.8019538848255086,0.41669595763870504,2.385257927186804,0.17469639357312214,0.8312608467727381,0.2093866075483176,3.969980965396367,0.158,0.798,0.956,0.19799498744386027,0.625,0.5735,0.3825,1.4993464048367722,0.0,11.506154597230761,-4.363304438436046,0.036059868689791316,2.6370276837917017,1.0261822500057831,1.3660699980438369,0.7511930218803721,0.4289607213451355,0.5710392786130629,2.392252335850326,-0.9904008156402458,0.19313947176065266,-0.1870375144733692,0.2948463063764848,0.5897561086743344,-0.32298652460311716,-1.2146857438319338,0.09345397637934318,0.589756130319628,0.6050789723309952,0.004370859960775141,0.2398863894095443,0.002157446506663024,4.4718840216645095,0.6818123369509499,3.790071684713559,0.17989431167829997,1.384115738908236,0.3246019283935909,4.26404040583377,0.1555,0.805,0.9605,0.19316770183935802,0.545,0.576,0.3845,1.4980494144348375,0.0,11.433276964016159,-1.708039777805709,0.01521483459724778,6.693800174861808,1.0248228801140438,1.2843961358323224,0.7979024939763941,0.4437963107841767,0.5562036891725186,2.3092190685475877,-0.9992263303578189,0.2344282168057056,-0.21514018177238559,0.19580681507802342,0.5629982301265354,-0.1969287191064184,-1.2863309039347446,0.0959576806850005,0.5629982429509555,0.6520292322818398
3,Normal,1,0.4158860203167206,0.5989773517752399,0.4155881063122971,0.0026739223208289958,0.10189236472402556,0.0014129795978354554,2.8417769442801255,0.4308787127558581,2.4108982315242673,0.17872123638564663,0.8082919349740503,0.2079097171794384,3.8877063830916367,0.1645,0.799,0.9635,0.20588235291540896,0.5985,0.578,0.3855,1.4993514911804533,0.0,10.445109694262896,-4.489735767877846,-0.03590077261949724,2.326441963190925,0.9933124767744432,1.6179903475841417,0.6139174304693406,0.3803896152796418,0.6196103846820631,2.6113029217555956,-0.9296392714518075,0.3479358276798899,-0.35684498089650335,0.6642234621958222,0.5955756089356352,-0.3443032271030507,-1.321165236129388,0.10168914149800054,0.5955756311495597,0.5775379968156704,0.004464145852938063,0.24500068669261657,0.0023145456155465108,4.458160094851776,0.7272547525401762,3.7309053423115994,0.19492715193628848,1.3883710626827188,0.30025664046920664,4.623947900205428,0.162,0.7955,0.9575,0.2036455059454877,0.5185,0.5745,0.383,1.499999999608355,0.0,10.99376869482586,-1.7969094279145281,0.005971183239319182,6.11815405018676,1.0260509922095267,1.2836039580446397,0.7993516892021836,0.4442442764241431,0.5557557235325605,2.309655001761092,-0.9846270191677292,0.19248947870372407,-0.17579990516650384,0.16049248617447656,0.5370771081100811,-0.12577674089800395,-1.3177721366919728,0.10093554055333799,0.5370771200872775,0.6658158010406758
3,Normal,2,0.45987928546433665,0.6624033367427719,0.4595741470082691,0.0029619593317706926,0.11285583157128942,0.0016100600926402422,2.9887096156820516,0.9209593000732181,2.0677503156088335,0.44539192816300427,0.825194476082439,0.2078568389104888,3.9700135920993116,0.259,0.714,0.973,0.3627450979884111,0.5555,0.5835,0.3895,1.49807445404414,0.0,9.227548906205982,-3.5492832103566343,-0.024817103554831646,2.599834490248753,1.0587082717056027,1.3526878621869827,0.7826700462260745,0.4390436962145589,0.5609563037439711,2.4113962150636423,-0.9959935877513056,0.3105687282924252,-0.7488950351945576,0.7037425482328742,0.5223008616477852,-0.1314937198657139,-1.3644424480231292,0.10374880301447283,0.5223008792291822,0.5871673096671116,0.00447153433751582,0.24540315369206778,0.0022691650754809315,4.529949825169167,0.7425466872506007,3.7874031379185666,0.1960569446111497,1.351360164650152,0.326170730664496,4.14310677565324,0.1705,0.7975,0.968,0.21379310342146796,0.5165,0.5805,0.3875,1.4980645157424348,0.0,10.458465547986805,-1.9362916604799238,-0.018077620607312626,5.401286263276303,1.0123458784422008,1.2927669859639603,0.783084569265226,0.4391741046740816,0.5608258952825366,2.3051129157264754,-1.0541857501147018,0.21678185378912074,-0.19703016111540042,0.17385060473469344,0.5387871429057972,-0.13073122343964935,-1.3563400866402673,0.1013599867674052,0.5387871549011861,0.627409411654584
3,Normal,3,0.43532062039864694,0.6269981387570115,0.4350190530925852,0.0028001161630333057,0.10668845760408122,0.0014676426051454645,2.8941702638683635,0.5232055576779733,2.3709647061903896,0.22067201434498807,0.9215544637535655,0.15008577672184234,6.140185187884169,0.1725,0.818,0.9905,0.21088019557324203,0.523,0.594,0.3965,1.4981084485502878,0.0,11.346542780510333,-2.9017883211891444,0.0942478270715531,3.9101896913933176,1.0333470107331717,1.4588034106662562,0.7083524778643013,0.4146407062024161,0.5853592937574579,2.4921505101518924,-0.851524411732752,0.28517453116489566,-0.35947269287429806,0.37795489990381487,0.5111317373888193,-0.10143617749460394,-1.523343034507723,0.10511564406239993,0.5111317555916538,0.6873998687884124,0.004465908153865599,0.245080173669202,0.0022635218200484624,4.512342054989046,0.7512875479731445,3.761054507015901,0.19975449612647497,1.3975958260343857,0.29005957065487936,4.818306192749116,0.1665,0.803,0.9695,0.20734744704765287,0.5245,0.5815,0.388,1.4987113398199197,0.0,10.718937076997122,-1.9391370729579762,0.023312304753481963,5.527684053862988,1.027700135439735,1.2791196814166383,0.8034432979885058,0.4455051616453019,0.5544948383113483,2.3068198682796828,-0.973486167701976,0.19898482461049358,-0.16595164628030762,0.16108361778000732,0.5473696091509913,-0.12312595056099361,-1.3727623009567163,0.10176275766564845,0.5473696213528791,0.6612892183406878
3,Normal,4,0.4136076892750772,0.5957524715034106,0.4133144388278561,0.0026224695953984095,0.09990946586912783,0.0014853626956169042,2.549559712595969,0.8243545738302301,1.7252051387657386,0.4778298854200111,0.7467526732391645,0.08243620781358107,9.058551965684725,0.2445,0.676,0.9205,0.36168639047904044,0.5525,0.552,0.3685,1.4979647214388156,0.1255,11.244351383874232,-4.826091526112009,-0.014168145457335125,2.3299084409822424,1.089602781218121,1.282288953858341,0.8497326424395917,0.45938133054671554,0.540618669411124,2.371891825284239,-0.9470066214852438,0.6123447886897593,-0.40625922757692107,0.2852906274710429,0.6283677156652759,-0.3459558223473272,-1.4320476361980048,0.11760628098768287,0.6283677395633543,0.6288753159689348,0.0044019448701660135,0.24155610333667696,0.0022844823173581745,4.415392899936653,0.7059444809094051,3.7094484190272476,0.19030982538247518,1.3736516479855674,0.29065213299350134,4.7261020704213115,0.161,0.801,0.962,0.20099875153545582,0.514,0.577,0.385,1.4987012983120254,0.0,11.053927282651046,-1.715339043515371,-0.003760779438979705,6.444164682075328,1.022737324843945,1.2948596028529331,0.7898441827296087,0.4412921473002492,0.5587078526566026,2.317596980114504,-1.0789128861562467,0.19517428111307583,-0.21772912314526624,0.18455893527408992,0.527709229068676,-0.11042496392497088,-1.3792559931699089,0.10371537008193946,0.5277092410039976,0.6636602825285612
3,Normal,5,0.43290147823942104,0.6235118603240524,0.4326053999752368,0.0027376541212562463,0.1043020064972528,0.001529622575975869,2.7412427889219733,0.48420396589133446,2.2570388230306384,0.21453063231748784,0.73832518727171,0.183509241917244,4.023367865049168,0.1975,0.7915,0.989,0.24952621601395752,0.5125,0.593,0.396,1.497474747096597,0.0,10.155048401572913,-3.9857601150367827,-0.037876889961305844,2.5478323100798086,1.0100492832654044,1.4828691792330144,0.6811452401483713,0.4051673965351477,0.5948326034247385,2.492918553309515,-0.858745676997325,0.19532653052079077,-0.47011503567464785,0.28003940148445283,0.5966457170918453,-0.02937634552073588,-1.6085599462697793,0.11466921381150105,0.5966457388262311,0.5558278363168756,0.004390700856086753,0.24093704320594372,0.002254546044621102,4.455430775866291,0.7332834927410861,3.7221472831252047,0.19700550164842026,1.38006047694217,0.3087155697504014,4.4703300115731945,0.1645,0.8005,0.965,0.20549656462142454,0.5215,0.579,0.386,1.4999999996113988,0.0,10.85961832080784,-1.9216684741996346,-0.00441300841718016,5.651140384537818,1.022880665043981,1.2931870119592814,0.7909765992894853,0.4416454126777988,0.5583545872790247,2.3160677295210395,-0.9597355235831424,0.15937493672923597,-0.13466152367752868,0.17723266549797465,0.5355420556536533,-0.11246790661444424,-1.362357497207331,0.1029300655571922,0.5355420677972874,0.6609329560401859
3,Normal,6,0.45576756953303416,0.656409417970538,0.4554680590242102,0.0028856218266554196,0.10994022482206539,0.0016440508152303778,2.897679368694025,0.4465169379365738,2.4511624307574515,0.18216538092923357,0.9390611861499004,0.2253841139905653,4.166492345474539,0.1495,0.8225,0.972,0.18176291791103186,0.53,0.583,0.389,1.4987146525710244,0.0,11.239434359885138,-4.470688491795016,-0.011906092095120321,2.514027622425783,1.0102099220055774,1.6155053202276628,0.6253213216287538,0.38473704448921636,0.6152629554726987,2.625715332963716,-0.844155446468185,0.3054610745522112,-0.3291883003817947,0.34963678202428244,0.5547594760852907,-0.17558159767902476,-1.2932508785616066,0.09103993690641286,0.5547594952547691,0.6825713100179698,0.004396070016691922,0.24121992790138005,0.002259740280282552,4.394309758269193,0.7080184352489924,3.6862913230202,0.1920679548055095,1.384096053746838,0.27842436002828724,4.971174408407008,0.1605,0.802,0.9625,0.20012468825434854,0.5095,0.5775,0.385,1.4999999996103897,0.0,11.141617138468064,-1.8939967224595193,0.0188769622920289,5.882595785810783,1.0261778106734565,1.2827066818362565,0.8000097178292019,0.4444474437582524,0.5555525561984367,2.308884544800383,-1.0428107089017085,0.21783941258268555,-0.2126602471904649,0.18646825587474403,0.5220365896564622,-0.10747537428496302,-1.3744235270345746,0.10261074477560075,0.522036601479333,0.6776354797700923
3,Normal,7,0.47541791901450087,0.6846630529468835,0.4751189379862996,0.0029882579993616627,0.11385435703620793,0.0016865428541159126,2.9173406858648776,0.4342707367602975,2.4830699491045802,0.17489267142853168,0.9150930309155951,0.20981891582761875,4.361346673010525,0.152,0.8015,0.9535,0.18964441669499132,0.534,0.572,0.3815,1.4993446916122293,0.0,11.25015840919093,-2.771503857632581,-0.021110564251754317,4.059225238962826,1.0028456502452445,1.3314686047307078,0.7531876054807566,0.4296103868896669,0.5703896130674939,2.334314332858743,-1.189507106738927,0.3834613794447189,-0.35904832694871364,0.3011971361026569,0.5643988593922314,-0.0880511021864531,-1.324906031102964,0.0970541069880562,0.5643988782230115,0.6770099186849129,0.004364567239364658,0.23948266930310388,0.002208305031139589,4.4024595099865245,0.6749714261873291,3.727488083799196,0.18107943231337303,1.329940490908519,0.3034404395337136,4.382871618937494,0.16,0.8005,0.9605,0.1998750780512336,0.5305,0.576,0.3845,1.4980494144348375,0.0,10.90208510468085,-1.765099550505056,-0.02380759117738459,6.176470387148272,1.0036368707889802,1.302210322518146,0.7707179503623716,0.4352573204584314,0.5647426794982006,2.3058472459076027,-0.9817296472285436,0.28203840505588357,-0.3199840678168743,0.1282802520659568,0.5556055686618643,-0.15211069239737152,-1.3743432178809996,0.10320443433555636,0.5556055813362156,0.6376363664113004
3,Normal,8,0.46549646515517595,0.6704800060916071,0.4651940128903192,0.0029673794847256503,0.11303827708429397,0.0016223901368523624,3.0571812569705514,0.40608910987033386,2.6510921471002176,0.15317804411257416,0.9459924104054437,0.23112343963523213,4.093018049095943,0.1405,0.8145,0.955,0.17249846529496643,0.575,0.573,0.382,1.4999999996073297,0.0,12.244400826967592,-4.013600691633428,-0.015267270873448674,3.0507272066667337,1.0057298765615899,1.5446494034690748,0.6511055999100801,0.39434521931579636,0.6056547806449937,2.5503793657228164,-1.0067940672197473,0.31656187294192695,-0.2823575887780774,0.24213523499112077,0.5777416330663531,-0.23751182866389034,-1.3037240294586567,0.09410254091932822,0.5995738272166558,0.6517216946633216,0.004425753774486483,0.24283379335598432,0.002247109959368952,4.53434462663726,0.7260901576675249,3.8082544689697357,0.19066219538761314,1.37368611730696,0.3256282381312187,4.218571843672684,0.165,0.8015,0.9665,0.20586400496495771,0.515,0.5795,0.387,1.4974160202849054,0.0,10.859427149416263,-1.9779044702651163,-0.005209197070959642,5.490369890013768,1.0229320292461388,1.2942004892503465,0.7903968802852354,0.441464621050565,0.558535378906278,2.3171325706204304,-1.0613795122370335,0.17931598732734513,-0.19276425718729373,0.17300486239409366,0.5329169356604075,-0.14656373523084743,-1.3531587090291062,0.10236398748546854,0.5329169476483853,0.6367966734674335
3,Normal,9,0.4310428353668318,0.6208835252308382,0.43073987285618426,0.002792718764157001,0.10637609833989282,0.0013780397608477097,3.079164697690093,1.087887769829955,1.9912769278601377,0.5463267085328941,0.8370590252543056,0.2735038191947083,3.0605021436733586,0.2735,0.6405,0.914,0.42701014825495553,0.608,0.548,0.366,1.497267759153752,0.184,10.284637246785906,-2.9952060934779183,-0.009545737627632226,3.433699360066542,1.103014311068825,1.2917049605966793,0.853921247212611,0.46060276211650847,0.5393972378417329,2.394719357174705,-0.6552594415420596,0.2033960065513629,-0.33102914852262716,0.3223516061768955,0.6649482879337129,-0.49113726738512437,-1.0469878005170423,0.10212691811369783,0.6649483116772879,0.5470893014828742,0.004497975205623864,0.2467877558784855,0.002319299743533323,4.508132419810166,0.7386825723305607,3.7694498474796054,0.19596561890984562,1.4012274446414494,0.2963758090917947,4.727873872238568,0.1645,0.802,0.9665,0.20511221942579647,0.519,0.5795,0.387,1.4974160202849054,0.0,10.84156659196401,-1.6848807321419486,0.01057837659308936,6.4346196051146745,1.0270666179906787,1.2856888762909768,0.7988453791975941,0.4440878512604195,0.555912148696342,2.3127555454680824,-0.9925457096200431,0.19609490062370447,-0.17608650027249292,0.17005074010188126,0.5365533696731142,-0.12279224158631423,-1.3612679349572343,0.10064977157183994,0.5365533815482344,0.6615645824946365
