Feature,Comparison,State1,State2,Mean1,Std1,Mean2,Std2,U_statistic,p_value,p_adjusted,Significant,Cliffs_Delta,Effect_Size,KW_H,KW_p,AUC,Sensitivity,Specificity,Optimal_Threshold
D_AUC,Normal vs Congestion,Normal,Congestion,2558.1556672702436,0.0,2590.1315333453067,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,2590.1315333453067
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,2558.1556672702436,0.0,2438.928967814149,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,3.925271679007456,0.0,3.381103662509168,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,3.645679013617188,0.0,3.381103662509168,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,3.645679013617188,0.0,3.925271679007456,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,3.925271679007456
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,239.71459117400792,0.0,270.756732808417,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,270.756732808417
End_Datum_Area,Normal vs Congestion,Normal,Congestion,257.7555573503653,0.0,270.756732808417,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,270.756732808417
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,257.7555573503653,0.0,239.71459117400792,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,3.1391727056997727,0.0,3.0953554695824916,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,3.146316899099028,0.0,3.0953554695824916,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,3.146316899099028,0.0,3.1391727056997727,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,781.8538308600752,0.0,739.845063316499,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
S_AUC,Normal vs Congestion,Normal,Congestion,761.3365199523317,0.0,739.845063316499,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,761.3365199523317,0.0,781.8538308600752,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,781.8538308600752
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,865.3292054718725,0.0,873.6604703141902,0.0,0.0,1.0,1.0,No,-1.0,Large,2.0,0.36787944117144245,1.0,1.0,1.0,873.6604703141902
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,881.3843572355588,0.0,873.6604703141902,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,881.3843572355588,0.0,865.3292054718725,0.0,1.0,1.0,1.0,No,1.0,Large,2.0,0.36787944117144245,0.0,0.0,1.0,inf
