Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
Slope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.817646,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,True
Upslope_Length_Ratio,Congestion,30,30,0.515556,0.365765,0.666352,0.449838,0.800000,0.300000,0.533333,0.600000,0.550000,0.640000,0.100000,1.142857,0.666667,24,9,21,6,True
Rise_Decay_Time_Ratio,Congestion,30,30,0.511111,0.359345,0.661618,0.258376,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False
SDPPG_e_a,Congestion,30,30,0.511111,0.373687,0.662684,0.348128,0.666667,0.433333,0.540541,0.565217,0.550000,0.597015,0.100000,1.176471,0.769231,20,13,17,10,False
Downslope_Length,Congestion,30,30,0.507778,0.363631,0.665211,1.344170,0.300000,0.833333,0.642857,0.543478,0.566667,0.409091,0.133333,1.800000,0.840000,9,25,5,21,False
Downslope,Congestion,30,30,0.506667,0.340323,0.648525,-2.447941,0.266667,0.900000,0.727273,0.551020,0.583333,0.390244,0.166667,2.666667,0.814815,8,27,3,22,False
Upslope,Congestion,30,30,0.506667,0.358575,0.658886,7.599476,1.000000,0.166667,0.545455,1.000000,0.583333,0.705882,0.166667,1.200000,0.000000,30,5,25,0,False
Width_Ratio,Congestion,30,30,0.506667,0.354881,0.656616,0.796688,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,False
Rise_Time,Congestion,30,30,0.502778,0.356094,0.643739,0.215500,0.766667,0.366667,0.547619,0.611111,0.566667,0.638889,0.133333,1.210526,0.636364,23,11,19,7,True
Upslope_Length,Congestion,30,30,0.501111,0.354791,0.652121,1.012922,0.400000,0.733333,0.600000,0.550000,0.566667,0.480000,0.133333,1.500000,0.818182,12,22,8,18,True
