Feature,Comparison,State1,State2,N1,N2,Mean1,Std1,Mean2,Std2,U_statistic,p_value,p_adjusted,Significant,Cliffs_Delta,Effect_Size,KW_H,KW_p,AUC,Sensitivity,Specificity,Optimal_Threshold
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,3.135898578707802,0.03428765903972797,3.0890621915629253,0.07894341811894376,420.0,0.006698271306476066,0.0200948139194282,Yes,0.4583333333333333,Medium,50.657534246575324,9.996689544545149e-12,0.27083333333333337,0.16666666666666666,1.0,3.212050159084338
AUC,Normal vs Congestion,Normal,Congestion,24,24,4.809424219223476,0.040713625266496224,3.0890621915629253,0.07894341811894376,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,50.657534246575324,9.996689544545149e-12,0.0,0.0,1.0,inf
AUC,Normal vs Ischaemia,Normal,Ischaemia,24,24,4.809424219223476,0.040713625266496224,3.135898578707802,0.03428765903972797,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,50.657534246575324,9.996689544545149e-12,0.0,0.0,1.0,inf
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.229399665353092,0.005593007438148778,0.2586112111035395,0.008431946934202201,0.0,3.06366423367317e-09,9.19099270101951e-09,Yes,-1.0,Large,58.32933789954336,2.1574722011701605e-13,1.0,1.0,1.0,0.24476344744594963
AUC_Ratio,Normal vs Congestion,Normal,Congestion,24,24,0.24412378044800973,0.0038527858933136085,0.2586112111035395,0.008431946934202201,31.0,1.2302665851237956e-07,3.6907997553713867e-07,Yes,-0.8923611111111112,Large,58.32933789954336,2.1574722011701605e-13,0.9461805555555556,0.8333333333333334,1.0,0.2519592057007268
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,24,24,0.24412378044800973,0.0038527858933136085,0.229399665353092,0.005593007438148778,562.0,1.7056946192722718e-08,5.1170838578168156e-08,Yes,0.9513888888888888,Large,58.32933789954336,2.1574722011701605e-13,0.024305555555555552,0.0,1.0,inf
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.0030205611628093005,3.282291642383646e-05,0.0029316618901538195,8.694074866867777e-05,465.0,0.00027330728966718973,0.0008199218690015692,Yes,0.6145833333333334,Large,53.30308219178079,2.6630711382186933e-12,0.19270833333333331,0.08333333333333333,1.0,0.0030820973013031775
Amplitude,Normal vs Congestion,Normal,Congestion,24,24,0.004736437068476507,4.596367715728181e-05,0.0029316618901538195,8.694074866867777e-05,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,53.30308219178079,2.6630711382186933e-12,0.0,0.0,1.0,inf
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,24,24,0.004736437068476507,4.596367715728181e-05,0.0030205611628093005,3.282291642383646e-05,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,53.30308219178079,2.6630711382186933e-12,0.0,0.0,1.0,inf
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,2.5508126939435747,0.03051115269962844,2.454625131849187,0.07125015196045127,489.0,3.5613067076212477e-05,0.00010683920122863743,Yes,0.6979166666666666,Large,55.02910958904107,1.1235196712694234e-12,0.15104166666666666,0.0,1.0,inf
D_AUC,Normal vs Congestion,Normal,Congestion,24,24,3.8657780762914715,0.037931170437866785,2.454625131849187,0.07125015196045127,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,55.02910958904107,1.1235196712694234e-12,0.0,0.0,1.0,inf
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,24,24,3.8657780762914715,0.037931170437866785,2.5508126939435747,0.03051115269962844,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,55.02910958904107,1.1235196712694234e-12,0.0,0.0,1.0,inf
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,3.9250213317099454,0.22403254704985628,3.70772028486356,0.15671058433426277,447.0,0.0010822814831204172,0.003246844449361252,Yes,0.5520833333333334,Large,13.5005707762557,0.0011705455133256793,0.22395833333333331,1.0,0.04166666666666663,3.4452018294042563
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,24,24,3.857596452176198,0.15397420303111625,3.70772028486356,0.15671058433426277,427.0,0.004292558926637027,0.012877676779911081,Yes,0.4826388888888889,Large,13.5005707762557,0.0011705455133256793,0.2586805555555556,0.0,1.0,inf
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,24,24,3.857596452176198,0.15397420303111625,3.9250213317099454,0.22403254704985628,232.0,0.2524616383129348,0.7573849149388043,No,-0.19444444444444445,Small,13.5005707762557,0.0011705455133256793,0.5972222222222222,0.25,1.0,4.117006934517254
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.22630348394476085,0.011536621591047739,0.21574325355769017,0.01029962247450933,422.0,0.005910177030927582,0.017730531092782744,Yes,0.4652777777777778,Medium,50.758751902587505,9.503357570459581e-12,0.2673611111111111,0.0,1.0,inf
End_Datum_Area,Normal vs Congestion,Normal,Congestion,24,24,0.3483753061670883,0.012525866093852934,0.21574325355769017,0.01029962247450933,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,50.758751902587505,9.503357570459581e-12,0.0,0.0,1.0,inf
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,24,24,0.3483753061670883,0.012525866093852934,0.22630348394476085,0.011536621591047739,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,50.758751902587505,9.503357570459581e-12,0.0,0.0,1.0,inf
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.0030205691448769233,3.282364733599305e-05,0.0029316653821471078,8.693995850699491e-05,465.0,0.00027330728966718973,0.0008199218690015692,Yes,0.6145833333333334,Large,53.30308219178079,2.6630711382186933e-12,0.19270833333333331,0.08333333333333333,1.0,0.0030820973013031775
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,24,24,0.004736438998482895,4.596615895388442e-05,0.0029316653821471078,8.693995850699491e-05,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,53.30308219178079,2.6630711382186933e-12,0.0,0.0,1.0,inf
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,24,24,0.004736438998482895,4.596615895388442e-05,0.0030205691448769233,3.282364733599305e-05,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,53.30308219178079,2.6630711382186933e-12,0.0,0.0,1.0,inf
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.5850858847642276,0.013083945736433542,0.6344370597137382,0.017533099932655144,9.0,9.32485400964649e-09,2.797456202893947e-08,Yes,-0.96875,Large,62.15239726027397,3.1899098996678996e-14,0.984375,0.9583333333333334,0.9166666666666666,0.6062450383189064
S_AUC,Normal vs Congestion,Normal,Congestion,24,24,0.9436461429320039,0.012365709816894974,0.6344370597137382,0.017533099932655144,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,62.15239726027397,3.1899098996678996e-14,0.0,0.0,1.0,inf
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,24,24,0.9436461429320039,0.012365709816894974,0.5850858847642276,0.013083945736433542,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,62.15239726027397,3.1899098996678996e-14,0.0,0.0,1.0,inf
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,24,24,0.8857509912419704,0.014119695485525618,0.7989032525625289,0.031511889189708146,573.0,4.456510382156085e-09,1.3369531146468255e-08,Yes,0.9895833333333334,Large,62.79623287671234,2.3119119439557052e-14,0.005208333333333333,0.0,1.0,inf
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,24,24,1.342065677867802,0.01696586361140136,0.7989032525625289,0.031511889189708146,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,62.79623287671234,2.3119119439557052e-14,0.0,0.0,1.0,inf
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,24,24,1.342065677867802,0.01696586361140136,0.8857509912419704,0.014119695485525618,576.0,3.06366423367317e-09,9.19099270101951e-09,Yes,1.0,Large,62.79623287671234,2.3119119439557052e-14,0.0,0.0,1.0,inf
