Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse
DC_Component,Congestion,32,32,1.000000,1.000000,1.000000,2.449648,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,0.000000,32,32,0,0,True
Start_Datum_Area,Congestion,32,32,0.968750,0.897414,1.000000,0.618246,1.000000,0.968750,0.969697,1.000000,0.984375,0.984615,0.968750,32.000000,0.000000,32,31,1,0,True
AC_Component,Congestion,32,32,0.967773,0.897046,1.000000,0.002299,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
Amplitude,Congestion,32,32,0.967773,0.897046,1.000000,0.002299,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
D_AUC,Congestion,32,32,0.966797,0.894580,1.000000,1.786312,1.000000,0.937500,0.941176,1.000000,0.968750,0.969697,0.937500,16.000000,0.000000,32,30,2,0,True
PI,Congestion,32,32,0.966797,0.896540,1.000000,0.093871,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750,0.937500,31.000000,0.032258,31,31,1,1,True
AUC,Congestion,32,32,0.962891,0.888889,1.000000,2.243469,1.000000,0.937500,0.941176,1.000000,0.968750,0.969697,0.937500,16.000000,0.000000,32,30,2,0,True
Max_Start_Datum_Diff,Congestion,32,32,0.953125,0.877803,1.000000,0.002281,0.968750,0.937500,0.939394,0.967742,0.953125,0.953846,0.906250,15.500000,0.033333,31,30,2,1,True
S_AUC,Congestion,32,32,0.897461,0.804015,0.972644,0.459667,0.875000,0.843750,0.848485,0.870968,0.859375,0.861538,0.718750,5.600000,0.148148,28,27,5,4,True
Diastolic_Width,Congestion,32,32,0.868164,0.765610,0.952412,0.516000,0.906250,0.750000,0.783784,0.888889,0.828125,0.840580,0.656250,3.625000,0.125000,29,24,8,3,True
Fall_Time,Congestion,32,32,0.868164,0.764596,0.953855,0.737000,0.906250,0.750000,0.783784,0.888889,0.828125,0.840580,0.656250,3.625000,0.125000,29,24,8,3,True
Pulse_Width,Congestion,32,32,0.838379,0.728218,0.934043,0.937000,0.968750,0.656250,0.738095,0.954545,0.812500,0.837838,0.625000,2.818182,0.047619,31,21,11,1,True
End_Datum_Area,Congestion,32,32,0.807617,0.681291,0.907913,0.155815,0.843750,0.687500,0.729730,0.814815,0.765625,0.782609,0.531250,2.700000,0.227273,27,22,10,5,True
Width_Ratio,Congestion,32,32,0.659180,0.526135,0.785286,0.803657,0.906250,0.375000,0.591837,0.800000,0.640625,0.716049,0.281250,1.450000,0.250000,29,12,20,3,False
Rise_Decay_Time_Ratio,Congestion,32,32,0.656250,0.524080,0.787304,0.262764,0.937500,0.375000,0.600000,0.857143,0.656250,0.731707,0.312500,1.500000,0.166667,30,12,20,2,False
SDPPG_e_a,Congestion,32,32,0.617188,0.468747,0.746121,0.382664,0.750000,0.562500,0.631579,0.692308,0.656250,0.685714,0.312500,1.714286,0.444444,24,18,14,8,False
Skewness,Congestion,32,32,0.613281,0.468713,0.741959,-0.157463,0.281250,0.937500,0.818182,0.566038,0.609375,0.418605,0.218750,4.500000,0.766667,9,30,2,23,True
IPAR,Congestion,32,32,0.601562,0.453922,0.735115,0.557886,0.500000,0.750000,0.666667,0.600000,0.625000,0.571429,0.250000,2.000000,0.666667,16,24,8,16,True
Systolic_Width,Congestion,32,32,0.599609,0.454085,0.732265,0.419500,0.625000,0.656250,0.645161,0.636364,0.640625,0.634921,0.281250,1.818182,0.571429,20,21,11,12,True
SDPPG_d_a,Congestion,32,32,0.569336,0.421666,0.697507,-0.389608,0.875000,0.281250,0.549020,0.692308,0.578125,0.674699,0.156250,1.217391,0.444444,28,9,23,4,True
