PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Upslope,Downslope,DNP,RWI,Delta_T,State,Channel
0.10355386248806162,0.158,0.7975,0.956,0.625,0.158,0.7975,6.329113924050633,1.2539184952978057,0.9999910507183152,0.9999910507183152,0.158,Normal,Red
0.10189236472790829,0.1645,0.7985,0.9635,0.5985,0.1645,0.7985,6.0790273556231,1.2523481527864746,0.999811326657511,0.999811326657511,0.1645,Normal,Red
0.11285583157558943,0.259,0.7135,0.973,0.5555,0.259,0.7135,3.861003861003861,1.4015416958654519,0.9999848031491311,0.9999848031491311,0.259,Normal,Red
0.10668845760814621,0.1725,0.8175,0.9905,0.523,0.1725,0.8175,5.797101449275363,1.2232415902140672,0.9999171011475227,0.9999171011475227,0.1725,Normal,Red
0.09990946587293413,0.2445,0.6755,0.9205,0.5525,0.2445,0.6755,4.08997955010225,1.4803849000740192,0.9997891248053898,0.9997891248053898,0.2445,Normal,Red
0.10430200650122659,0.1975,0.791,0.989,0.5125,0.1975,0.791,5.063291139240506,1.2642225031605563,0.9998485223837242,0.9998485223837242,0.1975,Normal,Red
0.10994022482625403,0.1495,0.822,0.972,0.53,0.1495,0.822,6.688963210702341,1.2165450121654502,0.9998476701594736,0.9998476701594736,0.1495,Normal,Red
0.11385435704054586,0.152,0.801,0.9535,0.534,0.152,0.801,6.578947368421053,1.2484394506866416,0.9999887186748951,0.9999887186748951,0.152,Normal,Red
0.11303827708860004,0.1405,0.814,0.955,0.575,0.1405,0.814,7.117437722419928,1.2285012285012287,0.999554469938481,0.999554469938481,0.1405,Normal,Red
0.10637609834394475,0.2735,0.64,0.914,0.608,0.2735,0.64,3.6563071297989027,1.5625,0.9999454559980198,0.9999454559980198,0.2735,Normal,Red
0.1213311711247441,0.219,0.779,0.9985,0.4885,0.219,0.779,4.566210045662101,1.2836970474967908,0.999982570465787,0.999982570465787,0.219,Normal,Red
0.11641150559742117,0.186,0.7155,0.902,0.49,0.186,0.7155,5.376344086021505,1.397624039133473,0.9999822713290796,0.9999822713290796,0.186,Normal,Red
0.10724440207177986,0.274,0.6845,0.959,0.5635,0.274,0.6845,3.64963503649635,1.4609203798392987,0.9999866250514041,0.9999866250514041,0.274,Normal,Red
0.12423656886658056,0.248,0.798,1.0465,0.641,0.248,0.798,4.032258064516129,1.2531328320802004,0.9999913213801782,0.9999913213801782,0.248,Normal,Red
0.12942002570031289,0.266,0.7115,0.978,0.6035,0.266,0.7115,3.7593984962406015,1.4054813773717498,0.9998895488813766,0.9998895488813766,0.266,Normal,Red
0.1084883935766786,0.2595,0.69,0.95,0.63,0.2595,0.69,3.8535645472061657,1.4492753623188408,0.9998374645491304,0.9998374645491304,0.2595,Normal,Red
0.12461175259808632,0.1625,0.7885,0.9515,0.536,0.1625,0.7885,6.153846153846153,1.2682308180088777,0.9991789310402408,0.9991789310402408,0.1625,Normal,Red
0.13162057164460986,0.192,0.7955,0.988,0.5435,0.192,0.7955,5.208333333333333,1.257071024512885,0.9999539266642975,0.9999539266642975,0.192,Normal,Red
0.11698310960317783,0.186,0.7465,0.933,0.532,0.186,0.7465,5.376344086021505,1.3395847287340923,0.9999297185764262,0.9999297185764262,0.186,Normal,Red
0.11880360808380218,0.1795,0.8115,0.9915,0.587,0.1795,0.8115,5.571030640668524,1.2322858903265557,0.9998933744945067,0.9998933744945067,0.1795,Normal,Red
0.1143284717298903,0.2715,0.6035,0.8755,0.5715,0.2715,0.6035,3.6832412523020257,1.657000828500414,0.9999968731058249,0.9999978655436833,0.2715,Normal,Red
0.11277750373954792,0.24,0.8125,1.053,0.4795,0.24,0.8125,4.166666666666667,1.2307692307692308,0.9998370650049595,0.9998370650049595,0.24,Normal,Red
0.11048517222659238,0.2935,0.6885,0.9825,0.51,0.2935,0.6885,3.4071550255536627,1.4524328249818446,0.9999060454418682,0.9999060454418682,0.2935,Normal,Red
0.10804906522336263,0.1315,0.8155,0.9475,0.5015,0.1315,0.8155,7.604562737642585,1.226241569589209,0.9998847452986648,0.9998847452986648,0.1315,Normal,Red
0.10057135914255767,0.1565,0.773,0.93,0.534,0.1565,0.773,6.389776357827476,1.2936610608020698,0.9999557696968702,0.9999557696968702,0.1565,Normal,Red
